global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
9,0,9000,-72.51356506347656,-0.5375194549560547,281210.4375,0.234375
9,49,9049,-1.0594419240951538,-0.5437915921211243,2014.64599609375,0.25
9,99,9099,-0.6797572374343872,-0.5063208937644958,677.61572265625,0.1875
9,149,9149,-0.6930271983146667,-0.5384969115257263,603.7499389648438,0.234375
9,199,9199,-0.6864404678344727,-0.5406452417373657,569.6222534179688,0.25
9,249,9249,-0.7209652662277222,-0.5595874786376953,630.5028076171875,0.234375
9,299,9299,-0.6157765984535217,-0.476414293050766,544.488525390625,0.1875
9,349,9349,-0.635047197341919,-0.5063348412513733,502.879150390625,0.2109375
9,399,9399,-0.6484099626541138,-0.5373888611793518,433.759521484375,0.2578125
9,449,9449,-0.6144154071807861,-0.49736762046813965,457.30572509765625,0.2109375
9,499,9499,-0.6063876748085022,-0.5002859234809875,414.5395812988281,0.1875
9,549,9549,-0.6264359354972839,-0.5402733087539673,336.63751220703125,0.2265625
9,599,9599,-0.6599693298339844,-0.5744157433509827,334.2579345703125,0.2578125
9,649,9649,-0.5902348756790161,-0.5101237297058105,312.9942626953125,0.2109375
9,699,9699,-0.6060978174209595,-0.5293984413146973,299.66455078125,0.2421875
9,749,9749,-0.6200900077819824,-0.5529707670211792,262.2347717285156,0.28125
9,799,9799,-0.625789999961853,-0.5583038330078125,263.66845703125,0.234375
9,849,9849,-0.5350689888000488,-0.47045576572418213,252.44378662109375,0.140625
9,899,9899,-0.5875438451766968,-0.5286651849746704,230.03890991210938,0.21875
9,949,9949,-0.6313167810440063,-0.5697485208511353,240.54745483398438,0.2890625
9,999,9999,-0.5440101623535156,-0.4842004179954529,233.67672729492188,0.171875
19,0,19000,-3.956422805786133,-0.4231102764606476,13804.6533203125,0.2109375
19,49,19049,-1.0624226331710815,-0.4521416127681732,2384.3681640625,0.21875
19,99,19099,-0.7891766428947449,-0.38762086629867554,1568.87841796875,0.1953125
19,149,19149,-0.8591649532318115,-0.4917662441730499,1435.427001953125,0.21875
19,199,19199,-0.7863441705703735,-0.4405670166015625,1350.951416015625,0.203125
19,249,19249,-0.7161927819252014,-0.4189545810222626,1161.309814453125,0.1875
19,299,19299,-0.6159259080886841,-0.3465319275856018,1052.522216796875,0.15625
19,349,19349,-0.6761984825134277,-0.4398634135723114,923.3612060546875,0.1953125
19,399,19399,-0.6372756958007812,-0.42629313468933105,824.3089599609375,0.203125
19,449,19449,-0.5439455509185791,-0.3281250298023224,843.2109985351562,0.109375
19,499,19499,-0.6223457455635071,-0.43603211641311646,727.9273681640625,0.1796875
19,549,19549,-0.5842399597167969,-0.4082448482513428,687.6131591796875,0.1953125
19,599,19599,-0.737133800983429,-0.5664629340171814,666.81103515625,0.2578125
19,649,19649,-0.5053014755249023,-0.3713727593421936,523.2593383789062,0.15625
19,699,19699,-0.6154321432113647,-0.48532840609550476,508.31524658203125,0.234375
19,749,19749,-0.5524098873138428,-0.4437793493270874,424.41949462890625,0.2109375
19,799,19799,-0.5035009384155273,-0.4000938832759857,404.01129150390625,0.1484375
19,849,19849,-0.4810769557952881,-0.369101881980896,437.4867248535156,0.1328125
19,899,19899,-0.5142812728881836,-0.4264317750930786,343.22808837890625,0.203125
19,949,19949,-0.536770224571228,-0.461038738489151,295.8828125,0.21875
19,999,19999,-0.4330506920814514,-0.3553270399570465,303.6663818359375,0.1640625
29,0,29000,-1.2325217723846436,-0.3543166220188141,3431.147705078125,0.1640625
29,49,29049,-0.6173357963562012,-0.4058495759963989,826.27685546875,0.21875
29,99,29099,-0.4466974437236786,-0.34313058853149414,404.6357421875,0.1640625
29,149,29149,-0.5412448048591614,-0.46857911348342896,283.90484619140625,0.234375
29,199,29199,-0.42564111948013306,-0.36370450258255005,241.9864501953125,0.140625
29,249,29249,-0.39105120301246643,-0.34740734100341797,170.51666259765625,0.1640625
29,299,29299,-0.34953737258911133,-0.30207449197769165,185.43756103515625,0.140625
29,349,29349,-0.4081670045852661,-0.36201614141464233,180.31146240234375,0.203125
29,399,29399,-0.377671480178833,-0.3434433043003082,133.7294464111328,0.1484375
29,449,29449,-0.3443436324596405,-0.30277925729751587,162.39202880859375,0.1015625
29,499,29499,-0.4235766530036926,-0.38795584440231323,139.1705780029297,0.1796875
29,549,29549,-0.4167459011077881,-0.3849261403083801,124.31971740722656,0.2109375
29,599,29599,-0.511827826499939,-0.47678932547569275,136.89544677734375,0.2734375
29,649,29649,-0.3778495788574219,-0.34578585624694824,125.27295684814453,0.15625
29,699,29699,-0.4826276898384094,-0.44715452194213867,138.5936279296875,0.234375
29,749,29749,-0.41388893127441406,-0.3794729709625244,134.46310424804688,0.1640625
29,799,29799,-0.3648136854171753,-0.3353557586669922,115.0921630859375,0.125
29,849,29849,-0.3556092381477356,-0.3234062194824219,125.81726837158203,0.1484375
29,899,29899,-0.4155937433242798,-0.3820251524448395,131.152587890625,0.2265625
