global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.9142327308654785,-0.636961817741394,88979.796875,0.3671875
0,49,49,-1.0490362644195557,-0.3150806427001953,28677.8515625,0.1484375
0,99,99,-0.9555767774581909,-0.39047783613204956,22080.109375,0.1796875
0,149,149,-0.899103045463562,-0.38472414016723633,20098.328125,0.1875
0,199,199,-0.8217049241065979,-0.3647320866584778,17855.30078125,0.1640625
0,249,249,-0.7576466202735901,-0.3283819556236267,16772.658203125,0.1640625
0,299,299,-0.6626697182655334,-0.2570875883102417,15847.30859375,0.109375
0,349,349,-0.6982693672180176,-0.318960040807724,14820.7529296875,0.140625
0,399,399,-0.7309067845344543,-0.365188330411911,14289.716796875,0.1640625
0,449,449,-0.6580377221107483,-0.3043132424354553,13821.076171875,0.140625
0,499,499,-0.7061926126480103,-0.35412168502807617,13756.4677734375,0.1484375
0,549,549,-0.6723494529724121,-0.34038209915161133,12970.9619140625,0.1875
0,599,599,-0.71541428565979,-0.3921406865119934,12631.26953125,0.1796875
0,649,649,-0.5765566825866699,-0.26774197816848755,12066.31640625,0.1171875
0,699,699,-0.6127410531044006,-0.31307387351989746,11708.89453125,0.171875
0,749,749,-0.5896552801132202,-0.3088279366493225,10972.7666015625,0.140625
0,799,799,-0.5981165170669556,-0.31995970010757446,10868.4228515625,0.15625
0,849,849,-0.5581026673316956,-0.29602450132369995,10240.1787109375,0.1484375
0,899,899,-0.6339540481567383,-0.3799304962158203,9925.4609375,0.203125
0,949,949,-0.531822919845581,-0.29587849974632263,9219.05859375,0.1328125
0,999,999,-0.4978356957435608,-0.26997679471969604,8903.130859375,0.1015625
1,0,1000,-0.5579537749290466,-0.3301995098590851,8899.04296875,0.1171875
1,49,1049,-0.5302560329437256,-0.2941780984401703,9224.271484375,0.140625
1,99,1099,-0.5573670864105225,-0.3419339060783386,8417.62109375,0.15625
1,149,1149,-0.5621448755264282,-0.36506956815719604,7700.32470703125,0.15625
1,199,1199,-0.5624512434005737,-0.3829405903816223,7014.01806640625,0.1875
1,249,1249,-0.472942054271698,-0.31229132413864136,6277.1064453125,0.1640625
1,299,1299,-0.40222492814064026,-0.2525559067726135,5848.017578125,0.1171875
1,349,1349,-0.4538506865501404,-0.3256361782550812,5009.72509765625,0.15625
1,399,1399,-0.4914854168891907,-0.37894684076309204,4397.220703125,0.171875
1,449,1449,-0.41543048620224,-0.31772035360336304,3817.82763671875,0.140625
1,499,1499,-0.44280076026916504,-0.35246139764785767,3529.82958984375,0.1484375
1,549,1549,-0.3991072177886963,-0.32023558020591736,3081.750732421875,0.140625
1,599,1599,-0.4699123501777649,-0.4008497893810272,2698.48095703125,0.203125
1,649,1649,-0.32962071895599365,-0.26767629384994507,2420.3544921875,0.125
1,699,1699,-0.3890202045440674,-0.3335422873497009,2167.68798828125,0.1796875
1,749,1749,-0.3644443154335022,-0.3122435212135315,2039.6414794921875,0.1328125
1,799,1799,-0.3817538619041443,-0.32895123958587646,2063.15625,0.1796875
1,849,1849,-0.37602299451828003,-0.3269292712211609,1918.239990234375,0.1796875
1,899,1899,-0.4284975230693817,-0.38368040323257446,1751.1396484375,0.171875
1,949,1949,-0.3312623202800751,-0.2885402739048004,1669.278564453125,0.1484375
1,999,1999,-0.30390268564224243,-0.2650928795337677,1516.4150390625,0.109375
2,0,2000,-0.39003831148147583,-0.35118263959884644,1518.20751953125,0.1171875
2,49,2049,-0.33568644523620605,-0.29815003275871277,1466.659423828125,0.140625
2,99,2099,-0.3731791377067566,-0.3392196297645569,1326.900390625,0.1484375
2,149,2149,-0.3933730125427246,-0.36068403720855713,1277.255859375,0.1875
2,199,2199,-0.43569454550743103,-0.4042409360408783,1228.987060546875,0.1796875
2,249,2249,-0.3484002947807312,-0.320556640625,1087.935546875,0.15625
2,299,2299,-0.28029870986938477,-0.2526663541793823,1079.6793212890625,0.0859375
2,349,2349,-0.3634181022644043,-0.3383948802947998,977.73193359375,0.15625
2,399,2399,-0.3957469165325165,-0.37214335799217224,922.2615966796875,0.15625
2,449,2449,-0.32425564527511597,-0.30126455426216125,898.3311767578125,0.1484375
2,499,2499,-0.36811840534210205,-0.346389502286911,849.0137939453125,0.1484375
2,549,2549,-0.34242475032806396,-0.32144105434417725,819.8961791992188,0.1640625
2,599,2599,-0.4101629853248596,-0.389514684677124,806.7900390625,0.1796875
2,649,2649,-0.28763046860694885,-0.2674635052680969,787.9834594726562,0.125
2,699,2699,-0.3333417773246765,-0.3134843707084656,775.88818359375,0.15625
2,749,2749,-0.336302787065506,-0.3176109492778778,730.3465576171875,0.140625
2,799,2799,-0.33831220865249634,-0.32022708654403687,706.6397705078125,0.1171875
2,849,2849,-0.33084636926651,-0.3129488229751587,699.3116455078125,0.15625
2,899,2899,-0.3744449317455292,-0.35642218589782715,704.2027587890625,0.15625
2,949,2949,-0.2864660322666168,-0.2690715491771698,679.6541748046875,0.1328125
2,999,2999,-0.28055790066719055,-0.2632654309272766,675.6688232421875,0.1171875
3,0,3000,-0.35500285029411316,-0.3375844955444336,680.5880126953125,0.1484375
3,49,3049,-0.3072267174720764,-0.2891179323196411,707.5643310546875,0.125
3,99,3099,-0.3573607802391052,-0.3407520651817322,648.9515380859375,0.1484375
3,149,3149,-0.3807048499584198,-0.36481431126594543,620.8909912109375,0.171875
3,199,3199,-0.4000798165798187,-0.38408857583999634,624.8253784179688,0.1875
3,249,3249,-0.3090013265609741,-0.2945077121257782,566.3087158203125,0.140625
3,299,3299,-0.261638879776001,-0.2466377317905426,586.1405029296875,0.09375
3,349,3349,-0.32700663805007935,-0.3117607831954956,595.70068359375,0.1484375
3,399,3399,-0.3586840033531189,-0.34441396594047546,557.5736083984375,0.1484375
3,449,3449,-0.3019452691078186,-0.28802502155303955,543.9061889648438,0.1328125
3,499,3499,-0.3530120849609375,-0.33862754702568054,562.047119140625,0.1484375
