communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7269868850708008,0.6999718546867371,-0.7558264136314392,0.6980957984924316
2,1,-0.31475427746772766,0.8582652807235718,-0.3292330801486969,0.8475634455680847
4,2,-0.32022327184677124,0.857548713684082,-0.330716997385025,0.849201500415802
6,3,-0.3168436884880066,0.8577278256416321,-0.3280409872531891,0.8521703481674194
8,4,-0.32218363881111145,0.8547846078872681,-0.3376353979110718,0.8495085835456848
10,5,-0.3121068775653839,0.858137309551239,-0.3250848948955536,0.8508394956588745
12,6,-0.31308019161224365,0.8583676815032959,-0.32450947165489197,0.8513513803482056
14,7,-0.3155548572540283,0.8580605387687683,-0.32703766226768494,0.851556122303009
16,8,-0.31582722067832947,0.8558851480484009,-0.3274891674518585,0.8503276109695435
18,9,-0.31197014451026917,0.8582141399383545,-0.3244827389717102,0.8523750901222229
20,10,-0.30951738357543945,0.8583420515060425,-0.32206156849861145,0.8535012006759644
