global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
9,0,9000,-38.3908805847168,-0.5365198850631714,280992.90625,0.2265625
9,49,9049,-0.8256005048751831,-0.5737940073013306,1869.159423828125,0.28125
9,99,9099,-0.6165997982025146,-0.5131276249885559,768.0743408203125,0.2265625
9,149,9149,-0.6214834451675415,-0.5264289379119873,705.589599609375,0.21875
9,199,9199,-0.6215603947639465,-0.5274841785430908,698.327880859375,0.2421875
9,249,9249,-0.6171379089355469,-0.5241965651512146,689.903564453125,0.2421875
9,299,9299,-0.6202551126480103,-0.5287520885467529,679.226806640625,0.2109375
9,349,9349,-0.6040405035018921,-0.5165361762046814,649.5445556640625,0.2265625
9,399,9399,-0.6395168304443359,-0.561944842338562,575.816650390625,0.2578125
9,449,9449,-0.5851397514343262,-0.5141693353652954,526.813720703125,0.1953125
9,499,9499,-0.6492756605148315,-0.5828535556793213,493.0509948730469,0.2890625
9,549,9549,-0.6453830003738403,-0.5783201456069946,497.8074951171875,0.296875
9,599,9599,-0.6017638444900513,-0.536611020565033,483.629150390625,0.25
9,649,9649,-0.5891127586364746,-0.5283469557762146,451.06439208984375,0.25
9,699,9699,-0.5772299766540527,-0.5214992761611938,413.68927001953125,0.234375
9,749,9749,-0.6214741468429565,-0.562004566192627,441.44268798828125,0.265625
9,799,9799,-0.6080507040023804,-0.5579553842544556,371.8573303222656,0.265625
9,849,9849,-0.5735892057418823,-0.5228536128997803,376.61090087890625,0.203125
9,899,9899,-0.5803622007369995,-0.5328221321105957,352.889892578125,0.234375
9,949,9949,-0.5850027799606323,-0.5322842597961426,391.3293762207031,0.21875
9,999,9999,-0.5844883918762207,-0.5382786989212036,343.0143127441406,0.2421875
19,0,19000,-1.2928657531738281,-0.5365542769432068,5614.099609375,0.2421875
19,49,19049,-2.5667946338653564,-0.5860833525657654,14702.8203125,0.2890625
19,99,19099,-2.5067806243896484,-0.5252662897109985,14708.78125,0.234375
19,149,19149,-2.5151615142822266,-0.533879280090332,14707.05859375,0.21875
19,199,19199,-2.5358848571777344,-0.5553682446479797,14701.375,0.2578125
