global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
9,0,9000,-1.325432300567627,-0.37624630331993103,7045.8076171875,0.234375
9,49,9049,-1.1295733451843262,-0.38812994956970215,5503.73388671875,0.2890625
9,99,9099,-1.0424940586090088,-0.38376373052597046,4889.75537109375,0.21875
9,149,9149,-0.9734227657318115,-0.35302644968032837,4605.20166015625,0.2265625
9,199,9199,-0.9292398691177368,-0.3319762349128723,4433.4873046875,0.2578125
9,249,9249,-0.921110987663269,-0.3399342894554138,4314.0751953125,0.2421875
9,299,9299,-0.917056143283844,-0.3489767909049988,4216.85302734375,0.2265625
9,349,9349,-0.8628486394882202,-0.30566534399986267,4135.97119140625,0.21875
9,399,9399,-0.9487172961235046,-0.40212488174438477,4057.355712890625,0.2734375
9,449,9449,-0.8223189115524292,-0.28566688299179077,3983.56787109375,0.1875
9,499,9499,-0.9284932613372803,-0.4010273814201355,3915.378662109375,0.3125
9,549,9549,-0.9053216576576233,-0.3868686556816101,3848.476806640625,0.3046875
9,599,9599,-0.9210852384567261,-0.4113980233669281,3783.407958984375,0.25
9,649,9649,-0.8295028209686279,-0.32872217893600464,3717.294189453125,0.2421875
9,699,9699,-0.8736518621444702,-0.38141974806785583,3653.839111328125,0.2421875
9,749,9749,-0.856585681438446,-0.37328195571899414,3587.563720703125,0.3046875
9,799,9799,-0.8246728181838989,-0.35040247440338135,3520.5087890625,0.265625
9,849,9849,-0.7828963398933411,-0.3176102936267853,3453.818359375,0.21875
9,899,9899,-0.8177655935287476,-0.36151379346847534,3386.757080078125,0.2265625
9,949,9949,-0.8844351768493652,-0.4374339282512665,3318.09033203125,0.21875
9,999,9999,-0.8515332937240601,-0.41416630148887634,3246.575439453125,0.2265625
19,0,19000,-2.6000850200653076,-0.6848034858703613,14217.1337890625,0.234375
19,49,19049,-2.64744234085083,-0.6857495307922363,14561.646484375,0.2890625
19,99,19099,-2.64523983001709,-0.6835470199584961,14561.646484375,0.21875
19,149,19149,-2.6456704139709473,-0.6839773654937744,14561.646484375,0.2265625
19,199,19199,-2.64628267288208,-0.6845896244049072,14561.646484375,0.2578125
19,249,19249,-2.646005630493164,-0.6843127012252808,14561.646484375,0.2421875
19,299,19299,-2.6455204486846924,-0.6838275194168091,14561.646484375,0.2265625
19,349,19349,-2.645155668258667,-0.6834626793861389,14561.646484375,0.21875
19,399,19399,-2.6469950675964355,-0.6853021383285522,14561.646484375,0.2734375
19,449,19449,-2.644263744354248,-0.6825708150863647,14561.646484375,0.1875
19,499,19499,-2.6478066444396973,-0.6861137747764587,14561.646484375,0.3125
19,549,19549,-2.647710084915161,-0.6860172748565674,14561.646484375,0.3046875
19,599,19599,-2.646425247192383,-0.6847323179244995,14561.646484375,0.25
19,649,19649,-2.645845890045166,-0.6841530799865723,14561.646484375,0.2421875
19,699,19699,-2.6459953784942627,-0.6843024492263794,14561.646484375,0.2421875
19,749,19749,-2.647592782974243,-0.6858999133110046,14561.646484375,0.3046875
19,799,19799,-2.6466598510742188,-0.6849671006202698,14561.646484375,0.265625
19,849,19849,-2.6453824043273926,-0.6836893558502197,14561.646484375,0.21875
19,899,19899,-2.6456246376037598,-0.683931827545166,14561.646484375,0.2265625
19,949,19949,-2.6456985473632812,-0.6840057373046875,14561.646484375,0.21875
19,999,19999,-2.645705223083496,-0.6840122938156128,14561.646484375,0.2265625
29,0,29000,-1.740814208984375,-0.5880998373031616,8556.5986328125,0.234375
