global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
1,0,1000,-686.8997802734375,-0.37793707847595215,267743.5,0.015625
1,49,1049,-33.49977111816406,-0.3906886875629425,12912.541015625,0.0234375
1,99,1099,-6.3046369552612305,-0.376718133687973,2311.88818359375,0.0234375
1,149,1149,-2.542290687561035,-0.39181768894195557,838.6844482421875,0.0234375
1,199,1199,-1.6370879411697388,-0.3714469373226166,493.5999755859375,0.0234375
1,249,1249,-1.368474006652832,-0.3910024166107178,381.21392822265625,0.03125
1,299,1299,-1.4193092584609985,-0.38084378838539124,405.00152587890625,0.0234375
1,349,1349,-1.3378992080688477,-0.3820244073867798,372.79119873046875,0.03125
1,399,1399,-1.221754550933838,-0.39911749958992004,320.82843017578125,0.03125
1,449,1449,-1.0920716524124146,-0.3718429207801819,280.88922119140625,0.0234375
1,499,1499,-1.5845606327056885,-0.3845687508583069,467.99676513671875,0.0234375
1,549,1549,-0.9708379507064819,-0.3852583169937134,228.37603759765625,0.03125
1,599,1599,-0.9681339859962463,-0.37760311365127563,230.30702209472656,0.0234375
1,649,1649,-1.012534260749817,-0.39391636848449707,241.26097106933594,0.0234375
1,699,1699,-1.097179889678955,-0.37150704860687256,283.01239013671875,0.0234375
1,749,1749,-1.0507879257202148,-0.3931690454483032,256.47137451171875,0.0234375
1,799,1799,-0.9049174189567566,-0.3782098889350891,205.41590881347656,0.0234375
1,849,1849,-1.1686965227127075,-0.3797764182090759,307.6788330078125,0.0234375
1,899,1899,-0.928655207157135,-0.3882361650466919,210.76341247558594,0.0234375
1,949,1949,-0.8575527667999268,-0.37783825397491455,187.08865356445312,0.0234375
1,999,1999,-0.8834541440010071,-0.3877182602882385,193.33700561523438,0.0234375
11,0,11000,-89.92601013183594,-0.36488595604896545,34928.8359375,0.015625
11,49,11049,-1.2134530544281006,-0.35274189710617065,335.67730712890625,0.015625
11,99,11099,-0.5978612899780273,-0.3536686897277832,95.23509979248047,0.015625
11,149,11149,-0.5669889450073242,-0.35931020975112915,80.99468994140625,0.015625
11,199,11199,-0.5861011743545532,-0.3531394600868225,90.85506439208984,0.0078125
11,249,11249,-0.5340075492858887,-0.36713218688964844,65.08140563964844,0.0234375
11,299,11299,-0.5227156281471252,-0.34674346446990967,68.629150390625,0.0078125
11,349,11349,-0.5589209794998169,-0.357570618391037,78.52664184570312,0.0234375
11,399,11399,-0.7385934591293335,-0.36688458919525146,144.9664306640625,0.0234375
11,449,11449,-0.48952043056488037,-0.3511146903038025,53.978233337402344,0.0078125
11,499,11499,-0.49720439314842224,-0.3591211438179016,53.85246276855469,0.015625
11,549,11549,-0.4801272749900818,-0.3452989161014557,52.583065032958984,0.0078125
11,599,11599,-0.5102741718292236,-0.3578870892524719,59.43096160888672,0.015625
11,649,11649,-0.5817747116088867,-0.35161012411117554,89.76419067382812,0.015625
11,699,11699,-0.4723113179206848,-0.3496982157230377,47.819114685058594,0.0078125
11,749,11749,-0.5421479940414429,-0.372140109539032,66.30308532714844,0.0234375
11,799,11799,-0.5161523818969727,-0.3504204750061035,64.63544464111328,0.0078125
11,849,11849,-0.46601754426956177,-0.357134610414505,42.46434783935547,0.015625
11,899,11899,-0.4743456542491913,-0.3497738242149353,48.5830078125,0.015625
11,949,11949,-0.5678613781929016,-0.35305070877075195,83.77615356445312,0.015625
11,999,11999,-0.6017374992370605,-0.36127397418022156,93.78076934814453,0.015625
21,0,21000,-21.440649032592773,-0.25234919786453247,8263.4375,0.0390625
21,49,21049,-0.7395633459091187,-0.23626789450645447,196.2852020263672,0.03125
21,99,21099,-0.39336657524108887,-0.2314358949661255,63.15297317504883,0.0390625
21,149,21149,-0.38102707266807556,-0.22868506610393524,59.41337966918945,0.015625
21,199,21199,-0.3765619397163391,-0.2340276539325714,55.5883674621582,0.0390625
21,249,21249,-0.36520904302597046,-0.2202281653881073,56.54254150390625,0.015625
21,299,21299,-0.3945837616920471,-0.22888785600662231,64.62140655517578,0.0234375
21,349,21349,-0.3767175078392029,-0.2379235029220581,54.12965393066406,0.03125
21,399,21399,-0.3882191479206085,-0.24683955311775208,55.13803482055664,0.0390625
21,449,21449,-0.36690860986709595,-0.23305478692054749,52.20298767089844,0.03125
21,499,21499,-0.4294828772544861,-0.22038209438323975,81.54930877685547,0.0078125
21,549,21549,-0.37162646651268005,-0.24446001648902893,49.59490966796875,0.0390625
21,599,21599,-0.3755922317504883,-0.23202574253082275,55.990928649902344,0.015625
21,649,21649,-0.3509780764579773,-0.23761478066444397,44.21169662475586,0.03125
21,699,21699,-0.35514354705810547,-0.2388489842414856,45.35488510131836,0.0390625
21,749,21749,-0.33793550729751587,-0.2303764820098877,41.94801330566406,0.015625
21,799,21799,-0.3663509488105774,-0.23500502109527588,51.224910736083984,0.03125
21,849,21849,-0.33357709646224976,-0.21980386972427368,44.371551513671875,0.0078125
21,899,21899,-0.3521430492401123,-0.23693187534809113,44.93235778808594,0.0390625
21,949,21949,-0.34836557507514954,-0.2372577041387558,43.332069396972656,0.0390625
21,999,21999,-0.3388810157775879,-0.22514134645462036,44.35846710205078,0.015625
31,0,31000,-13.101550102233887,-0.21681343019008636,5025.046875,0.046875
31,49,31049,-0.5786541700363159,-0.18851003050804138,152.15618896484375,0.0546875
31,99,31099,-0.3411254286766052,-0.19092705845832825,58.577369689941406,0.0546875
31,149,31149,-0.38368213176727295,-0.18716129660606384,76.64312744140625,0.0234375
31,199,31199,-0.31765270233154297,-0.1851693093776703,51.66851806640625,0.0546875
31,249,31249,-0.30814576148986816,-0.1612546741962433,57.28752136230469,0.015625
31,299,31299,-0.343420147895813,-0.1671983301639557,68.72650146484375,0.046875
31,349,31349,-0.32297658920288086,-0.1929474174976349,50.71137237548828,0.046875
31,399,31399,-0.3479003608226776,-0.20705485343933105,54.92974090576172,0.0625
31,449,31449,-0.3152506351470947,-0.18559417128562927,50.566017150878906,0.0546875
