global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
7,0,7000,-2.1489694118499756,-0.6860010027885437,10859.6142578125,0.296875
7,49,7049,-2.115039348602295,-0.6843523979187012,10619.9892578125,0.2734375
7,99,7099,-2.0864319801330566,-0.6810718178749084,10431.990234375,0.2109375
7,149,7149,-2.0708401203155518,-0.6848633885383606,10288.10546875,0.3125
7,199,7199,-2.053140640258789,-0.6821877956390381,10176.583984375,0.265625
7,249,7249,-2.039700746536255,-0.6805556416511536,10088.93359375,0.25
7,299,7299,-2.034140110015869,-0.6844046115875244,10019.0869140625,0.328125
7,349,7349,-2.024470329284668,-0.6823327541351318,9962.6875,0.296875
7,399,7399,-2.0152506828308105,-0.679324209690094,9916.5810546875,0.25
7,449,7449,-2.0099363327026367,-0.6791466474533081,9878.453125,0.25
7,499,7499,-2.0057084560394287,-0.679211437702179,9846.5869140625,0.2578125
7,549,7549,-2.0006937980651855,-0.6778191328048706,9819.6982421875,0.2421875
7,599,7599,-2.0024819374084473,-0.6826907396316528,9796.8095703125,0.328125
7,649,7649,-1.9942253828048706,-0.6770801544189453,9777.1689453125,0.2421875
7,699,7699,-1.9916249513626099,-0.6767668724060059,9760.19140625,0.2421875
7,749,7749,-1.9959850311279297,-0.6831167340278625,9745.4208984375,0.34375
7,799,7799,-1.9880707263946533,-0.6769442558288574,9732.4921875,0.2578125
7,849,7849,-1.9863159656524658,-0.676722526550293,9721.1123046875,0.2578125
7,899,7899,-1.9862852096557617,-0.6780478954315186,9711.044921875,0.28125
7,949,7949,-1.9814324378967285,-0.6744006872177124,9702.0966796875,0.234375
7,999,7999,-1.980318546295166,-0.6743627786636353,9694.1083984375,0.2421875
17,0,17000,-0.8201751708984375,-0.45699986815452576,2695.8505859375,0.296875
17,49,17049,-0.782413899898529,-0.43421316146850586,2584.694091796875,0.2734375
17,99,17099,-0.7534082531929016,-0.4166329503059387,2499.883056640625,0.2109375
17,149,17149,-0.7850996255874634,-0.45700228214263916,2435.466064453125,0.3125
17,199,17199,-0.7247095108032227,-0.40334081649780273,2385.519775390625,0.265625
17,249,17249,-0.650272786617279,-0.33424901962280273,2345.84423828125,0.25
17,299,17299,-0.7941415309906006,-0.4824395775794983,2313.763671875,0.328125
17,349,17349,-0.7380738258361816,-0.4299134314060211,2287.474853515625,0.296875
17,399,17399,-0.6760023832321167,-0.37078243494033813,2265.64794921875,0.25
17,449,17449,-0.6859632730484009,-0.38320451974868774,2247.37841796875,0.25
17,499,17499,-0.6846984624862671,-0.38400471210479736,2232.0498046875,0.2578125
17,549,17549,-0.633863091468811,-0.33495721220970154,2218.778564453125,0.2421875
17,599,17599,-0.7152111530303955,-0.41787227988243103,2207.146484375,0.328125
17,649,17649,-0.6716527342796326,-0.37568098306655884,2196.998291015625,0.2421875
17,699,17699,-0.6434614658355713,-0.34868064522743225,2188.158203125,0.2421875
17,749,17749,-0.7390561103820801,-0.4453188180923462,2180.411376953125,0.34375
17,799,17799,-0.7036194205284119,-0.4108056426048279,2173.556884765625,0.2578125
17,849,17849,-0.678296685218811,-0.3862766623497009,2167.664306640625,0.2578125
17,899,17899,-0.7119413018226624,-0.42063677310943604,2162.353271484375,0.28125
17,949,17949,-0.6381574273109436,-0.34754371643066406,2157.225341796875,0.234375
17,999,17999,-0.6589187383651733,-0.368930846452713,2152.580322265625,0.2421875
27,0,27000,-0.5418965816497803,-0.43422645330429077,799.2354125976562,0.296875
27,49,27049,-0.530764102935791,-0.4241618812084198,791.3084716796875,0.2734375
27,99,27099,-0.5203531980514526,-0.41442158818244934,786.3302612304688,0.2109375
27,149,27149,-0.5623263716697693,-0.45682191848754883,783.1593627929688,0.3125
27,199,27199,-0.495789110660553,-0.39071792364120483,779.943359375,0.265625
27,249,27249,-0.436137318611145,-0.33148425817489624,776.8397827148438,0.25
27,299,27299,-0.5801220536231995,-0.4757751226425171,774.5671997070312,0.328125
27,349,27349,-0.5289286971092224,-0.42480313777923584,772.923828125,0.296875
27,399,27399,-0.4704494774341583,-0.3665517568588257,771.2328491210938,0.25
27,449,27449,-0.48472851514816284,-0.3809506893157959,770.343017578125,0.25
27,499,27499,-0.48138299584388733,-0.3776058852672577,770.33740234375,0.2578125
27,549,27549,-0.4340953230857849,-0.33042412996292114,769.5513305664062,0.2421875
27,599,27599,-0.5140617489814758,-0.4105794429779053,768.1489868164062,0.328125
