global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.3055777549743652,-0.6932298541069031,6299.443359375,0.7578125
0,49,49,-1.5708262920379639,-0.691579282283783,3435.218017578125,0.1953125
0,99,99,-1.1067583560943604,-0.6812592148780823,1662.4251708984375,0.2265625
0,149,149,-0.7319384813308716,-0.5150362253189087,847.4371948242188,0.265625
0,199,199,-0.5564625263214111,-0.4091448187828064,575.5702514648438,0.25
0,249,249,-0.5355024337768555,-0.4203699827194214,449.82232666015625,0.2734375
0,299,299,-0.4153938889503479,-0.3215343654155731,366.70916748046875,0.171875
0,349,349,-0.3992607593536377,-0.31956520676612854,311.37054443359375,0.234375
0,399,399,-0.456138014793396,-0.38544583320617676,276.1943359375,0.2421875
0,449,449,-0.4353845417499542,-0.3707118630409241,252.67613220214844,0.2578125
0,499,499,-0.41304269433021545,-0.3527342677116394,235.625,0.25
0,549,549,-0.43332988023757935,-0.3758475184440613,224.58346557617188,0.2265625
0,599,599,-0.3916587233543396,-0.3368445634841919,214.15892028808594,0.2109375
0,649,649,-0.43402916193008423,-0.38074398040771484,208.18524169921875,0.21875
0,699,699,-0.4360184967517853,-0.38381126523017883,203.97372436523438,0.2265625
0,749,749,-0.3450993299484253,-0.29433584213256836,198.33294677734375,0.203125
0,799,799,-0.4506528973579407,-0.4006437361240387,195.38583374023438,0.2578125
0,849,849,-0.37207189202308655,-0.32282641530036926,192.40211486816406,0.234375
0,899,899,-0.3800109624862671,-0.3316287398338318,189.0293731689453,0.25
0,949,949,-0.3921600580215454,-0.3441454768180847,187.59298706054688,0.2265625
0,999,999,-0.40609198808670044,-0.3585703670978546,185.6669921875,0.25
1,0,1000,-24.329742431640625,-22.893571853637695,5611.12109375,0.171875
1,49,1049,-5.687602996826172,-4.428121566772461,4920.794921875,0.109375
1,99,1099,-7.434703826904297,-6.403217315673828,4030.018798828125,0.1875
1,149,1149,-2.977543830871582,-2.09572696685791,3445.258544921875,0.203125
1,199,1199,-2.3172712326049805,-1.4875869750976562,3241.576904296875,0.1640625
1,249,1249,-1.408072590827942,-0.6009442210197449,3153.45068359375,0.25
1,299,1299,-1.3480396270751953,-0.556884765625,3091.042236328125,0.1875
1,349,1349,-1.0811147689819336,-0.3031125068664551,3039.65478515625,0.15625
1,399,1399,-1.1319477558135986,-0.36670586466789246,2989.80029296875,0.2734375
1,449,1449,-1.0921497344970703,-0.3392781913280487,2941.46923828125,0.1953125
1,499,1499,-1.1581273078918457,-0.41665661334991455,2896.92626953125,0.2265625
1,549,1549,-1.248413324356079,-0.5177191495895386,2854.82275390625,0.2734375
1,599,1599,-1.0861034393310547,-0.3651212453842163,2816.87744140625,0.265625
1,649,1649,-1.1274957656860352,-0.41558223962783813,2781.446044921875,0.2421875
1,699,1699,-1.2001371383666992,-0.49687817692756653,2747.632568359375,0.2890625
1,749,1749,-1.0264915227890015,-0.3311062455177307,2716.870361328125,0.1796875
1,799,1799,-1.1723740100860596,-0.4847191274166107,2686.66796875,0.265625
1,849,1849,-1.024857521057129,-0.34447425603866577,2658.2578125,0.171875
1,899,1899,-0.9961475133895874,-0.3220832645893097,2633.5693359375,0.1484375
1,949,1949,-1.0181655883789062,-0.3506278395652771,2608.070556640625,0.203125
1,999,1999,-1.0119396448135376,-0.351704478263855,2579.538818359375,0.1953125
2,0,2000,-2.8178887367248535,-1.041872501373291,6938.89599609375,0.7578125
2,49,2049,-2.668926477432251,-1.02578866481781,6419.740234375,0.8046875
2,99,2099,-2.3505496978759766,-0.8853703737258911,5724.45654296875,0.7734375
2,149,2149,-2.0527749061584473,-0.7696638703346252,5013.115234375,0.734375
2,199,2199,-1.930314302444458,-0.7339096069335938,4674.35302734375,0.75
2,249,2249,-1.8936920166015625,-0.7155430316925049,4603.0283203125,0.7265625
2,299,2299,-1.8852062225341797,-0.7158172726631165,4568.80322265625,0.828125
2,349,2349,-1.8686697483062744,-0.7069905400276184,4538.68115234375,0.765625
2,399,2399,-1.8582773208618164,-0.7036306858062744,4511.20458984375,0.7578125
2,449,2449,-1.8494549989700317,-0.701264500617981,4485.98046875,0.7421875
2,499,2499,-1.842449426651001,-0.7001842260360718,4462.830078125,0.75
2,549,2549,-1.836491346359253,-0.6996574401855469,4441.6103515625,0.7734375
2,599,2599,-1.8309142589569092,-0.699055552482605,4422.17236328125,0.7890625
2,649,2649,-1.8254115581512451,-0.6981163620948792,4404.34228515625,0.78125
2,699,2699,-1.8206861019134521,-0.6975939273834229,4387.92138671875,0.7734375
2,749,2749,-1.8165428638458252,-0.6973471641540527,4372.69775390625,0.796875
2,799,2799,-1.8118354082107544,-0.696280837059021,4358.47216796875,0.7421875
2,849,2849,-1.808350920677185,-0.696225643157959,4345.07373046875,0.765625
2,899,2899,-1.804646372795105,-0.6957720518112183,4332.3720703125,0.75
2,949,2949,-1.8015755414962769,-0.6957992315292358,4320.26806640625,0.7734375
2,999,2999,-1.7981889247894287,-0.6953776478767395,4308.68359375,0.75
3,0,3000,-868.623291015625,-807.1228637695312,240282.21875,0.7578125
3,49,3049,-618.8648681640625,-560.8602294921875,226624.03125,0.8046875
3,99,3099,-308.0364990234375,-259.2847900390625,190472.875,0.7734375
3,149,3149,-117.32320404052734,-85.98388671875,122442.71875,0.734375
3,199,3199,-35.310791015625,-16.72434425354004,72617.25,0.75
3,249,3249,-16.442821502685547,-5.379271030426025,43225.29296875,0.7265625
3,299,3299,-10.920251846313477,-3.219336748123169,30087.478515625,0.828125
3,349,3349,-10.183588027954102,-3.8300399780273438,24823.3125,0.765625
3,399,3399,-7.376153945922852,-1.7048957347869873,22157.60546875,0.7578125
3,449,3449,-7.405202865600586,-2.185286045074463,20394.216796875,0.7421875
3,499,3499,-5.7214741706848145,-0.8277971148490906,19119.59765625,0.75
3,549,3549,-5.564414024353027,-0.8668544292449951,18353.365234375,0.7734375
3,599,3599,-5.285100936889648,-0.7123246788978577,17865.837890625,0.7890625
3,649,3649,-5.282577037811279,-0.8045862913131714,17495.509765625,0.78125
3,699,3699,-5.775627136230469,-1.3731114864349365,17200.62890625,0.7734375
3,749,3749,-4.979375839233398,-0.6392820477485657,16956.748046875,0.796875
3,799,3799,-4.958763122558594,-0.6710038781166077,16752.27734375,0.7421875
3,849,3849,-4.919350624084473,-0.6760559678077698,16578.552734375,0.765625
3,899,3899,-4.870571136474609,-0.6664058566093445,16425.67578125,0.75
3,949,3949,-4.835088729858398,-0.6658786535263062,16289.103515625,0.7734375
3,999,3999,-4.807094573974609,-0.6723486185073853,16154.4541015625,0.75
4,0,4000,-8.128518104553223,-0.5671237111091614,29542.37109375,0.2421875
4,49,4049,-7.768022537231445,-0.5304048657417297,28277.373046875,0.1953125
4,99,4099,-6.946288108825684,-0.5513201951980591,24985.140625,0.2265625
4,149,4149,-4.90968132019043,-0.5834401249885559,16902.626953125,0.265625
4,199,4199,-3.889256000518799,-0.5698609352111816,12968.876953125,0.25
4,249,4249,-3.741748094558716,-0.5888731479644775,12318.283203125,0.2734375
4,299,4299,-3.6122303009033203,-0.5056383013725281,12137.455078125,0.171875
4,349,4349,-3.6435158252716064,-0.556564211845398,12060.7197265625,0.234375
4,399,4399,-3.6394670009613037,-0.5627676248550415,12020.666015625,0.2421875
4,449,4449,-3.6461262702941895,-0.5755306482315063,11996.818359375,0.2578125
4,499,4499,-3.635143280029297,-0.5685672760009766,11981.11328125,0.25
4,549,4549,-3.611837387084961,-0.5481400489807129,11969.865234375,0.2265625
4,599,4599,-3.5958943367004395,-0.5344099402427673,11961.2197265625,0.2109375
4,649,4649,-3.6002814769744873,-0.5406031608581543,11954.1640625,0.21875
4,699,4699,-3.6052331924438477,-0.5470994710922241,11948.1298828125,0.2265625
4,749,4749,-3.5833048820495605,-0.5265412926673889,11942.7763671875,0.203125
4,799,4799,-3.6296019554138184,-0.57408607006073,11937.900390625,0.2578125
4,849,4849,-3.6077489852905273,-0.5533944964408875,11933.3642578125,0.234375
4,899,4899,-3.620180130004883,-0.5669209957122803,11929.083984375,0.25
