global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.3053932189941406,-0.6930452585220337,6299.443359375,0.1796875
0,49,49,-1.5717957019805908,-0.69255530834198,3435.192626953125,0.203125
0,99,99,-1.1089073419570923,-0.6834012269973755,1662.45263671875,0.234375
0,149,149,-0.7658928632736206,-0.5493566393852234,846.007080078125,0.3046875
0,199,199,-0.48451828956604004,-0.3377358913421631,573.4788818359375,0.171875
0,249,249,-0.4646786153316498,-0.35036078095436096,446.63983154296875,0.1953125
0,299,299,-0.46820706129074097,-0.3740694522857666,367.7957763671875,0.21875
0,349,349,-0.4683385193347931,-0.38767895102500916,315.136962890625,0.265625
0,399,399,-0.43732142448425293,-0.3667600750923157,275.6832580566406,0.2421875
0,449,449,-0.37036603689193726,-0.3040909767150879,258.93670654296875,0.1875
0,499,499,-0.37411993741989136,-0.3129996061325073,238.79710388183594,0.1953125
0,549,549,-0.3842301368713379,-0.32672786712646484,224.66127014160156,0.1953125
0,599,599,-0.45659223198890686,-0.39959919452667236,222.67184448242188,0.2421875
0,649,649,-0.3609235882759094,-0.3074207305908203,209.03565979003906,0.203125
0,699,699,-0.4112226963043213,-0.3585050404071808,205.9678955078125,0.2421875
0,749,749,-0.41111308336257935,-0.3589542806148529,203.7845001220703,0.234375
0,799,799,-0.40245357155799866,-0.35251978039741516,195.09136962890625,0.21875
0,849,849,-0.41371792554855347,-0.36355865001678467,195.97235107421875,0.2109375
0,899,899,-0.39607277512550354,-0.34617850184440613,194.93687438964844,0.2578125
0,949,949,-0.37277087569236755,-0.32491248846054077,186.9827117919922,0.2421875
0,999,999,-0.4209446907043457,-0.37185585498809814,191.79000854492188,0.15625
1,0,1000,-12.818434715270996,-11.38226318359375,5611.12109375,0.1328125
1,49,1049,-11.196592330932617,-9.932378768920898,4939.2841796875,0.15625
1,99,1099,-3.5438308715820312,-2.5063891410827637,4053.284423828125,0.171875
1,149,1149,-2.7548513412475586,-1.8587675094604492,3501.000244140625,0.1875
1,199,1199,-1.5139833688735962,-0.6708744168281555,3294.02685546875,0.2109375
1,249,1249,-1.4185969829559326,-0.5997335910797119,3199.29931640625,0.21875
1,299,1299,-1.3745990991592407,-0.5728447437286377,3132.454345703125,0.3203125
1,349,1349,-1.4205876588821411,-0.6336276531219482,3074.65283203125,0.1875
1,399,1399,-1.1473541259765625,-0.37372148036956787,3022.583251953125,0.2578125
1,449,1449,-1.093904972076416,-0.3336024284362793,2970.50244140625,0.2265625
1,499,1499,-1.0723176002502441,-0.3243486285209656,2922.314697265625,0.234375
1,549,1549,-1.0772536993026733,-0.34082841873168945,2877.213623046875,0.2734375
1,599,1599,-1.1794562339782715,-0.4539833664894104,2834.4228515625,0.2734375
1,649,1649,-1.0442922115325928,-0.3285605013370514,2796.363525390625,0.25
1,699,1699,-1.065870761871338,-0.35912004113197327,2761.27490234375,0.2109375
1,749,1749,-1.1149356365203857,-0.4163186550140381,2729.49658203125,0.25
1,799,1799,-1.0344445705413818,-0.34286922216415405,2701.985107421875,0.25
1,849,1849,-1.1458022594451904,-0.4608948826789856,2675.93310546875,0.2734375
1,899,1899,-1.0478222370147705,-0.3691532015800476,2651.560546875,0.21875
1,949,1949,-1.0130176544189453,-0.3408051133155823,2626.334228515625,0.203125
1,999,1999,-1.1474132537841797,-0.48320674896240234,2595.0546875,0.234375
2,0,2000,-2.8749115467071533,-1.0988953113555908,6938.89599609375,0.8203125
2,49,2049,-2.6542258262634277,-1.014509916305542,6406.3701171875,0.796875
2,99,2099,-2.3389320373535156,-0.8811744451522827,5695.4599609375,0.765625
2,149,2149,-2.0277507305145264,-0.7561233639717102,4968.248046875,0.6953125
2,199,2199,-1.936133623123169,-0.7447553873062134,4654.71484375,0.828125
2,249,2249,-1.899666428565979,-0.7235349416732788,4595.14599609375,0.8046875
2,299,2299,-1.879993200302124,-0.7126607894897461,4560.76806640625,0.78125
2,349,2349,-1.8650729656219482,-0.7054812908172607,4530.52490234375,0.734375
2,399,2399,-1.856344223022461,-0.7038125395774841,4502.94140625,0.7578125
2,449,2449,-1.8496439456939697,-0.7035929560661316,4477.62158203125,0.8125
2,499,2499,-1.8418188095092773,-0.7017174363136292,4454.3759765625,0.8046875
2,549,2549,-1.8350657224655151,-0.7004203796386719,4433.0595703125,0.8046875
2,599,2599,-1.8280327320098877,-0.6983886957168579,4413.51953125,0.7578125
2,649,2649,-1.8235232830047607,-0.6984707117080688,4395.580078125,0.796875
2,699,2699,-1.818068265914917,-0.6972483396530151,4379.0439453125,0.7578125
2,749,2749,-1.8138267993927002,-0.6969343423843384,4363.69921875,0.765625
2,799,2799,-1.809964895248413,-0.6967456340789795,4349.34814453125,0.78125
2,849,2849,-1.806201457977295,-0.696444034576416,4335.822265625,0.7890625
2,899,2899,-1.8021862506866455,-0.6957156658172607,4322.9814453125,0.7421875
2,949,2949,-1.79896879196167,-0.6956363320350647,4310.7197265625,0.7578125
2,999,2999,-1.796036958694458,-0.6957167983055115,4298.95068359375,0.7890625
3,0,3000,-1031.865234375,-970.36474609375,240282.21875,0.8203125
3,49,3049,-502.45452880859375,-444.4532775878906,226610.9375,0.796875
3,99,3099,-312.00396728515625,-263.2330017089844,190548.125,0.765625
