global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.305622100830078,-0.6932743787765503,6299.443359375,0.7265625
0,49,49,-2.304760456085205,-0.6932558417320251,6296.14892578125,0.7734375
0,99,99,-2.3037338256835938,-0.6930891275405884,6292.7890625,0.25
0,149,149,-2.302877426147461,-0.6930927634239197,6289.4287109375,0.1953125
0,199,199,-2.3017385005950928,-0.6928138732910156,6286.06884765625,0.2734375
0,249,249,-2.3013815879821777,-0.6933162808418274,6282.7109375,0.7265625
0,299,299,-2.3002843856811523,-0.6930787563323975,6279.35205078125,0.2734375
0,349,349,-2.299522876739502,-0.6931768655776978,6275.99365234375,0.75
0,399,399,-2.298555612564087,-0.6930691003799438,6272.6357421875,0.2265625
0,449,449,-2.2980713844299316,-0.6934436559677124,6269.2802734375,0.796875
0,499,499,-2.296729803085327,-0.6929612159729004,6265.92431640625,0.2734375
0,549,549,-2.295964479446411,-0.6930546164512634,6262.5693359375,0.21875
0,599,599,-2.295280933380127,-0.6932299137115479,6259.2138671875,0.703125
0,649,649,-2.2942256927490234,-0.6930333971977234,6255.85791015625,0.2890625
0,699,699,-2.2935361862182617,-0.6932021379470825,6252.50537109375,0.7734375
0,749,749,-2.2925992012023926,-0.6931232213973999,6249.15234375,0.265625
0,799,799,-2.2917473316192627,-0.6931295394897461,6245.7998046875,0.1796875
0,849,849,-2.2905659675598145,-0.6928063035011292,6242.44775390625,0.2265625
0,899,899,-2.2899222373962402,-0.6930198669433594,6239.09765625,0.3359375
0,949,949,-2.2893333435058594,-0.6932887434959412,6235.74658203125,0.8359375
0,999,999,-2.2889695167541504,-0.693782389163971,6232.39599609375,0.765625
1,0,1000,-4.501511573791504,-0.6931140422821045,14879.41015625,0.2734375
1,49,1049,-4.501447677612305,-0.6931495070457458,14879.0224609375,0.7734375
1,99,1099,-4.501344680786133,-0.6931485533714294,14878.623046875,0.75
1,149,1149,-4.501184463500977,-0.6930904984474182,14878.224609375,0.1953125
1,199,1199,-4.5011420249938965,-0.6931490898132324,14877.8291015625,0.7265625
1,249,1249,-4.501031875610352,-0.6931401491165161,14877.4345703125,0.2734375
1,299,1299,-4.500910758972168,-0.6931201219558716,14877.0390625,0.2734375
1,349,1349,-4.5008111000061035,-0.6931213736534119,14876.6455078125,0.25
1,399,1399,-4.500729084014893,-0.6931402087211609,14876.25,0.2265625
1,449,1449,-4.500635147094727,-0.6931473016738892,14875.8564453125,0.796875
1,499,1499,-4.500473976135254,-0.693087100982666,14875.4609375,0.2734375
1,549,1549,-4.500401020050049,-0.693115234375,14875.06640625,0.21875
1,599,1599,-4.500369071960449,-0.6931846141815186,14874.671875,0.703125
1,649,1649,-4.500250816345215,-0.6931664347648621,14874.279296875,0.7109375
1,699,1699,-4.500095367431641,-0.6931115388870239,14873.88671875,0.2265625
1,749,1749,-4.500041961669922,-0.6931580305099487,14873.4951171875,0.734375
1,799,1799,-4.499919414520264,-0.6931362152099609,14873.1025390625,0.1796875
1,849,1849,-4.499826431274414,-0.6931430697441101,14872.712890625,0.2265625
1,899,1899,-4.499717712402344,-0.6931341290473938,14872.322265625,0.3359375
1,949,1949,-4.499697208404541,-0.693213701248169,14871.931640625,0.8359375
1,999,1999,-4.499524116516113,-0.6931414008140564,14871.5380859375,0.234375
2,0,2000,-4.481200695037842,-0.6931480169296265,14799.9228515625,0.7265625
2,49,2049,-4.48105525970459,-0.6931024789810181,14799.533203125,0.2265625
2,99,2099,-4.480950832366943,-0.6930990219116211,14799.1376953125,0.25
2,149,2149,-4.48091983795166,-0.6931699514389038,14798.73828125,0.8046875
2,199,2199,-4.480769157409668,-0.6931205987930298,14798.34375,0.2734375
2,249,2249,-4.480690956115723,-0.6931440830230713,14797.9462890625,0.2734375
2,299,2299,-4.480559349060059,-0.6931134462356567,14797.5517578125,0.2734375
2,349,2349,-4.480438232421875,-0.6930932402610779,14797.1572265625,0.25
2,399,2399,-4.480356216430664,-0.6931129693984985,14796.7607421875,0.2265625
2,449,2449,-4.480276107788086,-0.6931329965591431,14796.3681640625,0.203125
2,499,2499,-4.480194568634033,-0.6931523680686951,14795.974609375,0.7265625
2,549,2549,-4.480079174041748,-0.6931374669075012,14795.58203125,0.21875
2,599,2599,-4.479992389678955,-0.6931519508361816,14795.1865234375,0.703125
2,649,2649,-4.4798970222473145,-0.6931563019752502,14794.7958984375,0.7109375
2,699,2699,-4.479761123657227,-0.6931219696998596,14794.4013671875,0.2265625
2,749,2749,-4.479628562927246,-0.6930890083312988,14794.009765625,0.265625
2,799,2799,-4.479586124420166,-0.6931464672088623,14793.6201171875,0.1796875
2,849,2849,-4.479453086853027,-0.6931139230728149,14793.2275390625,0.2265625
2,899,2899,-4.479367256164551,-0.6931282877922058,14792.8349609375,0.3359375
2,949,2949,-4.479185104370117,-0.6930465698242188,14792.4443359375,0.1640625
2,999,2999,-4.479159832000732,-0.6931213140487671,14792.0537109375,0.234375
3,0,3000,-4.46082878112793,-0.6931124925613403,14720.4677734375,0.2734375
3,49,3049,-4.460715293884277,-0.6930986642837524,14720.078125,0.2265625
3,99,3099,-4.460635185241699,-0.6931196451187134,14719.6826171875,0.25
3,149,3149,-4.460540771484375,-0.6931276321411133,14719.2861328125,0.1953125
3,199,3199,-4.460412979125977,-0.6931008100509644,14718.8876953125,0.2734375
3,249,3249,-4.460335731506348,-0.6931250095367432,14718.4931640625,0.2734375
3,299,3299,-4.460239887237549,-0.693130612373352,14718.09765625,0.2734375
3,349,3349,-4.46013069152832,-0.6931222677230835,14717.7041015625,0.25
3,399,3399,-4.460022449493408,-0.6931151747703552,14717.30859375,0.2265625
3,449,3449,-4.459972381591797,-0.6931660175323486,14716.9140625,0.796875
3,499,3499,-4.459825038909912,-0.6931195259094238,14716.51953125,0.2734375
3,549,3549,-4.459794521331787,-0.6931890249252319,14716.12890625,0.78125
3,599,3599,-4.459645748138428,-0.6931414604187012,14715.7333984375,0.296875
3,649,3649,-4.45957612991333,-0.693172037601471,14715.341796875,0.7109375
3,699,3699,-4.459406852722168,-0.6931038498878479,14714.9482421875,0.2265625
3,749,3749,-4.459300518035889,-0.6930973529815674,14714.556640625,0.265625
3,799,3799,-4.459179878234863,-0.6930761933326721,14714.166015625,0.1796875
3,849,3849,-4.459061622619629,-0.6930582523345947,14713.775390625,0.2265625
3,899,3899,-4.4590349197387695,-0.6931319832801819,14713.3837890625,0.3359375
3,949,3949,-4.458832740783691,-0.6930295825004578,14712.9931640625,0.1640625
3,999,3999,-4.458848476409912,-0.6931451559066772,14712.6044921875,0.234375
4,0,4000,-4.440482139587402,-0.6930941939353943,14641.044921875,0.2734375
4,49,4049,-4.4403791427612305,-0.6930903792381287,14640.6572265625,0.2265625
4,99,4099,-4.440330505371094,-0.6931432485580444,14640.2607421875,0.25
4,149,4149,-4.440203666687012,-0.693118691444397,14639.86328125,0.1953125
4,199,4199,-4.440033912658691,-0.6930487155914307,14639.470703125,0.2734375
4,249,4249,-4.440033912658691,-0.6931512355804443,14639.0703125,0.7265625
4,299,4299,-4.439906597137451,-0.6931253671646118,14638.67578125,0.2734375
4,349,4349,-4.439781188964844,-0.6931005716323853,14638.2822265625,0.25
4,399,4399,-4.439662933349609,-0.6930833458900452,14637.8876953125,0.2265625
4,449,4449,-4.439518928527832,-0.6930406093597412,14637.4931640625,0.203125
4,499,4499,-4.439497947692871,-0.6931197643280029,14637.1015625,0.2734375
4,549,4549,-4.439357280731201,-0.693079948425293,14636.70703125,0.21875
4,599,4599,-4.439299583435059,-0.6931229829788208,14636.3125,0.296875
4,649,4649,-4.439145565032959,-0.6930691003799438,14635.921875,0.2890625
4,699,4699,-4.439145088195801,-0.6931681632995605,14635.533203125,0.7734375
4,749,4749,-4.438986778259277,-0.6931110620498657,14635.13671875,0.265625
4,799,4799,-4.438842296600342,-0.6930665969848633,14634.74609375,0.1796875
4,849,4849,-4.438809394836426,-0.6931338310241699,14634.3544921875,0.2265625
4,899,4899,-4.438699722290039,-0.6931241750717163,14633.9638671875,0.3359375
4,949,4949,-4.438544273376465,-0.6930683851242065,14633.57421875,0.1640625
4,999,4999,-4.43843412399292,-0.6930583119392395,14633.1845703125,0.234375
5,0,5000,-4.420168876647949,-0.6930996775627136,14561.6591796875,0.2734375
5,49,5049,-4.420069694519043,-0.6931008100509644,14561.2685546875,0.2265625
5,99,5099,-4.419964790344238,-0.6930971145629883,14560.873046875,0.25
5,149,5149,-4.419793128967285,-0.693027138710022,14560.474609375,0.1953125
5,199,5199,-4.419795036315918,-0.6931301355361938,14560.0810546875,0.2734375
5,249,5249,-4.419679164886475,-0.6931154131889343,14559.685546875,0.2734375
5,299,5299,-4.419549942016602,-0.6930873394012451,14559.291015625,0.2734375
5,349,5349,-4.419466018676758,-0.6931043267250061,14558.896484375,0.25
5,399,5399,-4.419321060180664,-0.693060040473938,14558.5029296875,0.2265625
5,449,5449,-4.419212341308594,-0.6930522322654724,14558.107421875,0.203125
5,499,5499,-4.4191155433654785,-0.6930563449859619,14557.7138671875,0.2734375
5,549,5549,-4.419040679931641,-0.6930825114250183,14557.3212890625,0.21875
5,599,5599,-4.418970584869385,-0.6931124925613403,14556.927734375,0.296875
5,649,5649,-4.4188337326049805,-0.6930763721466064,14556.5361328125,0.2890625
5,699,5699,-4.418766021728516,-0.6931087970733643,14556.1435546875,0.2265625
5,749,5749,-4.418635368347168,-0.6930778622627258,14555.7529296875,0.265625
5,799,5799,-4.41849422454834,-0.6930369138717651,14555.361328125,0.1796875
5,849,5849,-4.418426513671875,-0.6930696964263916,14554.9716796875,0.2265625
5,899,5899,-4.418369293212891,-0.6931118369102478,14554.580078125,0.3359375
5,949,5949,-4.418195724487305,-0.6930387020111084,14554.1904296875,0.1640625
5,999,5999,-4.41815185546875,-0.6930949687957764,14553.798828125,0.234375
6,0,6000,-4.399893283843994,-0.6931346654891968,14482.3076171875,0.2734375
6,49,6049,-4.399763107299805,-0.6931042075157166,14481.916015625,0.2265625
6,99,6099,-4.399609565734863,-0.6930521726608276,14481.521484375,0.25
6,149,6149,-4.399508476257324,-0.6930524110794067,14481.1240234375,0.1953125
6,199,6199,-4.399473190307617,-0.693118691444397,14480.728515625,0.2734375
6,249,6249,-4.399337291717529,-0.6930837631225586,14480.3330078125,0.2734375
