global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.305117130279541,-0.6927694082260132,6299.443359375,0.203125
0,49,49,-2.2219948768615723,-0.6929250955581665,5974.07666015625,0.21875
0,99,99,-2.139157295227051,-0.6927796602249146,5650.998046875,0.2421875
0,149,149,-2.059375524520874,-0.6931764483451843,5337.740234375,0.7421875
0,199,199,-1.9814882278442383,-0.6928352117538452,5034.76708984375,0.2890625
0,249,249,-1.9066004753112793,-0.6927614212036133,4742.46923828125,0.203125
0,299,299,-1.8338589668273926,-0.6920158267021179,4461.18115234375,0.265625
0,349,349,-1.7658604383468628,-0.6931171417236328,4191.20849609375,0.328125
0,399,399,-1.6988084316253662,-0.6922187805175781,3932.74560546875,0.21875
0,449,449,-1.6352635622024536,-0.6918395757675171,3685.9580078125,0.265625
0,499,499,-1.5752289295196533,-0.6919627785682678,3450.921142578125,0.1953125
0,549,549,-1.5174124240875244,-0.6912984251976013,3227.627685546875,0.1953125
0,599,599,-1.4631998538970947,-0.6912522912025452,3015.999267578125,0.2578125
0,649,649,-1.4095561504364014,-0.6888207793235779,2815.913330078125,0.21875
0,699,699,-1.3626599311828613,-0.69023197889328,2627.176025390625,0.3203125
0,749,749,-1.3143975734710693,-0.6874277591705322,2449.5712890625,0.2734375
0,799,799,-1.2669007778167725,-0.6825962066650391,2282.87841796875,0.1796875
0,849,849,-1.2241361141204834,-0.6798027753829956,2126.71044921875,0.2265625
0,899,899,-1.1872369050979614,-0.6803357601165771,1980.462890625,0.3046875
0,949,949,-1.1411323547363281,-0.669315755367279,1843.387939453125,0.2578125
0,999,999,-1.0931612253189087,-0.6543166637420654,1714.56591796875,0.234375
1,0,1000,-2.720663547515869,-0.5995827913284302,8287.0634765625,0.203125
1,49,1049,-2.713538646697998,-0.6009196043014526,8254.0029296875,0.21875
1,99,1099,-2.708629846572876,-0.6036102175712585,8224.3115234375,0.2421875
1,149,1149,-2.713827610015869,-0.6154829263687134,8198.2333984375,0.2578125
1,199,1199,-2.7131917476654053,-0.6207349300384521,8175.2294921875,0.2890625
1,249,1249,-2.6761395931243896,-0.5888898372650146,8154.88525390625,0.203125
1,299,1299,-2.6878297328948975,-0.6052124500274658,8136.7861328125,0.265625
1,349,1349,-2.7100839614868164,-0.6315999627113342,8120.63720703125,0.328125
1,399,1399,-2.6646077632904053,-0.5898211002349854,8106.19189453125,0.21875
1,449,1449,-2.674755096435547,-0.6032940149307251,8093.19970703125,0.265625
1,499,1499,-2.647658348083496,-0.5791922807693481,8081.49755859375,0.1953125
1,549,1549,-2.6357059478759766,-0.5699459314346313,8070.92431640625,0.1953125
1,599,1599,-2.6565918922424316,-0.5932875871658325,8061.33056640625,0.2578125
1,649,1649,-2.644352674484253,-0.5832779407501221,8052.619140625,0.21875
1,699,1699,-2.681813955307007,-0.6227712631225586,8044.68017578125,0.3203125
1,749,1749,-2.661989688873291,-0.6048033237457275,8037.42724609375,0.2734375
1,799,1799,-2.6112403869628906,-0.5557515025138855,8030.794921875,0.1796875
1,849,1849,-2.63537859916687,-0.5814477205276489,8024.7080078125,0.2265625
1,899,1899,-2.661531686782837,-0.609032392501831,8019.115234375,0.3046875
1,949,1949,-2.644258737564087,-0.5930763483047485,8013.9697265625,0.2578125
1,999,1999,-2.627878189086914,-0.5779111385345459,8009.2216796875,0.234375
2,0,2000,-7.7961530685424805,-6.554354667663574,4851.7080078125,0.203125
2,49,2049,-8.347490310668945,-7.109745025634766,4835.86962890625,0.21875
2,99,2099,-8.147107124328613,-6.913141250610352,4821.10595703125,0.2421875
2,149,2149,-9.988452911376953,-8.757986068725586,4807.435546875,0.2578125
2,199,2199,-9.494616508483887,-8.267364501953125,4794.87255859375,0.2890625
2,249,2249,-6.577270030975342,-5.352970123291016,4783.33984375,0.203125
2,299,2299,-7.492445945739746,-6.270770072937012,4773.0888671875,0.265625
2,349,2349,-10.292174339294434,-9.072771072387695,4764.208984375,0.328125
2,399,2399,-5.942530632019043,-4.725010871887207,4756.849609375,0.21875
2,449,2449,-5.848532199859619,-4.6324357986450195,4751.28857421875,0.265625
2,499,2499,-5.063133239746094,-3.847952365875244,4747.71240234375,0.1953125
2,549,2549,-4.120282173156738,-2.905446767807007,4746.361328125,0.1953125
2,599,2599,-5.005256652832031,-3.790174722671509,4747.32421875,0.2578125
2,649,2649,-4.243762016296387,-3.027775287628174,4750.86083984375,0.21875
2,699,2699,-5.773534774780273,-4.55599308013916,4756.9375,0.3203125
2,749,2749,-4.334316253662109,-3.1145925521850586,4765.46044921875,0.2734375
