global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-25.305374145507812,-0.7798416614532471,95821.265625,0.453125
0,49,49,-4.657665252685547,-0.39150574803352356,16667.88671875,0.1484375
0,99,99,-3.4164528846740723,-0.3412829637527466,12014.689453125,0.1328125
0,149,149,-2.969282627105713,-0.4009411334991455,10034.5107421875,0.1796875
0,199,199,-2.7541563510894775,-0.41566112637519836,9136.501953125,0.21875
0,249,249,-2.3687052726745605,-0.29485809803009033,8102.521484375,0.109375
0,299,299,-2.2519216537475586,-0.31130415201187134,7581.9931640625,0.1484375
0,349,349,-2.121199131011963,-0.3639146089553833,6865.7109375,0.171875
0,399,399,-1.9258301258087158,-0.3097562789916992,6314.0009765625,0.09375
0,449,449,-1.7921829223632812,-0.30559566617012024,5808.09716796875,0.1171875
0,499,499,-1.6350352764129639,-0.32374250888824463,5123.2216796875,0.1796875
0,549,549,-1.4358245134353638,-0.2716989815235138,4548.23828125,0.109375
0,599,599,-1.4095059633255005,-0.3434215784072876,4165.19140625,0.1796875
0,649,649,-1.2892671823501587,-0.29241734743118286,3894.6923828125,0.1484375
0,699,699,-1.3611690998077393,-0.40684112906455994,3728.559814453125,0.1953125
0,749,749,-1.2604111433029175,-0.365608811378479,3495.99267578125,0.1640625
0,799,799,-1.0517791509628296,-0.20101255178451538,3323.9453125,0.046875
0,849,849,-1.1233819723129272,-0.340421587228775,3059.026611328125,0.15625
0,899,899,-1.1274194717407227,-0.3478237986564636,3045.88037109375,0.1640625
0,949,949,-1.1276206970214844,-0.38845372200012207,2887.92529296875,0.1640625
0,999,999,-0.966315746307373,-0.2874487638473511,2652.33349609375,0.1328125
0,1049,1049,-0.9581732749938965,-0.32564884424209595,2471.27294921875,0.1484375
0,1099,1099,-0.8983640074729919,-0.29440587759017944,2359.66455078125,0.1171875
0,1149,1149,-0.9556413888931274,-0.3810902237892151,2244.771484375,0.2109375
0,1199,1199,-0.8795263171195984,-0.3332577347755432,2134.271484375,0.140625
0,1249,1249,-0.9427299499511719,-0.43174558877944946,1996.416259765625,0.1875
0,1299,1299,-0.8581960201263428,-0.35854363441467285,1952.141845703125,0.1640625
0,1349,1349,-0.7720040082931519,-0.3153344690799713,1784.2078857421875,0.140625
0,1399,1399,-0.7456745505332947,-0.32745862007141113,1633.9697265625,0.125
0,1449,1449,-0.7309898138046265,-0.33378493785858154,1551.879638671875,0.125
0,1499,1499,-0.7223833799362183,-0.346619576215744,1468.109375,0.15625
0,1549,1549,-0.6842143535614014,-0.3272332549095154,1394.725341796875,0.1328125
0,1599,1599,-0.7473102807998657,-0.4117186665534973,1311.156494140625,0.2109375
0,1649,1649,-0.6734194755554199,-0.3335523009300232,1327.86083984375,0.109375
0,1699,1699,-0.700847864151001,-0.3929905891418457,1202.79833984375,0.1953125
0,1749,1749,-0.6620354056358337,-0.36278486251831055,1169.171875,0.140625
0,1799,1799,-0.7248724699020386,-0.4184308350086212,1197.2674560546875,0.1953125
0,1849,1849,-0.5483784675598145,-0.28580161929130554,1025.8876953125,0.1015625
0,1899,1899,-0.5887516736984253,-0.3335055410861969,997.2467041015625,0.1328125
0,1949,1949,-0.5593590140342712,-0.31734317541122437,945.555908203125,0.09375
0,1999,1999,-0.6411070823669434,-0.401073157787323,937.812744140625,0.1875
1,0,2000,-0.8904075622558594,-0.4043219983577728,1899.13623046875,0.1875
1,49,2049,-0.4584307372570038,-0.29520297050476074,637.7308959960938,0.1328125
1,99,2099,-0.4227895736694336,-0.33081454038619995,359.34649658203125,0.15625
1,149,2149,-0.4930121898651123,-0.41890689730644226,289.5294494628906,0.1875
1,199,2199,-0.49923479557037354,-0.4352170526981354,250.11734008789062,0.2109375
