global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-25.304996490478516,-0.779965877532959,95819.3046875,0.46875
0,49,49,-4.700627326965332,-0.39656001329421997,16815.9921875,0.15625
0,99,99,-3.401686668395996,-0.3347693681716919,11982.4462890625,0.109375
0,149,149,-2.990414619445801,-0.40678396821022034,10094.24609375,0.1953125
0,199,199,-2.720214605331421,-0.4222996234893799,8977.9541015625,0.2109375
0,249,249,-2.406458854675293,-0.28703033924102783,8280.607421875,0.1015625
0,299,299,-2.2827303409576416,-0.3101392388343811,7706.9140625,0.1484375
0,349,349,-2.2069761753082275,-0.371701717376709,7170.41796875,0.171875
0,399,399,-1.8955553770065308,-0.30932608246803284,6197.3984375,0.09375
0,449,449,-1.725145697593689,-0.305256187915802,5547.5087890625,0.125
0,499,499,-1.591458797454834,-0.3258207142353058,4944.8486328125,0.1796875
0,549,549,-1.403588056564331,-0.27324044704437256,4416.2685546875,0.1171875
0,599,599,-1.3806183338165283,-0.3380524218082428,4073.3056640625,0.171875
0,649,649,-1.2880020141601562,-0.297802597284317,3868.70947265625,0.140625
0,699,699,-1.316818118095398,-0.4022287428379059,3573.30078125,0.1953125
0,749,749,-1.2781378030776978,-0.364749550819397,3568.608154296875,0.1796875
0,799,799,-1.0258914232254028,-0.19832901656627655,3233.286376953125,0.046875
0,849,849,-1.1310698986053467,-0.33866772055625916,3095.91552734375,0.171875
0,899,899,-1.1166160106658936,-0.3570849299430847,2967.48779296875,0.171875
0,949,949,-1.1152756214141846,-0.3895469009876251,2835.42236328125,0.171875
0,999,999,-0.9597060680389404,-0.28794920444488525,2624.55419921875,0.125
1,0,1000,-2.219144821166992,-0.3554948568344116,7281.28173828125,0.1484375
1,49,1049,-7.276758193969727,-0.3131144344806671,27206.95703125,0.1640625
1,99,1099,-7.31917667388916,-0.357122004032135,27200.75,0.1796875
1,149,1149,-7.428167343139648,-0.46159160137176514,27218.4140625,0.2421875
1,199,1199,-7.441338062286377,-0.47606223821640015,27213.333984375,0.2265625
1,249,1249,-7.282742977142334,-0.3168657422065735,27215.68359375,0.140625
1,299,1299,-7.361920356750488,-0.39943861961364746,27202.41796875,0.203125
1,349,1349,-7.421324729919434,-0.45350539684295654,27223.2734375,0.2421875
1,399,1399,-7.305051326751709,-0.34171122312545776,27205.771484375,0.1328125
1,449,1449,-7.32484769821167,-0.360883891582489,27208.20703125,0.1640625
1,499,1499,-7.334425926208496,-0.3699151873588562,27210.345703125,0.171875
1,549,1549,-7.276924133300781,-0.3133380711078644,27206.734375,0.09375
1,599,1599,-7.3212409019470215,-0.36075589060783386,27194.6171875,0.1875
1,649,1649,-7.317955017089844,-0.3532103896141052,27211.26171875,0.171875
1,699,1699,-7.442685127258301,-0.4797530770301819,27204.17578125,0.2421875
1,749,1749,-7.376921653747559,-0.4133743345737457,27206.580078125,0.1953125
1,799,1799,-7.2494401931762695,-0.28443485498428345,27212.275390625,0.140625
1,849,1849,-7.347970008850098,-0.3856698274612427,27201.708984375,0.1875
1,899,1899,-7.422212600708008,-0.45488688349723816,27221.34375,0.21875
1,949,1949,-7.357226848602295,-0.39178431034088135,27213.984375,0.1875
1,999,1999,-7.307351112365723,-0.3442005515098572,27205.03125,0.1484375
2,0,2000,-8.830366134643555,-0.3686419129371643,33059.95703125,0.1484375
2,49,2049,-3.18959903717041,-0.3786696493625641,10982.30078125,0.171875
2,99,2099,-3.156773090362549,-0.3467889428138733,10978.609375,0.171875
2,149,2149,-3.2886734008789062,-0.47874313592910767,10978.3984375,0.265625
2,199,2199,-3.290071964263916,-0.4801868498325348,10978.220703125,0.2578125
2,249,2249,-3.170168876647949,-0.36027833819389343,10978.2431640625,0.1796875
2,299,2299,-3.2424473762512207,-0.43222373723983765,10979.544921875,0.2421875
2,349,2349,-3.312999963760376,-0.5028219819068909,10979.3662109375,0.2578125
2,399,2399,-3.173694133758545,-0.3636683225631714,10978.771484375,0.171875
2,449,2449,-3.2151730060577393,-0.4054151177406311,10977.724609375,0.203125
2,499,2499,-3.196808338165283,-0.3865489065647125,10979.6845703125,0.1796875
2,549,2549,-3.1393227577209473,-0.32915180921554565,10979.337890625,0.140625
2,599,2599,-3.218212604522705,-0.4077083468437195,10980.640625,0.203125
2,649,2649,-3.1431708335876465,-0.333986759185791,10975.4833984375,0.1484375
2,699,2699,-3.331015110015869,-0.521220326423645,10977.869140625,0.2734375
2,749,2749,-3.2362818717956543,-0.42610645294189453,10979.35546875,0.203125
2,799,2799,-3.1168510913848877,-0.3066244125366211,10979.556640625,0.1640625
2,849,2849,-3.225785255432129,-0.4156864285469055,10979.056640625,0.2109375
2,899,2899,-3.2966089248657227,-0.4864676594734192,10979.22265625,0.25
2,949,2949,-3.2743992805480957,-0.46438685059547424,10978.71875,0.234375
2,999,2999,-3.177279472351074,-0.3675726652145386,10977.525390625,0.1953125
3,0,3000,-2.6513373851776123,-0.3456140160560608,9008.4619140625,0.140625
3,49,3049,-6.989373207092285,-0.3153582215309143,26075.37890625,0.1640625
3,99,3099,-7.018506050109863,-0.3416818678379059,26086.353515625,0.171875
3,149,3149,-7.131840229034424,-0.45686596632003784,26079.125,0.21875
3,199,3199,-7.132775783538818,-0.4561857283115387,26085.4375,0.21875
3,249,3249,-6.997271537780762,-0.3190265893936157,26091.90625,0.1484375
3,299,3299,-7.064818382263184,-0.3911673426628113,26073.95703125,0.1953125
3,349,3349,-7.1283063888549805,-0.4521569311618805,26083.716796875,0.234375
3,399,3399,-7.011739253997803,-0.33512645959854126,26085.52734375,0.1328125
3,449,3449,-7.043705940246582,-0.3678515553474426,26082.56640625,0.1796875
3,499,3499,-7.04976749420166,-0.37588152289390564,26074.873046875,0.1796875
3,549,3549,-6.991024017333984,-0.31477826833724976,26084.09375,0.1171875
3,599,3599,-7.03173828125,-0.3562711775302887,26081.05078125,0.1875
3,649,3649,-7.019469261169434,-0.3409958481788635,26092.796875,0.15625
3,699,3699,-7.145938396453857,-0.46710729598999023,26094.1953125,0.2265625
3,749,3749,-7.06867790222168,-0.3942367434501648,26077.04296875,0.1796875
3,799,3799,-6.952836036682129,-0.280376136302948,26069.3046875,0.15625
3,849,3849,-7.05448055267334,-0.37579935789108276,26093.607421875,0.1796875
3,899,3899,-7.1152777671813965,-0.4397324323654175,26081.357421875,0.21875
3,949,3949,-7.074142932891846,-0.3980342149734497,26083.55859375,0.1875
3,999,3999,-7.021780014038086,-0.34590232372283936,26082.65625,0.15625
4,0,4000,-8.131869316101074,-0.366840124130249,30337.97265625,0.1484375
4,49,4049,-3.6058571338653564,-0.37333616614341736,12629.4599609375,0.171875
4,99,4099,-3.569711208343506,-0.33772993087768555,12627.3515625,0.1640625
4,149,4149,-3.7052817344665527,-0.47293752431869507,12628.76953125,0.2421875
4,199,4199,-3.7048652172088623,-0.4731186628341675,12626.4345703125,0.2578125
4,249,4249,-3.583646774291992,-0.35162442922592163,12627.5126953125,0.171875
4,299,4299,-3.659940004348755,-0.42718735337257385,12630.365234375,0.2421875
4,349,4349,-3.728074550628662,-0.495283305644989,12630.515625,0.2578125
