communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.5490949153900146,0.7757786512374878,-0.5512088537216187,0.769758403301239
20,1,-0.3620205521583557,0.8321859240531921,-0.3668585419654846,0.8251433372497559
40,2,-0.3864036500453949,0.8171627521514893,-0.3963524103164673,0.8080466985702515
60,3,-0.3612421751022339,0.8314692974090576,-0.3689914047718048,0.827088475227356
80,4,-0.38485488295555115,0.8176490068435669,-0.3945640027523041,0.8086609244346619
100,5,-0.3625209629535675,0.8301384449005127,-0.370596319437027,0.8235053420066833
120,6,-0.383396714925766,0.8180329203605652,-0.39127615094184875,0.8085585832595825
140,7,-0.36499300599098206,0.8290379643440247,-0.37298741936683655,0.8211507201194763
160,8,-0.38214564323425293,0.8191078305244446,-0.39096859097480774,0.8086609244346619
180,9,-0.3670603930950165,0.8272464275360107,-0.37523379921913147,0.8191031813621521
200,10,-0.38109031319618225,0.8196197152137756,-0.39003729820251465,0.809684693813324
