communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6931501626968384,0.2384766936302185,-0.6931519508361816,0.24252662062644958
20,1,-19.340118408203125,0.8451616168022156,-19.997732162475586,0.8382473587989807
40,2,-0.6935078501701355,0.2604611814022064,-0.6934971213340759,0.2641277611255646
60,3,-0.4391934275627136,0.8458014726638794,-0.4412958323955536,0.8418304920196533
80,4,-0.6934267282485962,0.31546080112457275,-0.6934157609939575,0.3177723288536072
100,5,-0.622596025466919,0.8442914485931396,-0.6229507923126221,0.8419328331947327
120,6,-0.6933489441871643,0.38021141290664673,-0.6933393478393555,0.38452088832855225
140,7,-0.6640900373458862,0.8400942087173462,-0.66414475440979,0.8363022208213806
160,8,-0.6932162642478943,0.45972922444343567,-0.6932029724121094,0.46212121844291687
180,9,-0.6773934364318848,0.8292171359062195,-0.6774229407310486,0.8254504799842834
200,10,-0.6930766701698303,0.5165971517562866,-0.6930632591247559,0.5196560025215149
