global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-246.94741821289062,-0.3578687012195587,96169.921875,0.0234375
0,49,49,-37.13450622558594,-0.24293959140777588,14387.7109375,0.015625
0,99,99,-26.061601638793945,-0.1790207028388977,10094.2060546875,0.0078125
0,149,149,-22.40375518798828,-0.17323333024978638,8669.904296875,0.015625
0,199,199,-21.830379486083984,-0.13047778606414795,8462.9609375,0.0
0,249,249,-18.257347106933594,-0.17259091138839722,7053.0546875,0.0234375
0,299,299,-17.75675392150879,-0.1367572546005249,6871.798828125,0.0078125
0,349,349,-13.259774208068848,-0.1505872756242752,5112.5830078125,0.015625
0,399,399,-11.775559425354004,-0.16513513028621674,4528.0654296875,0.0234375
0,449,449,-10.376907348632812,-0.11472243815660477,4002.251708984375,0.0
0,499,499,-9.508024215698242,-0.14741390943527222,3650.63818359375,0.015625
0,549,549,-8.764425277709961,-0.1309143304824829,3367.069091796875,0.0078125
0,599,599,-8.236030578613281,-0.14691698551177979,3154.754150390625,0.015625
0,649,649,-7.949489116668701,-0.1467476338148117,3043.069091796875,0.015625
0,699,699,-7.179808616638184,-0.11356355249881744,2755.83544921875,0.0
0,749,749,-6.707720756530762,-0.16304340958595276,2552.423828125,0.0234375
0,799,799,-6.236720085144043,-0.12980115413665771,2381.6982421875,0.0078125
0,849,849,-6.077110290527344,-0.14619353413581848,2313.057373046875,0.015625
0,899,899,-5.716167449951172,-0.14625491201877594,2172.26611328125,0.015625
0,949,949,-5.150240898132324,-0.12959825992584229,1958.050537109375,0.0078125
0,999,999,-4.840378761291504,-0.1461067795753479,1830.7659912109375,0.015625
1,0,1000,-5.519625663757324,-0.2854214906692505,2041.3397216796875,0.0703125
1,49,1049,-74.55062866210938,-0.2220945954322815,28988.125,0.0390625
1,99,1099,-74.5434799194336,-0.21269279718399048,28989.00390625,0.0234375
1,149,1149,-74.55400085449219,-0.22116932272911072,28989.8046875,0.0234375
1,199,1199,-74.50277709960938,-0.23033888638019562,28966.25,0.0390625
1,249,1249,-74.55657958984375,-0.21540796756744385,28993.05859375,0.03125
1,299,1299,-74.5407943725586,-0.20196621119976044,28992.142578125,0.03125
1,349,1349,-74.54972839355469,-0.22063492238521576,28988.34375,0.0234375
1,399,1399,-74.56156921386719,-0.2311021089553833,28988.880859375,0.0390625
1,449,1449,-74.51362609863281,-0.2231546938419342,28973.28125,0.03125
1,499,1499,-74.46664428710938,-0.20658984780311584,28961.421875,0.015625
1,549,1549,-74.53919982910156,-0.22738927602767944,28981.60546875,0.046875
1,599,1599,-74.5484848022461,-0.208748459815979,28992.49609375,0.015625
1,649,1649,-74.48406982421875,-0.22928424179553986,28959.36328125,0.0390625
1,699,1699,-74.55880737304688,-0.22888465225696564,28988.66796875,0.03125
1,749,1749,-74.49815368652344,-0.2275647222995758,28965.52734375,0.0234375
1,799,1799,-74.56642150878906,-0.22577321529388428,28992.8515625,0.046875
1,849,1849,-74.47931671142578,-0.20848038792610168,28965.625,0.0234375
1,899,1899,-74.52310180664062,-0.2181416153907776,28978.93359375,0.03125
1,949,1949,-74.55873107910156,-0.23035016655921936,28988.06640625,0.0390625
1,999,1999,-74.51655578613281,-0.22075527906417847,28975.36328125,0.0234375
