global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-1.541853904724121,-0.6932154893875122,6299.443359375,0.703125
0,49,49,-1.1544550657272339,-0.6916428804397583,3435.454833984375,0.2734375
0,99,99,-0.90179443359375,-0.6779509782791138,1661.58984375,0.2109375
0,149,149,-0.6472598910331726,-0.5363228917121887,823.4852294921875,0.3125
0,199,199,-0.5073921084403992,-0.42884474992752075,583.0572509765625,0.265625
0,249,249,-0.40219858288764954,-0.33716514706611633,482.7432556152344,0.25
0,299,299,-0.5281780958175659,-0.47280025482177734,411.0693054199219,0.328125
0,349,349,-0.4713827967643738,-0.4228946268558502,359.9277648925781,0.296875
0,399,399,-0.4084506034851074,-0.3652132749557495,320.9507751464844,0.25
0,449,449,-0.4211145043373108,-0.38170623779296875,292.5275573730469,0.25
0,499,499,-0.4173522889614105,-0.3798966407775879,278.03326416015625,0.2578125
0,549,549,-0.35482001304626465,-0.3189213275909424,266.4759216308594,0.2421875
0,599,599,-0.4373135566711426,-0.40295377373695374,255.05276489257812,0.328125
0,649,649,-0.38544762134552,-0.3522946536540985,246.094482421875,0.2421875
0,699,699,-0.37768611311912537,-0.3454281687736511,239.45066833496094,0.2421875
0,749,749,-0.4620794951915741,-0.43100160360336304,230.69119262695312,0.234375
0,799,799,-0.42248716950416565,-0.3923901617527008,223.4100341796875,0.1875
0,849,849,-0.39499953389167786,-0.3649899363517761,222.76124572753906,0.1484375
0,899,899,-0.43299198150634766,-0.40255236625671387,225.9532012939453,0.1640625
0,949,949,-0.37568676471710205,-0.3456067740917206,223.2837677001953,0.234375
0,999,999,-0.38618868589401245,-0.35665464401245117,219.2312469482422,0.1328125
1,0,1000,-38.12849426269531,-37.63264465332031,3680.677734375,0.296875
1,49,1049,-1.3680864572525024,-0.5130130648612976,6347.21044921875,0.2734375
1,99,1099,-1.3432319164276123,-0.48815855383872986,6347.21044921875,0.2109375
1,149,1149,-1.3855338096618652,-0.5304603576660156,6347.21044921875,0.3125
1,199,1199,-1.35990571975708,-0.5048323273658752,6347.21044921875,0.265625
1,249,1249,-1.3324861526489258,-0.47741276025772095,6347.21044921875,0.25
1,299,1299,-1.4066612720489502,-0.5515879392623901,6347.21044921875,0.328125
1,349,1349,-1.3726286888122559,-0.5175552368164062,6347.21044921875,0.296875
1,399,1399,-1.346429467201233,-0.4913560450077057,6347.21044921875,0.25
1,449,1449,-1.3563315868377686,-0.5012580752372742,6347.21044921875,0.25
1,499,1499,-1.3437221050262451,-0.4886486530303955,6347.21044921875,0.2578125
1,549,1549,-1.3285915851593018,-0.4735180735588074,6347.21044921875,0.2421875
1,599,1599,-1.3897590637207031,-0.5346856117248535,6347.21044921875,0.328125
1,649,1649,-1.3365423679351807,-0.48146891593933105,6347.21044921875,0.2421875
1,699,1699,-1.3401316404342651,-0.4850581884384155,6347.21044921875,0.2421875
1,749,1749,-1.4102857112884521,-0.5552123188972473,6347.21044921875,0.34375
1,799,1799,-1.3566161394119263,-0.5015426874160767,6347.21044921875,0.2578125
1,849,1849,-1.3460177183151245,-0.4909442663192749,6347.21044921875,0.2578125
1,899,1899,-1.3718068599700928,-0.5167334079742432,6347.21044921875,0.28125
1,949,1949,-1.3385486602783203,-0.4834752082824707,6347.21044921875,0.234375
1,999,1999,-1.3403266668319702,-0.485253244638443,6347.21044921875,0.2421875
2,0,2000,-2.649712324142456,-0.6900487542152405,14546.58203125,0.296875
2,49,2049,-2.599349021911621,-0.6892980337142944,14178.310546875,0.2734375
2,99,2099,-2.5983729362487793,-0.6883218288421631,14178.310546875,0.2109375
2,149,2149,-2.599991798400879,-0.6899405121803284,14178.310546875,0.3125
2,199,2199,-2.5992133617401123,-0.6891621351242065,14178.310546875,0.265625
2,249,2249,-2.598952054977417,-0.688900887966156,14178.310546875,0.25
2,299,2299,-2.6002414226531982,-0.6901901960372925,14178.310546875,0.328125
2,349,2349,-2.599682092666626,-0.6896307468414307,14178.310546875,0.296875
2,399,2399,-2.5989956855773926,-0.6889443397521973,14178.310546875,0.25
2,449,2449,-2.5990123748779297,-0.6889611482620239,14178.310546875,0.25
2,499,2499,-2.599095344543457,-0.6890442371368408,14178.310546875,0.2578125
2,549,2549,-2.598832130432129,-0.6887810230255127,14178.310546875,0.2421875
2,599,2599,-2.6001925468444824,-0.6901413202285767,14178.310546875,0.328125
2,649,2649,-2.598828077316284,-0.6887768507003784,14178.310546875,0.2421875
2,699,2699,-2.5988540649414062,-0.6888027787208557,14178.310546875,0.2421875
2,749,2749,-2.60050106048584,-0.6904497146606445,14178.310546875,0.34375
2,799,2799,-2.5991363525390625,-0.6890851855278015,14178.310546875,0.2578125
2,849,2849,-2.59908390045166,-0.6890327334403992,14178.310546875,0.2578125
2,899,2899,-2.599451780319214,-0.6894004940986633,14178.310546875,0.28125
2,949,2949,-2.5987210273742676,-0.6886695623397827,14178.310546875,0.234375
2,999,2999,-2.5988759994506836,-0.6888247132301331,14178.310546875,0.2421875
3,0,3000,-1.3820117712020874,-0.5266916751861572,6349.041015625,0.296875
3,49,3049,-1.7356939315795898,-0.629115104675293,8214.134765625,0.2734375
3,99,3099,-1.7269949913024902,-0.6204161643981934,8214.134765625,0.2109375
3,149,3149,-1.7403340339660645,-0.6337551474571228,8214.134765625,0.3125
3,199,3199,-1.7331644296646118,-0.6265856027603149,8214.134765625,0.265625
3,249,3249,-1.7258931398391724,-0.6193143129348755,8214.134765625,0.25
3,299,3299,-1.7470552921295166,-0.6404764652252197,8214.134765625,0.328125
3,349,3349,-1.737520456314087,-0.6309416890144348,8214.134765625,0.296875
3,399,3399,-1.7305635213851929,-0.623984694480896,8214.134765625,0.25
3,449,3449,-1.7323071956634521,-0.6257283091545105,8214.134765625,0.25
3,499,3499,-1.7289249897003174,-0.6223462820053101,8214.134765625,0.2578125
3,549,3549,-1.7250378131866455,-0.6184589862823486,8214.134765625,0.2421875
3,599,3599,-1.7431063652038574,-0.6365275382995605,8214.134765625,0.328125
3,649,3649,-1.7262670993804932,-0.6196881532669067,8214.134765625,0.2421875
3,699,3699,-1.7280844449996948,-0.621505618095398,8214.134765625,0.2421875
3,749,3749,-1.749779224395752,-0.6432004570960999,8214.134765625,0.34375
3,799,3799,-1.732088327407837,-0.62550950050354,8214.134765625,0.2578125
3,849,3849,-1.729806900024414,-0.6232279539108276,8214.134765625,0.2578125
3,899,3899,-1.737265706062317,-0.63068687915802,8214.134765625,0.28125
3,949,3949,-1.7264344692230225,-0.6198556423187256,8214.134765625,0.234375
3,999,3999,-1.7281122207641602,-0.6215333342552185,8214.134765625,0.2421875
