communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6211946606636047,0.7050707936286926,-0.6163556575775146,0.7063702940940857
2,1,-0.21002060174942017,0.9072107672691345,-0.22045181691646576,0.9017916321754456
4,2,-0.21443453431129456,0.9047500491142273,-0.22455014288425446,0.8983631730079651
6,3,-0.2117118239402771,0.9071831703186035,-0.2235681712627411,0.8981419801712036
8,4,-0.20722229778766632,0.908427357673645,-0.21763840317726135,0.9002432823181152
10,5,-0.20451559126377106,0.9087867736816406,-0.21565890312194824,0.9006856679916382
12,6,-0.20239713788032532,0.9096992015838623,-0.21415700018405914,0.9000220894813538
14,7,-0.1996191293001175,0.910915732383728,-0.21212975680828094,0.9015704393386841
16,8,-0.19870871305465698,0.9113304615020752,-0.21119022369384766,0.9000220894813538
18,9,-0.19787399470806122,0.9112474918365479,-0.2104180008172989,0.9009068608283997
20,10,-0.19672736525535583,0.9115239977836609,-0.21018774807453156,0.9006856679916382
