global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
7,0,7000,-87.97190856933594,-0.4364582300186157,316528.1875,0.140625
7,49,7049,-0.672159731388092,-0.4103245139122009,946.7962646484375,0.0859375
7,99,7099,-0.4608570337295532,-0.42793595790863037,119.04261779785156,0.0859375
7,149,7149,-0.4909732937812805,-0.4680986702442169,82.71468353271484,0.1328125
7,199,7199,-0.4673701524734497,-0.44590508937835693,77.61767578125,0.1328125
7,249,7249,-0.46618205308914185,-0.4453815817832947,75.21448516845703,0.125
7,299,7299,-0.40335094928741455,-0.3827892541885376,74.35108947753906,0.0546875
7,349,7349,-0.4813743829727173,-0.4610661268234253,73.43464660644531,0.109375
7,399,7399,-0.4361192286014557,-0.4159277379512787,73.01239776611328,0.1171875
7,449,7449,-0.45130473375320435,-0.43132877349853516,72.23322296142578,0.09375
7,499,7499,-0.43130284547805786,-0.4108303189277649,74.0286865234375,0.0625
7,549,7549,-0.4223323166370392,-0.4031462073326111,69.37698364257812,0.0859375
7,599,7599,-0.47730541229248047,-0.45687931776046753,73.86077880859375,0.1328125
7,649,7649,-0.4774860739707947,-0.45545172691345215,79.67623901367188,0.1328125
7,699,7699,-0.4454386830329895,-0.42623621225357056,69.43607330322266,0.0859375
7,749,7749,-0.44350892305374146,-0.421566903591156,79.34237670898438,0.078125
7,799,7799,-0.4527481198310852,-0.43371132016181946,68.8370361328125,0.109375
7,849,7849,-0.4702758491039276,-0.45125967264175415,68.762451171875,0.140625
7,899,7899,-0.469812273979187,-0.45203670859336853,64.2763671875,0.125
7,949,7949,-0.416875422000885,-0.39794355630874634,68.45762634277344,0.0703125
7,999,7999,-0.4856078624725342,-0.46743860840797424,65.70006561279297,0.125
17,0,17000,-7.2138872146606445,-0.3500792980194092,24819.53125,0.1171875
17,49,17049,-0.4004860520362854,-0.2814672589302063,430.37200927734375,0.0859375
17,99,17099,-0.37144938111305237,-0.30639123916625977,235.2502899169922,0.078125
17,149,17149,-0.42358240485191345,-0.34939873218536377,268.24822998046875,0.1484375
17,199,17199,-0.4269217252731323,-0.35213857889175415,270.41595458984375,0.109375
17,249,17249,-0.4292565584182739,-0.35106754302978516,282.7314453125,0.1484375
17,299,17299,-0.37369561195373535,-0.2989739179611206,270.1936950683594,0.1015625
17,349,17349,-0.41516825556755066,-0.3396300971508026,273.1459655761719,0.1171875
17,399,17399,-0.39885514974594116,-0.31277698278427124,311.2585144042969,0.09375
17,449,17449,-0.4046998620033264,-0.316662073135376,318.3447265625,0.09375
17,499,17499,-0.32031136751174927,-0.237884983420372,298.05377197265625,0.0625
17,549,17549,-0.3261372447013855,-0.2556651532649994,254.82708740234375,0.078125
17,599,17599,-0.44615423679351807,-0.3734864592552185,262.7667236328125,0.125
17,649,17649,-0.4005469083786011,-0.32775768637657166,263.205810546875,0.1171875
17,699,17699,-0.39080387353897095,-0.3132953643798828,280.27069091796875,0.109375
17,749,17749,-0.33528319001197815,-0.27316200733184814,224.63027954101562,0.0625
17,799,17799,-0.3593907952308655,-0.2909576892852783,247.45401000976562,0.1015625
17,849,17849,-0.47004345059394836,-0.410576730966568,215.03164672851562,0.1640625
17,899,17899,-0.4456422030925751,-0.38167187571525574,231.3166961669922,0.1328125
17,949,17949,-0.36522677540779114,-0.3153562545776367,180.331787109375,0.1015625
17,999,17999,-0.39584165811538696,-0.3445495367050171,185.47230529785156,0.125
27,0,27000,-1.3029789924621582,-0.27032846212387085,3734.064453125,0.078125
27,49,27049,-0.3228929042816162,-0.1666886806488037,564.83447265625,0.0546875
27,99,27099,-0.38458898663520813,-0.25270265340805054,476.90093994140625,0.1015625
27,149,27149,-0.4163092374801636,-0.2800861895084381,492.58258056640625,0.140625
27,199,27199,-0.4276951551437378,-0.30653271079063416,438.1234436035156,0.1171875
27,249,27249,-0.403006911277771,-0.2872239947319031,418.67095947265625,0.1328125
27,299,27299,-0.29675889015197754,-0.18934856355190277,388.39569091796875,0.078125
27,349,27349,-0.35977280139923096,-0.271727591753006,318.37152099609375,0.109375
27,399,27399,-0.33771470189094543,-0.24094825983047485,349.9074401855469,0.0625
27,449,27449,-0.34969907999038696,-0.2722311019897461,280.1241760253906,0.09375
27,499,27499,-0.23290401697158813,-0.1595257967710495,265.33563232421875,0.046875
27,549,27549,-0.22389523684978485,-0.16232916712760925,222.6229248046875,0.0703125
27,599,27599,-0.37813103199005127,-0.3203296959400177,209.0097198486328,0.1171875
27,649,27649,-0.3424331545829773,-0.2877533435821533,197.72222900390625,0.109375
27,699,27699,-0.28358814120292664,-0.2266160249710083,206.01123046875,0.0703125
27,749,27749,-0.24504026770591736,-0.20134703814983368,157.99472045898438,0.0703125
27,799,27799,-0.279522567987442,-0.24130994081497192,138.1769256591797,0.1171875
27,849,27849,-0.39036673307418823,-0.35013413429260254,145.48114013671875,0.140625
27,899,27899,-0.376213401556015,-0.3351976275444031,148.31297302246094,0.1484375
27,949,27949,-0.2689531445503235,-0.23828187584877014,110.90727233886719,0.0859375
27,999,27999,-0.2820020318031311,-0.25183501839637756,109.08385467529297,0.0859375
37,0,37000,-0.4438352584838867,-0.24270224571228027,727.2969970703125,0.078125
37,49,37049,-0.2351873517036438,-0.15264815092086792,298.4617919921875,0.046875
37,99,37099,-0.3060590624809265,-0.25737619400024414,176.03717041015625,0.0859375
37,149,37149,-0.257644921541214,-0.22119174897670746,131.8146209716797,0.125
37,199,37199,-0.318115770816803,-0.2930140793323517,90.76764678955078,0.1171875
37,249,37249,-0.288558691740036,-0.26431068778038025,87.6808090209961,0.140625
37,299,37299,-0.17629161477088928,-0.15345272421836853,82.58543395996094,0.0546875
37,349,37349,-0.29173147678375244,-0.27341869473457336,66.21895599365234,0.1015625
37,399,37399,-0.2145894318819046,-0.19555942714214325,68.8125,0.0703125
37,449,37449,-0.2573544979095459,-0.2417064756155014,56.58332824707031,0.1171875
37,499,37499,-0.14290419220924377,-0.12776732444763184,54.7348747253418,0.046875
37,549,37549,-0.1653228998184204,-0.1517142653465271,49.208805084228516,0.0625
