global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
5,0,5000,-6.080489635467529,-0.6534136533737183,19624.306640625,0.125
5,49,5049,-5.9723334312438965,-0.6353761553764343,19298.4375,0.1015625
5,99,5099,-5.935320854187012,-0.6305567026138306,19182.025390625,0.1171875
5,149,5149,-5.914521217346191,-0.6235482096672058,19132.158203125,0.109375
5,199,5199,-5.907767295837402,-0.6240369081497192,19105.96875,0.140625
5,249,5249,-5.894703388214111,-0.6152932643890381,19090.345703125,0.109375
5,299,5299,-5.8963212966918945,-0.6197192668914795,19080.193359375,0.15625
5,349,5349,-5.881200790405273,-0.6065381169319153,19073.181640625,0.109375
5,399,5399,-5.882899284362793,-0.6096383333206177,19068.111328125,0.1484375
5,449,5449,-5.870856761932373,-0.5986467003822327,19064.3125,0.109375
5,499,5499,-5.8610944747924805,-0.5896939039230347,19061.384765625,0.09375
5,549,5549,-5.871949195861816,-0.601186990737915,19059.076171875,0.1484375
5,599,5599,-5.863986015319824,-0.5937381982803345,19057.216796875,0.140625
5,649,5649,-5.847949028015137,-0.5781203508377075,19055.69921875,0.1015625
5,699,5699,-5.842243194580078,-0.5727618932723999,19054.443359375,0.1015625
5,749,5749,-5.840532302856445,-0.5713428854942322,19053.388671875,0.109375
5,799,5799,-5.842297554016113,-0.5733550786972046,19052.49609375,0.1328125
5,849,5849,-5.835596561431885,-0.5668649673461914,19051.734375,0.1328125
5,899,5899,-5.822035789489746,-0.5534859895706177,19051.076171875,0.09375
5,949,5949,-5.837338447570801,-0.5689458847045898,19050.5078125,0.1640625
5,999,5999,-5.816216468811035,-0.5479602217674255,19050.013671875,0.1171875
15,0,15000,-2.5134308338165283,-0.2661007046699524,8126.34619140625,0.125
15,49,15049,-2.3518600463867188,-0.1820431798696518,7846.05859375,0.1015625
15,99,15099,-2.3413491249084473,-0.20406506955623627,7728.4189453125,0.1171875
15,149,15149,-2.3744149208068848,-0.2531585991382599,7670.462890625,0.109375
15,199,15199,-2.3619327545166016,-0.24970611929893494,7637.81201171875,0.140625
15,249,15249,-2.3453588485717773,-0.23862184584140778,7617.96142578125,0.109375
15,299,15299,-2.426119327545166,-0.322981595993042,7604.94482421875,0.15625
15,349,15349,-2.3712923526763916,-0.270685613155365,7595.79345703125,0.109375
15,399,15399,-2.337040901184082,-0.23844635486602783,7588.5185546875,0.1484375
15,449,15449,-2.318150520324707,-0.22123777866363525,7582.4365234375,0.109375
15,499,15499,-2.343759298324585,-0.24808622896671295,7577.95361328125,0.09375
15,549,15549,-2.4269886016845703,-0.3323761224746704,7574.1181640625,0.1484375
15,599,15599,-2.3869423866271973,-0.29323071241378784,7570.86083984375,0.140625
15,649,15649,-2.325684070587158,-0.23289236426353455,7567.5341796875,0.1015625
15,699,15699,-2.3159191608428955,-0.22388413548469543,7564.798828125,0.1015625
15,749,15749,-2.284449577331543,-0.1930183470249176,7562.61474609375,0.109375
15,799,15799,-2.3811492919921875,-0.2901836037635803,7560.93212890625,0.1328125
15,849,15849,-2.345414876937866,-0.2550448775291443,7558.77783203125,0.1328125
15,899,15899,-2.3162193298339844,-0.22641021013259888,7556.75,0.09375
15,949,15949,-2.4062697887420654,-0.3168413043022156,7555.37353515625,0.1640625
15,999,15999,-2.363093137741089,-0.27403080463409424,7554.0498046875,0.1171875
25,0,25000,-0.6063858270645142,-0.268435001373291,1222.0302734375,0.125
25,49,25049,-0.5023876428604126,-0.16897499561309814,1205.6199951171875,0.1015625
25,99,25099,-0.5404596924781799,-0.2080077826976776,1202.146240234375,0.1171875
25,149,25149,-0.5829977989196777,-0.25172507762908936,1197.88232421875,0.109375
25,199,25199,-0.5453969240188599,-0.21434789896011353,1197.0731201171875,0.140625
25,249,25249,-0.5549166202545166,-0.22412651777267456,1196.136962890625,0.109375
25,299,25299,-0.6438926458358765,-0.31339216232299805,1195.089599609375,0.15625
25,349,25349,-0.6318092346191406,-0.30187106132507324,1193.056396484375,0.109375
25,399,25399,-0.5881655216217041,-0.25895819067955017,1190.413818359375,0.1484375
25,449,25449,-0.5688679814338684,-0.23898211121559143,1192.8673095703125,0.109375
25,499,25499,-0.5628368258476257,-0.2342040240764618,1188.336181640625,0.09375
25,549,25549,-0.6767438650131226,-0.3474583029747009,1190.696533203125,0.1484375
25,599,25599,-0.6414386034011841,-0.3124338686466217,1189.6812744140625,0.140625
25,649,25649,-0.5399190187454224,-0.21039614081382751,1191.5546875,0.1015625
25,699,25699,-0.5328747034072876,-0.20406895875930786,1188.96142578125,0.1015625
25,749,25749,-0.5152428150177002,-0.18662075698375702,1188.2974853515625,0.109375
25,799,25799,-0.5893697142601013,-0.26062166690826416,1188.7529296875,0.1328125
25,849,25849,-0.5429293513298035,-0.21418610215187073,1188.735595703125,0.1328125
25,899,25899,-0.5457521080970764,-0.21776703000068665,1185.9940185546875,0.09375
25,949,25949,-0.6216068863868713,-0.29343098402023315,1186.68408203125,0.1640625
25,999,25999,-0.6032909750938416,-0.274697482585907,1188.194091796875,0.1171875
35,0,35000,-0.4859141707420349,-0.25224947929382324,844.9315185546875,0.1015625
35,49,35049,-0.3868514895439148,-0.15459993481636047,839.8216552734375,0.078125
35,99,35099,-0.4435296654701233,-0.2108679860830307,841.3046875,0.0625
35,149,35149,-0.46486377716064453,-0.2317417860031128,842.9691162109375,0.0859375
35,199,35199,-0.4563114047050476,-0.2242000550031662,839.3145751953125,0.109375
35,249,35249,-0.4422493875026703,-0.21061882376670837,837.5760498046875,0.09375
35,299,35299,-0.5548797845840454,-0.3212273120880127,844.8872680664062,0.140625
35,349,35349,-0.5187435150146484,-0.28617987036705017,840.9501953125,0.1171875
35,399,35399,-0.44203466176986694,-0.20966947078704834,840.2325439453125,0.09375
35,449,35449,-0.46459293365478516,-0.2313546985387802,843.3895263671875,0.078125
35,499,35499,-0.4831489324569702,-0.24885186553001404,847.2182006835938,0.109375
35,549,35549,-0.5645269751548767,-0.3313019871711731,843.3416748046875,0.1171875
35,599,35599,-0.533039391040802,-0.2996828556060791,843.817138671875,0.1015625
35,649,35649,-0.4346995949745178,-0.20140480995178223,843.5938720703125,0.09375
35,699,35699,-0.4312935471534729,-0.19696593284606934,847.3286743164062,0.0859375
35,749,35749,-0.390584260225296,-0.1568843126296997,845.05908203125,0.046875
35,799,35799,-0.48447418212890625,-0.25084495544433594,844.8032836914062,0.0859375
35,849,35849,-0.4401096701622009,-0.20562034845352173,847.9134521484375,0.078125
35,899,35899,-0.46199697256088257,-0.2268604189157486,850.2538452148438,0.140625
35,949,35949,-0.5483196377754211,-0.3135595917701721,848.892333984375,0.1484375
35,999,35999,-0.4944911599159241,-0.26110559701919556,843.9222412109375,0.1171875
45,0,45000,-0.4804544150829315,-0.2719884514808655,753.8129272460938,0.1171875
45,49,45049,-0.3886617124080658,-0.18180108070373535,748.008056640625,0.0703125
45,99,45099,-0.40117186307907104,-0.19503578543663025,745.3880615234375,0.0625
45,149,45149,-0.4751211404800415,-0.26862388849258423,746.6940307617188,0.078125
45,199,45199,-0.4044439196586609,-0.1963784396648407,752.3648071289062,0.1015625
45,249,45249,-0.4151318073272705,-0.20804208517074585,748.83642578125,0.125
45,299,45299,-0.5366646647453308,-0.3292604684829712,749.9736328125,0.1484375
45,349,45349,-0.4815502464771271,-0.27408695220947266,750.1871948242188,0.1015625
45,399,45399,-0.4387941360473633,-0.23118767142295837,750.7049560546875,0.1171875
45,449,45449,-0.43301457166671753,-0.22454719245433807,753.8180541992188,0.0703125
45,499,45499,-0.49771782755851746,-0.2896963655948639,752.2056884765625,0.1328125
45,549,45549,-0.5709835290908813,-0.36319810152053833,751.35205078125,0.140625
45,599,45599,-0.5034748315811157,-0.2953275442123413,752.6605224609375,0.1328125
45,649,45649,-0.435676634311676,-0.22713229060173035,754.0963134765625,0.1015625
45,699,45699,-0.3911707401275635,-0.182607039809227,754.1663818359375,0.078125
45,749,45749,-0.36723220348358154,-0.15804451704025269,756.422607421875,0.0625
45,799,45799,-0.4852350950241089,-0.27684009075164795,753.5562744140625,0.1328125
45,849,45849,-0.3903273642063141,-0.1816805899143219,754.4666748046875,0.1015625
45,899,45899,-0.43434593081474304,-0.22503936290740967,756.8525390625,0.09375
45,949,45949,-0.5003976821899414,-0.2915376126766205,755.2379150390625,0.1328125
45,999,45999,-0.44394010305404663,-0.23546186089515686,753.8573608398438,0.1015625
55,0,55000,-0.4682518243789673,-0.2695072889328003,718.6602783203125,0.1328125
55,49,55049,-0.38405826687812805,-0.1855165660381317,717.9267578125,0.09375
55,99,55099,-0.38436755537986755,-0.18514972925186157,720.3717041015625,0.046875
55,149,55149,-0.45707547664642334,-0.2585638463497162,717.818115234375,0.078125
55,199,55199,-0.40696656703948975,-0.20848707854747772,717.701904296875,0.1015625
55,249,55249,-0.39734727144241333,-0.19758117198944092,722.354248046875,0.109375
55,299,55299,-0.49766767024993896,-0.2994101345539093,716.8992309570312,0.1328125
55,349,55349,-0.49257808923721313,-0.29394209384918213,718.2677001953125,0.1015625
55,399,55399,-0.4323197603225708,-0.23291000723838806,721.065673828125,0.125
55,449,55449,-0.4122394323348999,-0.21333447098731995,719.240234375,0.0703125
55,499,55499,-0.46216151118278503,-0.2627832591533661,720.9517822265625,0.109375
55,549,55549,-0.4858383536338806,-0.28574782609939575,723.52734375,0.125
55,599,55599,-0.48194122314453125,-0.28195303678512573,723.1574096679688,0.109375
55,649,55649,-0.41585269570350647,-0.21491912007331848,726.5758056640625,0.0859375
55,699,55699,-0.4132084846496582,-0.21263687312602997,725.2669677734375,0.0859375
55,749,55749,-0.3525695502758026,-0.15322598814964294,720.8262939453125,0.0625
55,799,55799,-0.46730947494506836,-0.2676999568939209,721.7879028320312,0.125
55,849,55849,-0.3963925838470459,-0.19685672223567963,721.5216064453125,0.0703125
55,899,55899,-0.4039205312728882,-0.20281660556793213,727.1917724609375,0.1015625
55,949,55949,-0.5250768661499023,-0.3246570825576782,724.7178955078125,0.140625
55,999,55999,-0.4489069879055023,-0.24819347262382507,725.7801513671875,0.09375
65,0,65000,-0.45229196548461914,-0.25702160596847534,706.0975341796875,0.1015625
65,49,65049,-0.3626874089241028,-0.16733518242835999,706.3936767578125,0.0703125
65,99,65099,-0.3809075653553009,-0.18611782789230347,704.359619140625,0.0703125
65,149,65149,-0.4123513698577881,-0.21695509552955627,706.5528564453125,0.0625
65,199,65199,-0.3823140859603882,-0.1873762011528015,704.8954467773438,0.0703125
65,249,65249,-0.4097001552581787,-0.2133365422487259,710.0508422851562,0.109375
65,299,65299,-0.508692741394043,-0.3126347064971924,708.9457397460938,0.1328125
65,349,65349,-0.45642513036727905,-0.25935813784599304,712.5941772460938,0.1015625
65,399,65399,-0.4193170666694641,-0.22281639277935028,710.5465087890625,0.1015625
65,449,65449,-0.43453049659729004,-0.2371392399072647,713.766845703125,0.09375
65,499,65499,-0.45511719584465027,-0.25752365589141846,714.498291015625,0.1171875
65,549,65549,-0.5456256866455078,-0.3480428159236908,714.4595947265625,0.140625
65,599,65599,-0.5125486850738525,-0.3142217695713043,717.1500854492188,0.109375
65,649,65649,-0.41550618410110474,-0.22021064162254333,706.1885986328125,0.1015625
65,699,65699,-0.40236330032348633,-0.20439425110816956,715.8560791015625,0.09375
65,749,65749,-0.37370988726615906,-0.1763269007205963,713.7369384765625,0.0546875
65,799,65799,-0.4635833501815796,-0.26583361625671387,715.0630493164062,0.0859375
65,849,65849,-0.39317724108695984,-0.19633066654205322,711.7972412109375,0.109375
65,899,65899,-0.38936877250671387,-0.19140726327896118,715.828857421875,0.109375
65,949,65949,-0.5072445869445801,-0.3099360167980194,713.4678955078125,0.109375
65,999,65999,-0.45270437002182007,-0.25584664940834045,711.8375244140625,0.1015625
75,0,75000,-0.4655805230140686,-0.27164918184280396,701.2557373046875,0.09375
75,49,75049,-0.3417295515537262,-0.14893807470798492,697.1339721679688,0.078125
