communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.4569309651851654,0.8868889808654785,-0.4588884711265564,0.8832116723060608
2,1,-0.44985848665237427,0.8878290057182312,-0.45257455110549927,0.8804467916488647
4,2,-0.44518786668777466,0.8886032104492188,-0.44901642203330994,0.8843176364898682
6,3,-0.44496870040893555,0.8880778551101685,-0.4475060999393463,0.8817739486694336
8,4,-0.4465181231498718,0.8844282031059265,-0.4480311870574951,0.8805574178695679
10,5,-0.4468138813972473,0.8844835162162781,-0.4512145221233368,0.8795620203018188
12,6,-0.4388231635093689,0.8869166374206543,-0.4420194625854492,0.8847600221633911
14,7,-0.4356241822242737,0.8862530589103699,-0.4385773539543152,0.8834328651428223
16,8,-0.43965065479278564,0.8862254023551941,-0.4425547122955322,0.8823269009590149
18,9,-0.4282429814338684,0.884345293045044,-0.43116092681884766,0.8785666823387146
20,10,-0.4166053831577301,0.8862807154655457,-0.4223903715610504,0.8803362250328064
22,11,-0.4055638313293457,0.8873037099838257,-0.4121178686618805,0.8815527558326721
24,12,-0.3895454704761505,0.8873037099838257,-0.39673617482185364,0.8825480937957764
26,13,-0.3860155940055847,0.8873589634895325,-0.39249172806739807,0.8823269009590149
28,14,-0.37461167573928833,0.8894879221916199,-0.38136184215545654,0.8844282031059265
30,15,-0.3595616817474365,0.8877184391021729,-0.366184264421463,0.8834328651428223
32,16,-0.3522990942001343,0.8884372711181641,-0.3613775968551636,0.884207010269165
34,17,-0.34136393666267395,0.8894603252410889,-0.351775586605072,0.8850917816162109
36,18,-0.33497944474220276,0.8882713913917542,-0.3496650159358978,0.8834328651428223
38,19,-0.3219124674797058,0.8905109763145447,-0.3342982232570648,0.8844282031059265
40,20,-0.3049275875091553,0.8933311104774475,-0.3148566782474518,0.8894050121307373
42,21,-0.2963617742061615,0.8949347734451294,-0.3087380528450012,0.8891838192939758
44,22,-0.288701593875885,0.8944094181060791,-0.3003741204738617,0.890621542930603
46,23,-0.2834714949131012,0.8959024548530579,-0.2958541810512543,0.8931652307510376
48,24,-0.2752546966075897,0.8958747982978821,-0.28855636715888977,0.8925016522407532
50,25,-0.27458563446998596,0.8969254493713379,-0.2883397042751312,0.8897367715835571
52,26,-0.2709085941314697,0.8965107202529907,-0.2834131717681885,0.8902897834777832
54,27,-0.26409339904785156,0.897478461265564,-0.27735191583633423,0.8915063142776489
56,28,-0.2583051025867462,0.896759569644928,-0.27356910705566406,0.8922804594039917
58,29,-0.25475582480430603,0.8981696367263794,-0.26836925745010376,0.893275797367096
60,30,-0.251304030418396,0.898224949836731,-0.26248788833618164,0.893828809261322
62,31,-0.2446088194847107,0.8994138240814209,-0.25841838121414185,0.8948241472244263
64,32,-0.2439795434474945,0.8991097211837769,-0.2602479159832001,0.8949347734451294
66,33,-0.23880638182163239,0.8997732996940613,-0.25327324867248535,0.8962618708610535
68,34,-0.23589500784873962,0.9011557102203369,-0.25139477849006653,0.8947135806083679
70,35,-0.23466944694519043,0.901708722114563,-0.25173982977867126,0.8962618708610535
72,36,-0.23523451387882233,0.9015427827835083,-0.25167733430862427,0.8953770995140076
74,37,-0.22998450696468353,0.9019298553466797,-0.24464155733585358,0.8964830636978149
76,38,-0.2300030142068863,0.9011557102203369,-0.24064920842647552,0.8964830636978149
78,39,-0.23137745261192322,0.9010451436042786,-0.24240264296531677,0.8979207873344421
80,40,-0.2250026911497116,0.901293933391571,-0.23515252768993378,0.8985843658447266
82,41,-0.22204233705997467,0.9019851684570312,-0.23391957581043243,0.8980314135551453
84,42,-0.2191491425037384,0.902731716632843,-0.22991438210010529,0.9000220894813538
86,43,-0.21888293325901031,0.9035888314247131,-0.22962526977062225,0.8984737992286682
88,44,-0.2139972299337387,0.9050542116165161,-0.22456525266170502,0.8986949920654297
90,45,-0.21343374252319336,0.9049712419509888,-0.22407086193561554,0.898805558681488
92,46,-0.21002644300460815,0.9056071639060974,-0.22088755667209625,0.898805558681488
94,47,-0.20946583151817322,0.9053306579589844,-0.22093822062015533,0.8981419801712036
96,48,-0.2103026658296585,0.9068790078163147,-0.2211468368768692,0.9004644751548767
98,49,-0.20662802457809448,0.9067131280899048,-0.21949976682662964,0.9005751013755798
100,50,-0.2085093855857849,0.9065748453140259,-0.21809172630310059,0.8979207873344421
102,51,-0.2060873657464981,0.9068790078163147,-0.21903952956199646,0.9003539085388184
104,52,-0.20428842306137085,0.9088144302368164,-0.21682634949684143,0.9004644751548767
106,53,-0.20535272359848022,0.9076254963874817,-0.21853476762771606,0.9015704393386841
108,54,-0.20191125571727753,0.909616231918335,-0.21644829213619232,0.898805558681488
110,55,-0.201707124710083,0.9099756479263306,-0.21797426044940948,0.8999115228652954
112,56,-0.20059436559677124,0.9106945395469666,-0.21518900990486145,0.9000220894813538
114,57,-0.20071196556091309,0.9090632796287537,-0.21679066121578217,0.9004644751548767
116,58,-0.20088042318820953,0.9102798104286194,-0.21726545691490173,0.898805558681488
118,59,-0.20142611861228943,0.9102521538734436,-0.21894471347332,0.9006856679916382
120,60,-0.20318663120269775,0.9094780087471008,-0.2181331366300583,0.9011280536651611
122,61,-0.20258545875549316,0.9099203944206238,-0.21930648386478424,0.9006856679916382
124,62,-0.19811853766441345,0.9122981429100037,-0.21521304547786713,0.9022340178489685
126,63,-0.19959226250648499,0.9102798104286194,-0.2175232470035553,0.8978102207183838
128,64,-0.19678717851638794,0.912104606628418,-0.21353156864643097,0.9022340178489685
130,65,-0.1966906636953354,0.9115793108940125,-0.2141411006450653,0.9005751013755798
132,66,-0.19514724612236023,0.9115793108940125,-0.2156263291835785,0.9003539085388184
134,67,-0.19566749036312103,0.911358118057251,-0.2198922485113144,0.8980314135551453
136,68,-0.1965828239917755,0.9118557572364807,-0.21656633913516998,0.8981419801712036
138,69,-0.19590991735458374,0.9134870767593384,-0.21882611513137817,0.8999115228652954
140,70,-0.1968003511428833,0.9129617214202881,-0.21366330981254578,0.9030081629753113
142,71,-0.19552241265773773,0.912823498249054,-0.2147313356399536,0.9013492465019226
144,72,-0.19387798011302948,0.913100004196167,-0.21160142123699188,0.9026764035224915
146,73,-0.19631044566631317,0.9113304615020752,-0.21762199699878693,0.9015704393386841
148,74,-0.19515277445316315,0.9129893779754639,-0.21679894626140594,0.9022340178489685
150,75,-0.1946171522140503,0.9126852750778198,-0.21435053646564484,0.9013492465019226
152,76,-0.19423584640026093,0.9124087691307068,-0.21527887880802155,0.9000220894813538
154,77,-0.19546166062355042,0.9117451906204224,-0.22085672616958618,0.8984737992286682
156,78,-0.1939609795808792,0.9127958416938782,-0.217631995677948,0.9001327157020569
158,79,-0.19777117669582367,0.9115793108940125,-0.22152888774871826,0.8994691371917725
160,80,-0.19661113619804382,0.9118834137916565,-0.21749000251293182,0.8990267515182495
162,81,-0.19922322034835815,0.9114134311676025,-0.22017598152160645,0.9031187891960144
164,82,-0.19559235870838165,0.9129893779754639,-0.21281027793884277,0.9022340178489685
166,83,-0.19793486595153809,0.9108604192733765,-0.2176220566034317,0.8996903300285339
168,84,-0.19546763598918915,0.9116069674491882,-0.2139980047941208,0.9004644751548767
170,85,-0.19633184373378754,0.9099479913711548,-0.2135458141565323,0.9022340178489685
172,86,-0.19432158768177032,0.9127128720283508,-0.2142833024263382,0.9005751013755798
174,87,-0.19639724493026733,0.9124087691307068,-0.21795554459095,0.9007962942123413
176,88,-0.19687488675117493,0.9115239977836609,-0.21914143860340118,0.8993585705757141
178,89,-0.19989760220050812,0.9114134311676025,-0.22278450429439545,0.9001327157020569
180,90,-0.19658371806144714,0.9133211970329285,-0.21743322908878326,0.9011280536651611
182,91,-0.19687777757644653,0.9120493531227112,-0.2172689288854599,0.9016810655593872
184,92,-0.1943676471710205,0.9134594202041626,-0.2174966037273407,0.9031187891960144
186,93,-0.1966506987810135,0.9106115698814392,-0.21568883955478668,0.9013492465019226
188,94,-0.19427390396595,0.9113857746124268,-0.213999941945076,0.9043353199958801
190,95,-0.19504296779632568,0.9117728471755981,-0.21547091007232666,0.9023445844650269
192,96,-0.19211365282535553,0.913846492767334,-0.2123880535364151,0.9022340178489685
194,97,-0.1925048530101776,0.9144824147224426,-0.21943943202495575,0.9041141271591187
196,98,-0.1941395103931427,0.9108880758285522,-0.2160307765007019,0.9000220894813538
198,99,-0.19676074385643005,0.9118281602859497,-0.2199839949607849,0.9033399820327759
200,100,-0.1943656951189041,0.9128788113594055,-0.21260537207126617,0.9030081629753113
