global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
3,0,3000,-3.502415657043457,-0.6855704188346863,10185.712890625,0.09375
3,49,3049,-3.4382574558258057,-0.6835432052612305,9961.046875,0.0625
3,99,3099,-3.4162259101867676,-0.682963490486145,9883.4765625,0.078125
3,149,3149,-3.407412052154541,-0.6833457350730896,9850.224609375,0.109375
3,199,3199,-3.403280258178711,-0.6840747594833374,9832.646484375,0.1640625
3,249,3249,-3.3987042903900146,-0.6824126839637756,9822.1103515625,0.1171875
3,299,3299,-3.394850015640259,-0.6804543733596802,9815.25390625,0.0703125
3,349,3349,-3.394392967224121,-0.6813056468963623,9810.5244140625,0.109375
3,399,3399,-3.3929662704467773,-0.6808186769485474,9807.125,0.1171875
3,449,3449,-3.3905391693115234,-0.6790896058082581,9804.6015625,0.078125
3,499,3499,-3.390531539916992,-0.6796121597290039,9802.6845703125,0.1171875
3,549,3549,-3.389498710632324,-0.6789885759353638,9801.2041015625,0.1171875
3,599,3599,-3.387816905975342,-0.6776272654533386,9800.0458984375,0.1015625
3,649,3649,-3.3878839015960693,-0.6779459714889526,9799.134765625,0.125
3,699,3699,-3.3844876289367676,-0.6747487187385559,9798.4150390625,0.0703125
3,749,3749,-3.384105682373047,-0.6745235323905945,9797.8486328125,0.0859375
3,799,3799,-3.385236978530884,-0.6757766604423523,9797.408203125,0.1328125
3,849,3849,-3.3852710723876953,-0.6759040355682373,9797.0712890625,0.15625
3,899,3899,-3.3829994201660156,-0.6737014651298523,9796.8212890625,0.1328125
3,949,3949,-3.3799591064453125,-0.670709490776062,9796.646484375,0.09375
3,999,3999,-3.3809146881103516,-0.6716955900192261,9796.5361328125,0.1328125
13,0,13000,-1.0228675603866577,-0.23258328437805176,2857.66796875,0.09375
13,49,13049,-0.9796202182769775,-0.1991715431213379,2822.102294921875,0.0625
13,99,13099,-0.9963985681533813,-0.21997550129890442,2807.545654296875,0.078125
13,149,13149,-1.0524132251739502,-0.2781296372413635,2799.809326171875,0.109375
13,199,13199,-1.0971468687057495,-0.32421380281448364,2794.926025390625,0.1640625
13,249,13249,-1.0288690328598022,-0.25697821378707886,2791.157470703125,0.1171875
13,299,13299,-0.9857068061828613,-0.21452966332435608,2788.57666015625,0.0703125
13,349,13349,-1.0231804847717285,-0.2524876594543457,2786.825439453125,0.109375
13,399,13399,-1.0365161895751953,-0.26628005504608154,2785.173828125,0.1171875
13,449,13449,-1.0096746683120728,-0.23995865881443024,2783.29296875,0.078125
13,499,13499,-1.0463364124298096,-0.27703022956848145,2781.81103515625,0.1171875
13,549,13549,-1.074347972869873,-0.30531421303749084,2780.826416015625,0.1171875
13,599,13599,-1.0427141189575195,-0.2739903926849365,2779.705078125,0.1015625
13,649,13649,-1.0602935552597046,-0.2919568419456482,2778.3056640625,0.125
13,699,13699,-0.9744053483009338,-0.20645955204963684,2776.89208984375,0.0703125
13,749,13749,-0.9992197751998901,-0.23149904608726501,2776.078369140625,0.0859375
13,799,13799,-1.0652785301208496,-0.2977614402770996,2775.341552734375,0.1328125
13,849,13849,-1.0901737213134766,-0.3229157626628876,2774.40478515625,0.15625
13,899,13899,-1.0392482280731201,-0.27237462997436523,2773.0146484375,0.1328125
13,949,13949,-0.9842222929000854,-0.2175639271736145,2772.236572265625,0.09375
13,999,13999,-1.033503532409668,-0.2670149505138397,2771.62255859375,0.1328125
23,0,23000,-0.33553656935691833,-0.17746199667453766,571.5975952148438,0.09375
23,49,23049,-0.32891595363616943,-0.17187699675559998,567.8528442382812,0.0625
23,99,23099,-0.32008689641952515,-0.16331376135349274,566.8917236328125,0.078125
23,149,23149,-0.3978269696235657,-0.2411697655916214,566.4724731445312,0.109375
23,199,23199,-0.44373825192451477,-0.2871272563934326,566.3052978515625,0.1640625
23,249,23249,-0.34378355741500854,-0.1876133382320404,564.7115478515625,0.1171875
23,299,23299,-0.33606696128845215,-0.18001702427864075,564.276611328125,0.0703125
23,349,23349,-0.3570152223110199,-0.20068323612213135,565.2965087890625,0.109375
23,399,23399,-0.3844442665576935,-0.2279805839061737,565.772705078125,0.1171875
23,449,23449,-0.35030439496040344,-0.19414953887462616,564.6559448242188,0.078125
23,499,23499,-0.3849722743034363,-0.22895032167434692,564.1753540039062,0.1171875
23,549,23549,-0.4416922330856323,-0.28524520993232727,565.71240234375,0.1171875
23,599,23599,-0.3851880431175232,-0.22882981598377228,565.3914184570312,0.1015625
23,649,23649,-0.4139976501464844,-0.2578173875808716,564.7478637695312,0.125
23,699,23699,-0.34108859300613403,-0.18491041660308838,564.7402954101562,0.0703125
23,749,23749,-0.33213531970977783,-0.17594504356384277,564.7840576171875,0.0859375
23,799,23799,-0.4084031879901886,-0.2521052062511444,565.1734619140625,0.1328125
23,849,23849,-0.45284441113471985,-0.29633933305740356,565.92236328125,0.15625
23,899,23899,-0.3596329689025879,-0.20364883542060852,564.03857421875,0.1328125
23,949,23949,-0.3378448784351349,-0.18174859881401062,564.444091796875,0.09375
23,999,23999,-0.3612358272075653,-0.20479384064674377,565.6942138671875,0.1328125
33,0,33000,-0.29267847537994385,-0.18000662326812744,407.4214172363281,0.09375
33,49,33049,-0.2851211130619049,-0.17356696724891663,403.37982177734375,0.0625
33,99,33099,-0.2716221213340759,-0.1601991355419159,402.90545654296875,0.078125
33,149,33149,-0.34981656074523926,-0.23843523859977722,402.7549133300781,0.109375
33,199,33199,-0.3962544798851013,-0.2849445343017578,402.4967041015625,0.1640625
33,249,33249,-0.295834481716156,-0.18496710062026978,400.89642333984375,0.1171875
33,299,33299,-0.29118213057518005,-0.18035191297531128,400.7620849609375,0.0703125
33,349,33349,-0.3030470311641693,-0.19191491603851318,401.853759765625,0.109375
33,399,33399,-0.3415282666683197,-0.23041807115077972,401.77447509765625,0.1171875
33,449,33449,-0.3059440851211548,-0.19521285593509674,400.404052734375,0.078125
33,499,33499,-0.3345126509666443,-0.2238115668296814,400.295166015625,0.1171875
33,549,33549,-0.39728111028671265,-0.28601717948913574,402.3303527832031,0.1171875
33,599,33599,-0.3436686396598816,-0.23245792090892792,402.1379699707031,0.1015625
33,649,33649,-0.36710432171821594,-0.2560543417930603,401.55670166015625,0.125
33,699,33699,-0.29438072443008423,-0.18362027406692505,400.50982666015625,0.0703125
33,749,33749,-0.28058621287345886,-0.16958177089691162,401.39208984375,0.0859375
33,799,33799,-0.3647739291191101,-0.25373467803001404,401.5179443359375,0.1328125
33,849,33849,-0.41032734513282776,-0.29913753271102905,402.06231689453125,0.15625
33,899,33899,-0.31212595105171204,-0.20137348771095276,400.48089599609375,0.1328125
33,949,33949,-0.2885059714317322,-0.17768070101737976,400.74420166015625,0.09375
33,999,33999,-0.31278467178344727,-0.2018025815486908,401.31121826171875,0.1328125
43,0,43000,-0.2710757851600647,-0.1777910590171814,337.3176574707031,0.0625
43,49,43049,-0.2756814658641815,-0.18357621133327484,333.0526123046875,0.0625
43,99,43099,-0.24904513359069824,-0.1570984423160553,332.479248046875,0.0859375
43,149,43149,-0.3303520679473877,-0.2383624166250229,332.6344909667969,0.1015625
43,199,43199,-0.37659579515457153,-0.28472599387168884,332.2012023925781,0.125
43,249,43249,-0.26866769790649414,-0.17716597020626068,330.87017822265625,0.0625
43,299,43299,-0.26632624864578247,-0.17464563250541687,331.51708984375,0.0546875
43,349,43349,-0.2862510085105896,-0.19463226199150085,331.2933349609375,0.078125
43,399,43399,-0.3133673369884491,-0.22152237594127655,332.11138916015625,0.0859375
43,449,43449,-0.28695929050445557,-0.19542662799358368,330.9820251464844,0.09375
43,499,43499,-0.3133785128593445,-0.22189167141914368,330.81640625,0.0859375
43,549,43549,-0.37483009696006775,-0.28313595056533813,331.5660095214844,0.125
43,599,43599,-0.3213566243648529,-0.2297840416431427,331.1264343261719,0.1015625
43,649,43649,-0.3497868776321411,-0.2580406069755554,331.754638671875,0.109375
43,699,43699,-0.27892938256263733,-0.1874755173921585,330.6971740722656,0.0703125
43,749,43749,-0.2633300721645355,-0.17169108986854553,331.3665771484375,0.0859375
43,799,43799,-0.3351253867149353,-0.2436227798461914,330.8734130859375,0.109375
43,849,43849,-0.39576563239097595,-0.303803026676178,332.5367736816406,0.125
43,899,43899,-0.2827190160751343,-0.19116587936878204,331.05621337890625,0.078125
43,949,43949,-0.2607141137123108,-0.1690063625574112,331.615234375,0.0546875
43,999,43999,-0.2899450957775116,-0.19825565814971924,331.5489501953125,0.078125
53,0,53000,-0.2619360685348511,-0.17793484032154083,303.7484130859375,0.0703125
53,49,53049,-0.26408565044403076,-0.18127700686454773,299.43597412109375,0.078125
53,99,53099,-0.23724962770938873,-0.15466180443763733,298.6376037597656,0.0859375
53,149,53149,-0.32179099321365356,-0.2392527163028717,298.4584045410156,0.1171875
53,199,53199,-0.359088659286499,-0.2765392065048218,298.49884033203125,0.109375
53,249,53249,-0.2574014663696289,-0.17516034841537476,297.38385009765625,0.0625
53,299,53299,-0.26109978556632996,-0.1789025068283081,297.225341796875,0.046875
53,349,53349,-0.2782876491546631,-0.19580870866775513,298.2438659667969,0.0859375
53,399,53399,-0.303510844707489,-0.22062984108924866,299.69769287109375,0.0859375
53,449,53449,-0.2766583561897278,-0.19430744647979736,297.7809143066406,0.09375
53,499,53499,-0.3001992702484131,-0.21794365346431732,297.436279296875,0.0859375
53,549,53549,-0.36771178245544434,-0.28513383865356445,298.60186767578125,0.125
53,599,53599,-0.3092186450958252,-0.2267383635044098,298.24871826171875,0.1015625
53,649,53649,-0.3369792699813843,-0.2543148398399353,298.91448974609375,0.109375
53,699,53699,-0.2696424424648285,-0.18769103288650513,296.33636474609375,0.0703125
53,749,53749,-0.24557970464229584,-0.16314265131950378,298.09234619140625,0.0859375
