global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
8,0,8000,-47.995147705078125,-0.4544847905635834,326651.875,0.109375
8,49,8049,-0.609790563583374,-0.4395473003387451,1169.741455078125,0.1328125
8,99,8099,-0.48101112246513367,-0.4546387195587158,181.20489501953125,0.140625
8,149,8149,-0.46938079595565796,-0.4474843442440033,150.45037841796875,0.125
8,199,8199,-0.44255781173706055,-0.420116662979126,154.193115234375,0.1015625
8,249,8249,-0.4480409622192383,-0.4205177426338196,189.1121826171875,0.1171875
8,299,8299,-0.4886046051979065,-0.4639609754085541,169.3264923095703,0.1640625
8,349,8349,-0.516706109046936,-0.4914438724517822,173.57708740234375,0.2109375
8,399,8399,-0.47633764147758484,-0.4515809416770935,170.10342407226562,0.1015625
8,449,8449,-0.4356549382209778,-0.41116851568222046,168.2462158203125,0.109375
8,499,8499,-0.4336080253124237,-0.40846168994903564,172.78054809570312,0.09375
8,549,8549,-0.44851505756378174,-0.42774468660354614,142.71328735351562,0.1484375
8,599,8599,-0.4923517107963562,-0.47158491611480713,142.68878173828125,0.1640625
8,649,8649,-0.43728917837142944,-0.4137216806411743,161.93235778808594,0.109375
8,699,8699,-0.4715358018875122,-0.4491162896156311,154.04449462890625,0.140625
8,749,8749,-0.4812239408493042,-0.45952165126800537,149.11656188964844,0.1640625
8,799,8799,-0.4482218027114868,-0.42693644762039185,146.25172424316406,0.09375
8,849,8849,-0.41729992628097534,-0.39802244305610657,132.4556884765625,0.0703125
8,899,8899,-0.47040602564811707,-0.4504423141479492,137.1705322265625,0.1328125
8,949,8949,-0.45102012157440186,-0.4309347867965698,138.00625610351562,0.1171875
8,999,8999,-0.46794241666793823,-0.44792574644088745,137.53469848632812,0.125
18,0,18000,-4.4485368728637695,-0.3889012336730957,27893.759765625,0.1328125
18,49,18049,-0.4988943040370941,-0.3364086151123047,1116.439208984375,0.109375
18,99,18099,-0.4833143353462219,-0.3638632297515869,820.74853515625,0.1796875
18,149,18149,-0.4267423152923584,-0.30466508865356445,838.792724609375,0.1171875
18,199,18199,-0.40214231610298157,-0.2702183127403259,906.4495849609375,0.078125
18,249,18249,-0.3973828852176666,-0.2667943239212036,897.274169921875,0.09375
18,299,18299,-0.4749082326889038,-0.3566037714481354,812.869873046875,0.140625
18,349,18349,-0.5549486875534058,-0.4585829973220825,662.1287841796875,0.1953125
18,399,18399,-0.4039243161678314,-0.302969753742218,693.6588745117188,0.109375
18,449,18449,-0.3971582055091858,-0.29793524742126465,681.7608032226562,0.09375
18,499,18499,-0.38912224769592285,-0.29163891077041626,669.80810546875,0.09375
18,549,18549,-0.37241846323013306,-0.2913390100002289,557.0968017578125,0.125
18,599,18599,-0.40847235918045044,-0.31895074248313904,615.1031494140625,0.15625
18,649,18649,-0.38304275274276733,-0.2936778962612152,614.0260009765625,0.109375
18,699,18699,-0.4395431578159332,-0.3513653874397278,605.8694458007812,0.125
18,749,18749,-0.448300838470459,-0.3668442368507385,559.6883544921875,0.15625
18,799,18799,-0.3883848190307617,-0.31519368290901184,502.896240234375,0.1015625
18,849,18849,-0.3018144369125366,-0.23154571652412415,482.8163146972656,0.078125
18,899,18899,-0.43233928084373474,-0.3658260405063629,457.01251220703125,0.1328125
18,949,18949,-0.39390265941619873,-0.32184281945228577,495.12310791015625,0.09375
18,999,18999,-0.3973647356033325,-0.330064594745636,462.41925048828125,0.140625
28,0,28000,-0.6382052898406982,-0.30927523970603943,2260.078369140625,0.125
28,49,28049,-0.43221694231033325,-0.2959808111190796,936.0785522460938,0.1171875
28,99,28099,-0.4834425151348114,-0.36285489797592163,828.5574951171875,0.1484375
28,149,28149,-0.3661002516746521,-0.2613460421562195,719.7662353515625,0.09375
28,199,28199,-0.3285079598426819,-0.22680361568927765,698.8104858398438,0.0859375
28,249,28249,-0.32535988092422485,-0.24170449376106262,574.796142578125,0.0859375
28,299,28299,-0.4087486267089844,-0.3390858769416809,478.653076171875,0.1328125
28,349,28349,-0.46877387166023254,-0.40905052423477173,410.359130859375,0.1953125
28,399,28399,-0.32184654474258423,-0.27177858352661133,344.016845703125,0.1171875
28,449,28449,-0.30023640394210815,-0.25455379486083984,313.885009765625,0.1328125
28,499,28499,-0.2415841519832611,-0.2057345062494278,246.3229522705078,0.078125
28,549,28549,-0.3029325604438782,-0.273164302110672,204.53765869140625,0.109375
28,599,28599,-0.3162279725074768,-0.2885139584541321,190.42303466796875,0.1640625
28,649,28649,-0.24095718562602997,-0.2156619280576706,173.8037109375,0.078125
28,699,28699,-0.34311696887016296,-0.3227959871292114,139.62545776367188,0.15625
28,749,28749,-0.3645532727241516,-0.3459860682487488,127.57525634765625,0.1484375
28,799,28799,-0.28159844875335693,-0.2644539773464203,117.79953002929688,0.09375
28,849,28849,-0.19397316873073578,-0.17675527930259705,118.30416870117188,0.0703125
28,899,28899,-0.32208651304244995,-0.30515992641448975,116.30266571044922,0.109375
28,949,28949,-0.26227864623069763,-0.24544794857501984,115.64372253417969,0.0859375
28,999,28999,-0.3267892003059387,-0.3098960220813751,116.07302856445312,0.109375
38,0,38000,-0.3189949691295624,-0.27986204624176025,268.88238525390625,0.125
38,49,38049,-0.3383628726005554,-0.296782910823822,285.6959228515625,0.140625
38,99,38099,-0.33913570642471313,-0.3102465867996216,198.49703979492188,0.140625
38,149,38149,-0.26357197761535645,-0.2400447577238083,161.65542602539062,0.09375
38,199,38199,-0.23344096541404724,-0.21377208828926086,135.14495849609375,0.09375
38,249,38249,-0.21890541911125183,-0.20113199949264526,122.12116241455078,0.0703125
38,299,38299,-0.33234772086143494,-0.31518882513046265,117.89885711669922,0.1328125
38,349,38349,-0.4025110602378845,-0.3833657205104828,131.54751586914062,0.1796875
38,399,38399,-0.2762832045555115,-0.26225972175598145,96.3550796508789,0.125
38,449,38449,-0.23949432373046875,-0.22800613939762115,78.93528747558594,0.125
38,499,38499,-0.20563985407352448,-0.19316823780536652,85.69245147705078,0.0546875
38,549,38549,-0.2428743988275528,-0.23033243417739868,86.17585754394531,0.109375
38,599,38599,-0.3093932271003723,-0.2972449064254761,83.4712142944336,0.125
38,649,38649,-0.1946486085653305,-0.1817799061536789,88.42080688476562,0.0703125
38,699,38699,-0.2953745722770691,-0.28332650661468506,82.7823257446289,0.140625
38,749,38749,-0.3027743995189667,-0.29090768098831177,81.53634643554688,0.1484375
38,799,38799,-0.2733054757118225,-0.26083821058273315,85.66250610351562,0.1015625
38,849,38849,-0.17769776284694672,-0.1680353283882141,66.39053344726562,0.0703125
38,899,38899,-0.31652331352233887,-0.3078715205192566,59.44652557373047,0.15625
38,949,38949,-0.23397111892700195,-0.22471307218074799,63.61201477050781,0.078125
38,999,38999,-0.26251664757728577,-0.2533567547798157,62.937721252441406,0.078125
48,0,48000,-0.29611635208129883,-0.28143200278282166,100.89630889892578,0.1328125
48,49,48049,-0.3118307888507843,-0.29033029079437256,147.72982788085938,0.125
48,99,48099,-0.3060772120952606,-0.2912061810493469,102.17881774902344,0.1171875
48,149,48149,-0.24968737363815308,-0.23558518290519714,96.89617156982422,0.0703125
48,199,48199,-0.21511796116828918,-0.20019254088401794,102.55252075195312,0.078125
48,249,48249,-0.20988833904266357,-0.19497960805892944,102.4380111694336,0.0859375
48,299,48299,-0.3027949929237366,-0.2884027361869812,98.88917541503906,0.09375
48,349,48349,-0.35445159673690796,-0.3419376015663147,85.98365783691406,0.1640625
48,399,48399,-0.29068607091903687,-0.27899137139320374,80.35431671142578,0.1015625
48,449,48449,-0.2176990509033203,-0.20638662576675415,77.72773742675781,0.09375
48,499,48499,-0.18316888809204102,-0.17275458574295044,71.55660247802734,0.0703125
48,549,48549,-0.21776637434959412,-0.20717819035053253,72.75144958496094,0.0859375
48,599,48599,-0.2759024500846863,-0.2642756700515747,79.88760375976562,0.1171875
48,649,48649,-0.18798857927322388,-0.1772124469280243,74.04288482666016,0.0703125
48,699,48699,-0.3204607665538788,-0.31034189462661743,69.52679443359375,0.140625
48,749,48749,-0.2811660170555115,-0.2714441120624542,66.79914855957031,0.125
48,799,48799,-0.22581127285957336,-0.21605321764945984,67.04766845703125,0.09375
48,849,48849,-0.163053497672081,-0.15222205221652985,74.42283630371094,0.0625
48,899,48899,-0.30569449067115784,-0.2937295436859131,82.21125793457031,0.1640625
48,949,48949,-0.2153153419494629,-0.20223543047904968,89.8719482421875,0.0859375
48,999,48999,-0.2411121428012848,-0.22927141189575195,81.35778045654297,0.0703125
58,0,58000,-0.2950752377510071,-0.2788807451725006,111.27245330810547,0.140625
58,49,58049,-0.2751196622848511,-0.26301854848861694,83.14655303955078,0.1015625
58,99,58099,-0.3106088638305664,-0.298454612493515,83.51177978515625,0.140625
58,149,58149,-0.24041303992271423,-0.22698742151260376,92.24732971191406,0.0703125
58,199,58199,-0.195453941822052,-0.18144290149211884,96.26983642578125,0.0859375
58,249,58249,-0.1997394859790802,-0.18685895204544067,88.50214385986328,0.0703125
58,299,58299,-0.31321656703948975,-0.3010690212249756,83.46583557128906,0.1171875
58,349,58349,-0.3241209387779236,-0.31144511699676514,87.09556579589844,0.1484375
58,399,58399,-0.2859055995941162,-0.2737092673778534,83.80094146728516,0.109375
58,449,58449,-0.21509122848510742,-0.20318400859832764,81.81460571289062,0.109375
58,499,58499,-0.1915816068649292,-0.18004493415355682,79.26844787597656,0.078125
58,549,58549,-0.1878325194120407,-0.17641112208366394,78.47645568847656,0.078125
58,599,58599,-0.2685997486114502,-0.257234662771225,78.08960723876953,0.125
58,649,58649,-0.19456321001052856,-0.18365460634231567,74.9530029296875,0.0859375
58,699,58699,-0.3244304060935974,-0.3136746883392334,73.90238952636719,0.125
58,749,58749,-0.2510342299938202,-0.23936036229133606,80.21122741699219,0.125
58,799,58799,-0.23193806409835815,-0.2203386276960373,79.69970703125,0.109375
58,849,58849,-0.15216004848480225,-0.13987334072589874,84.4219970703125,0.046875
58,899,58899,-0.297087162733078,-0.28421691060066223,88.43150329589844,0.1484375
58,949,58949,-0.20532947778701782,-0.19236606359481812,89.0716781616211,0.078125
58,999,58999,-0.24003919959068298,-0.2277485728263855,84.44876861572266,0.078125
68,0,68000,-0.29024961590766907,-0.2754361629486084,101.78326416015625,0.125
68,49,68049,-0.26254260540008545,-0.25012844800949097,85.29762268066406,0.1171875
68,99,68099,-0.3208464980125427,-0.3085659146308899,84.3797607421875,0.140625
68,149,68149,-0.22995969653129578,-0.2170494943857193,88.7059555053711,0.078125
68,199,68199,-0.18750053644180298,-0.17426618933677673,90.93324279785156,0.0625
68,249,68249,-0.196135476231575,-0.18316689133644104,89.1070785522461,0.0703125
68,299,68299,-0.30968809127807617,-0.2967836856842041,88.666015625,0.1171875
68,349,68349,-0.3041951656341553,-0.29135262966156006,88.24119567871094,0.140625
68,399,68399,-0.2999899387359619,-0.28677549958229065,90.79634094238281,0.140625
