global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
6,0,6000,-46.471397399902344,-0.4571716785430908,316163.75,0.125
6,49,6049,-0.5964179039001465,-0.4559676945209503,965.0332641601562,0.1171875
6,99,6099,-0.47702324390411377,-0.4576168656349182,133.34127807617188,0.1171875
6,149,6149,-0.48996517062187195,-0.4754468500614166,99.75538635253906,0.1640625
6,199,6199,-0.5186903476715088,-0.5047053694725037,96.09066772460938,0.1875
6,249,6249,-0.45788663625717163,-0.44460731744766235,91.2421646118164,0.125
6,299,6299,-0.4833309054374695,-0.4703710675239563,89.04707336425781,0.1328125
6,349,6349,-0.4886576533317566,-0.4756869077682495,89.12208557128906,0.15625
6,399,6399,-0.4553965926170349,-0.44221383333206177,90.57861328125,0.109375
6,449,6449,-0.4901595711708069,-0.47701671719551086,90.30450439453125,0.1484375
6,499,6499,-0.4162418246269226,-0.4035548269748688,87.17236328125,0.0546875
6,549,6549,-0.47680699825286865,-0.4635484218597412,91.0997314453125,0.140625
6,599,6599,-0.46898967027664185,-0.4559340178966522,89.70547485351562,0.125
6,649,6649,-0.46793150901794434,-0.4555008113384247,85.41117858886719,0.1328125
6,699,6699,-0.4657778739929199,-0.4519858956336975,94.76496124267578,0.125
6,749,6749,-0.49480608105659485,-0.4814244508743286,91.9451904296875,0.15625
6,799,6799,-0.4936565160751343,-0.47967058420181274,96.09725189208984,0.1328125
6,849,6849,-0.44937312602996826,-0.43505752086639404,98.36261749267578,0.0703125
6,899,6899,-0.47090405225753784,-0.4554809331893921,105.9722900390625,0.125
6,949,6949,-0.4858454167842865,-0.4720883369445801,94.5249252319336,0.1484375
6,999,6999,-0.43881645798683167,-0.42490899562835693,95.55805969238281,0.09375
16,0,16000,-4.549467086791992,-0.3877794146537781,28594.95703125,0.1328125
16,49,16049,-7.12908411026001,-0.39279353618621826,46285.0546875,0.125
16,99,16099,-7.1263837814331055,-0.3897392749786377,46287.484375,0.125
16,149,16149,-7.16242790222168,-0.42569977045059204,46288.0625,0.1640625
16,199,16199,-7.215397834777832,-0.479196697473526,46284.4375,0.203125
16,249,16249,-7.123272895812988,-0.38710498809814453,46284.2109375,0.1171875
16,299,16299,-7.125685691833496,-0.3894945979118347,46284.3671875,0.109375
16,349,16349,-7.164481163024902,-0.4280332326889038,46286.1328125,0.1328125
16,399,16399,-7.14013671875,-0.4038463830947876,46285.05078125,0.1015625
16,449,16449,-7.151900768280029,-0.4154130220413208,46286.40625,0.1484375
16,499,16499,-7.121869087219238,-0.3849601745605469,46289.3046875,0.0625
16,549,16549,-7.144839286804199,-0.40800249576568604,46288.80859375,0.125
16,599,16599,-7.1414384841918945,-0.4048227071762085,46287.2890625,0.1328125
16,649,16649,-7.154069900512695,-0.4178364872932434,46284.65625,0.140625
16,699,16699,-7.159432411193848,-0.42305701971054077,46285.6328125,0.1171875
16,749,16749,-7.192647933959961,-0.45604634284973145,46287.1875,0.140625
16,799,16799,-7.142319679260254,-0.4054918885231018,46288.75,0.125
16,849,16849,-7.115767002105713,-0.3791310787200928,46287.42578125,0.09375
16,899,16899,-7.126112937927246,-0.38976502418518066,46285.44921875,0.125
16,949,16949,-7.117104530334473,-0.3807172477245331,46285.71875,0.109375
16,999,16999,-7.092074871063232,-0.35560208559036255,46286.3046875,0.109375
26,0,26000,-5.2354841232299805,-0.3904600739479065,33290.1640625,0.109375
26,49,26049,-2.9343154430389404,-0.3936815857887268,17456.6953125,0.125
26,99,26099,-2.960391044616699,-0.419651597738266,17457.421875,0.125
26,149,26149,-2.981077194213867,-0.4403609335422516,17457.26171875,0.1484375
26,199,26199,-3.0157058238983154,-0.47540128231048584,17454.43359375,0.1953125
26,249,26249,-2.913416862487793,-0.37290287017822266,17455.87109375,0.0859375
26,299,26299,-2.9419612884521484,-0.40172848105430603,17453.939453125,0.109375
26,349,26349,-2.97099232673645,-0.43048015236854553,17455.859375,0.1328125
26,399,26399,-2.9427688121795654,-0.4021090269088745,17456.875,0.109375
26,449,26449,-2.9591012001037598,-0.4185399115085602,17456.197265625,0.140625
26,499,26499,-2.8968701362609863,-0.35652339458465576,17454.72265625,0.0703125
26,549,26549,-2.940063953399658,-0.3995470404624939,17455.892578125,0.1328125
26,599,26599,-2.944622278213501,-0.40435242652893066,17454.1953125,0.125
26,649,26649,-2.940664052963257,-0.3999219834804535,17457.439453125,0.125
26,699,26699,-2.9587807655334473,-0.41825932264328003,17455.921875,0.125
26,749,26749,-2.9805774688720703,-0.4399968385696411,17456.330078125,0.125
26,799,26799,-2.9504599571228027,-0.4099830687046051,17455.615234375,0.1171875
26,849,26849,-2.936040163040161,-0.39515408873558044,17458.4296875,0.09375
26,899,26899,-2.948944568634033,-0.4080897569656372,17458.212890625,0.1171875
26,949,26949,-2.946345329284668,-0.405728280544281,17456.58203125,0.1171875
26,999,26999,-2.9309768676757812,-0.390450656414032,17455.95703125,0.109375
36,0,36000,-4.455507278442383,-0.3900284767150879,27933.90625,0.125
36,49,36049,-6.54450798034668,-0.39076435565948486,42282.37109375,0.125
36,99,36099,-6.549495697021484,-0.39532846212387085,42285.28125,0.125
36,149,36149,-6.579826354980469,-0.42556464672088623,42285.9296875,0.1640625
36,199,36199,-6.631389617919922,-0.4768006205558777,42288.1796875,0.1953125
