global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
5,0,5000,-35.7042236328125,-0.4091185927391052,242512.6875,0.078125
5,49,5049,-21.684825897216797,-0.406404048204422,146204.03125,0.0859375
5,99,5099,-15.864213943481445,-0.4176369905471802,106133.4375,0.1015625
5,149,5149,-12.007349014282227,-0.4088149070739746,79693.53125,0.078125
5,199,5199,-9.368931770324707,-0.47992923855781555,61076.34375,0.1796875
5,249,5249,-7.352768898010254,-0.45780885219573975,47375.26953125,0.1328125
5,299,5299,-5.8384857177734375,-0.43740496039390564,37110.828125,0.140625
5,349,5349,-4.681252479553223,-0.42231425642967224,29263.1640625,0.1015625
5,399,5399,-3.798912286758423,-0.4281737804412842,23160.34375,0.125
5,449,5449,-3.1083359718322754,-0.4309874176979065,18396.0625,0.09375
5,499,5499,-2.5853424072265625,-0.45176348090171814,14659.822265625,0.1328125
5,549,5549,-2.1091413497924805,-0.40559595823287964,11705.0625,0.0859375
5,599,5599,-1.8062102794647217,-0.442463219165802,9370.306640625,0.1328125
5,649,5649,-1.503983497619629,-0.4097086191177368,7518.7626953125,0.09375
5,699,5699,-1.3563297986984253,-0.47597524523735046,6048.9169921875,0.1640625
5,749,5749,-1.1486053466796875,-0.4389571249485016,4875.9931640625,0.125
5,799,5799,-1.008090853691101,-0.43535998463630676,3935.23388671875,0.1015625
5,849,5849,-0.9123755693435669,-0.44919195771217346,3182.534423828125,0.140625
5,899,5899,-0.7940064668655396,-0.41793715953826904,2583.97265625,0.1015625
5,949,5949,-0.7023060321807861,-0.39616659283638,2103.484375,0.0703125
5,999,5999,-0.6476324796676636,-0.3976067304611206,1717.927001953125,0.0859375
15,0,15000,-4.03856086730957,-0.38443413376808167,25107.50390625,0.0703125
15,49,15049,-1.3681743144989014,-0.38593512773513794,6748.96533203125,0.078125
15,99,15099,-0.9393365383148193,-0.40239834785461426,3689.302490234375,0.109375
15,149,15149,-0.7121541500091553,-0.3843505382537842,2252.33837890625,0.0859375
15,199,15199,-0.6598387956619263,-0.4497365355491638,1443.613037109375,0.1640625
15,249,15249,-0.5636391043663025,-0.4239254295825958,959.972900390625,0.1171875
15,299,15299,-0.5212051272392273,-0.4253455400466919,658.6512451171875,0.140625
15,349,15349,-0.47140613198280334,-0.4034329950809479,467.04339599609375,0.1171875
15,399,15399,-0.4418678879737854,-0.3917553722858429,344.3230895996094,0.09375
15,449,15449,-0.42741918563842773,-0.3890746235847473,263.4656677246094,0.078125
15,499,15499,-0.4692422151565552,-0.43880391120910645,209.141357421875,0.1484375
15,549,15549,-0.4059857130050659,-0.38106104731559753,171.25726318359375,0.0859375
15,599,15599,-0.4413717985153198,-0.4200623035430908,146.4177703857422,0.125
15,649,15649,-0.4121987223625183,-0.3934207260608673,129.02374267578125,0.09375
15,699,15699,-0.4720849394798279,-0.4549684524536133,117.607421875,0.1640625
15,749,15749,-0.43070462346076965,-0.41485828161239624,108.88023376464844,0.1328125
15,799,15799,-0.4123474955558777,-0.3975350260734558,101.77635192871094,0.1015625
15,849,15849,-0.4535941183567047,-0.4395282566547394,96.64653015136719,0.1484375
15,899,15899,-0.40051621198654175,-0.38693052530288696,93.34716796875,0.0859375
15,949,15949,-0.38113081455230713,-0.36837899684906006,87.61787414550781,0.0625
15,999,15999,-0.3863130211830139,-0.37423354387283325,82.99796295166016,0.0859375
25,0,25000,-0.7376775145530701,-0.33055922389030457,2797.309814453125,0.078125
25,49,25049,-0.3403974175453186,-0.2998046875,278.91265869140625,0.078125
25,99,25099,-0.35081517696380615,-0.32925277948379517,148.15509033203125,0.1015625
25,149,25149,-0.3297429084777832,-0.31329673528671265,113.00161743164062,0.0703125
25,199,25199,-0.383430540561676,-0.3690716624259949,98.65977478027344,0.140625
25,249,25249,-0.35831743478775024,-0.34470802545547485,93.5101089477539,0.109375
25,299,25299,-0.38176846504211426,-0.3685563802719116,90.78019714355469,0.125
25,349,25349,-0.3300037682056427,-0.31659674644470215,92.11959838867188,0.1171875
25,399,25399,-0.34703272581100464,-0.3339749276638031,89.72027587890625,0.109375
25,449,25449,-0.3090294599533081,-0.2962454557418823,87.83872985839844,0.0859375
25,499,25499,-0.4005664587020874,-0.38769394159317017,88.44707489013672,0.1328125
25,549,25549,-0.30645275115966797,-0.29321086406707764,90.98481750488281,0.0859375
25,599,25599,-0.3664324879646301,-0.353526771068573,88.67525482177734,0.1171875
25,649,25649,-0.321879506111145,-0.3086390495300293,90.9752426147461,0.09375
25,699,25699,-0.4317641854286194,-0.418353796005249,92.14260864257812,0.1484375
25,749,25749,-0.3981614112854004,-0.38554441928863525,86.69127655029297,0.1328125
25,799,25799,-0.32809340953826904,-0.315818727016449,84.33932495117188,0.0859375
25,849,25849,-0.3992018699645996,-0.3874538540840149,80.72074890136719,0.1328125
25,899,25899,-0.32100290060043335,-0.3089708685874939,82.67221069335938,0.0859375
25,949,25949,-0.29659104347229004,-0.2845149040222168,82.9752197265625,0.078125
25,999,25999,-0.31751036643981934,-0.30553093552589417,82.31084442138672,0.0859375
35,0,35000,-0.47469237446784973,-0.26102179288864136,1468.130615234375,0.078125
35,49,35049,-0.24764084815979004,-0.22775374352931976,136.6443328857422,0.0625
35,99,35099,-0.30183830857276917,-0.2869935631752014,101.9980697631836,0.109375
35,149,35149,-0.2858498692512512,-0.27289724349975586,88.99752044677734,0.078125
35,199,35199,-0.33576446771621704,-0.32304054498672485,87.42630004882812,0.15625
35,249,35249,-0.35527968406677246,-0.34313055872917175,83.47654724121094,0.09375
35,299,35299,-0.33350682258605957,-0.3207448124885559,87.68750762939453,0.1171875
35,349,35349,-0.3033113479614258,-0.2900845408439636,90.88137817382812,0.0859375
35,399,35399,-0.2890532612800598,-0.27582722902297974,90.87606811523438,0.0859375
35,449,35449,-0.2642350196838379,-0.2513313889503479,88.66065979003906,0.078125
35,499,35499,-0.33990246057510376,-0.3264613747596741,92.3535385131836,0.1015625
35,549,35549,-0.2594956159591675,-0.24547195434570312,96.35639953613281,0.09375
