global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
5,0,5000,-2.1793789863586426,-0.6924980878829956,10216.359375,0.0859375
5,49,5049,-2.176866292953491,-0.6925095915794373,10199.0146484375,0.0859375
5,99,5099,-2.174375057220459,-0.6924417018890381,10182.36328125,0.1015625
5,149,5149,-2.172109603881836,-0.6924519538879395,10166.7275390625,0.0859375
5,199,5199,-2.1701626777648926,-0.6926437616348267,10152.0322265625,0.15625
5,249,5249,-2.1679930686950684,-0.6924870610237122,10138.2021484375,0.109375
5,299,5299,-2.166046619415283,-0.6924362182617188,10125.177734375,0.140625
5,349,5349,-2.164306402206421,-0.6924833059310913,10112.8955078125,0.1171875
5,399,5399,-2.162550449371338,-0.6924147605895996,10101.3037109375,0.1171875
5,449,5449,-2.1609792709350586,-0.6924371123313904,10090.3525390625,0.09375
5,499,5499,-2.159515380859375,-0.6924803853034973,10079.99609375,0.140625
5,549,5549,-2.1580066680908203,-0.6923990845680237,10070.1904296875,0.078125
5,599,5599,-2.1566920280456543,-0.6924359202384949,10060.904296875,0.125
5,649,5649,-2.1553516387939453,-0.6923774480819702,10052.0966796875,0.09375
5,699,5699,-2.15437912940979,-0.6926214694976807,10043.7373046875,0.1875
5,749,5749,-2.153088092803955,-0.6924858093261719,10035.798828125,0.1328125
5,799,5799,-2.1517767906188965,-0.6922731399536133,10028.2490234375,0.09375
5,849,5849,-2.1508302688598633,-0.6923720836639404,10021.068359375,0.15625
5,899,5899,-2.149782657623291,-0.692319393157959,10014.2294921875,0.0859375
5,949,5949,-2.148815631866455,-0.6923007965087891,10007.712890625,0.078125
5,999,5999,-2.1477129459381104,-0.6921026706695557,10001.498046875,0.0859375
15,0,15000,-1.8609375953674316,-0.6876157522201538,8061.89453125,0.0859375
15,49,15049,-1.8585174083709717,-0.687674343585968,8044.86279296875,0.0859375
15,99,15099,-1.8564987182617188,-0.68803471326828,8028.51708984375,0.1015625
15,149,15149,-1.8540515899658203,-0.6878211498260498,8013.169921875,0.0859375
15,199,15199,-1.8527812957763672,-0.6886501312255859,7998.74560546875,0.15625
15,249,15249,-1.8501842021942139,-0.6880280375480652,7985.17578125,0.109375
15,299,15299,-1.8484809398651123,-0.6881846785545349,7972.39501953125,0.140625
15,349,15349,-1.8465797901153564,-0.6880372762680054,7960.345703125,0.1171875
15,399,15399,-1.8449571132659912,-0.6880697011947632,7948.9736328125,0.1171875
15,449,15449,-1.8428707122802734,-0.6875468492507935,7938.23046875,0.09375
15,499,15499,-1.841937780380249,-0.6880923509597778,7928.072265625,0.140625
15,549,15549,-1.839641809463501,-0.6871957182884216,7918.45703125,0.078125
