global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-13.041996002197266,-0.5309614539146423,45239.8984375,0.2265625
0,49,49,-4.080264568328857,-0.29665201902389526,13681.54296875,0.09375
0,99,99,-3.206444263458252,-0.28410062193870544,10567.1953125,0.125
0,149,149,-2.714679718017578,-0.22023969888687134,9019.89453125,0.078125
0,199,199,-2.5514650344848633,-0.27347612380981445,8237.20703125,0.1015625
0,249,249,-2.3287429809570312,-0.23854464292526245,7558.1572265625,0.0859375
0,299,299,-2.088442325592041,-0.14381147921085358,7031.78466796875,0.046875
0,349,349,-2.144148349761963,-0.2563971281051636,6826.10791015625,0.1015625
0,399,399,-2.0225670337677,-0.285554438829422,6281.03759765625,0.1171875
0,449,449,-1.7192645072937012,-0.1986936777830124,5498.38427734375,0.0546875
0,499,499,-1.5946383476257324,-0.17910227179527283,5118.578125,0.078125
0,549,549,-1.6337544918060303,-0.18297137320041656,5246.03125,0.0546875
0,599,599,-1.547827959060669,-0.263364315032959,4644.62109375,0.1171875
0,649,649,-1.4739327430725098,-0.2574438154697418,4398.82421875,0.125
0,699,699,-1.4303195476531982,-0.2602430284023285,4230.99658203125,0.1171875
0,749,749,-1.3257396221160889,-0.21482090651988983,4017.08203125,0.09375
0,799,799,-1.3057270050048828,-0.24518327414989471,3834.926025390625,0.1171875
0,849,849,-1.319631814956665,-0.28677546977996826,3734.80859375,0.1171875
0,899,899,-1.1924771070480347,-0.2058355063199997,3567.69580078125,0.0625
0,949,949,-1.0692391395568848,-0.1277819275856018,3404.30908203125,0.0546875
0,999,999,-1.552998423576355,-0.28492796421051025,4585.3427734375,0.1171875
1,0,1000,-2.227062702178955,-0.29400184750556946,6989.94775390625,0.125
1,49,1049,-0.3055194318294525,-0.24877697229385376,205.18072509765625,0.0859375
1,99,1099,-0.33956360816955566,-0.2949962615966797,161.15548706054688,0.125
1,149,1149,-0.29511845111846924,-0.2598193287849426,127.64164733886719,0.09375
1,199,1199,-0.3409082889556885,-0.30722111463546753,121.81278991699219,0.1015625
1,249,1249,-0.28491705656051636,-0.2458929419517517,141.11111450195312,0.109375
1,299,1299,-0.1856917142868042,-0.1503487229347229,127.80029296875,0.046875
1,349,1349,-0.3255598247051239,-0.2986035645008087,97.47381591796875,0.1328125
1,399,1399,-0.37066715955734253,-0.3453652858734131,91.49161529541016,0.1328125
1,449,1449,-0.26195406913757324,-0.23243668675422668,106.73486328125,0.0859375
1,499,1499,-0.2326294183731079,-0.204456627368927,101.87276458740234,0.078125
1,549,1549,-0.22797417640686035,-0.202373206615448,92.5730972290039,0.078125
1,599,1599,-0.3070140480995178,-0.2846159338951111,80.99150848388672,0.1171875
1,649,1649,-0.2808734178543091,-0.2579640746116638,82.84013366699219,0.1015625
1,699,1699,-0.24615433812141418,-0.21980655193328857,95.27360534667969,0.0859375
1,749,1749,-0.2510908842086792,-0.23046356439590454,74.58837127685547,0.0859375
1,799,1799,-0.3014383316040039,-0.28557226061820984,57.37171173095703,0.109375
1,849,1849,-0.3259305953979492,-0.30746763944625854,66.76210021972656,0.109375
1,899,1899,-0.23666724562644958,-0.21498537063598633,78.40165710449219,0.078125
1,949,1949,-0.1681104451417923,-0.1503218561410904,64.32353210449219,0.0625
1,999,1999,-0.3219359517097473,-0.30862337350845337,48.13841247558594,0.125
2,0,2000,-0.36658161878585815,-0.287013441324234,287.718505859375,0.1015625
2,49,2049,-0.31571483612060547,-0.2744256854057312,149.30154418945312,0.1171875
2,99,2099,-0.31011947989463806,-0.2688966989517212,149.0616455078125,0.1171875
2,149,2149,-0.2695913016796112,-0.25235024094581604,62.343658447265625,0.109375
2,199,2199,-0.30663001537323,-0.28665658831596375,72.2238998413086,0.1171875
2,249,2249,-0.263408362865448,-0.2470986694097519,58.97592544555664,0.1015625
2,299,2299,-0.17115670442581177,-0.15658625960350037,52.686744689941406,0.0546875
2,349,2349,-0.3078007996082306,-0.2931067645549774,53.13360595703125,0.125
2,399,2399,-0.3250652551651001,-0.3101276457309723,54.014366149902344,0.1484375
2,449,2449,-0.22641190886497498,-0.21300359070301056,48.484500885009766,0.0625
2,499,2499,-0.20089560747146606,-0.18555280566215515,55.479549407958984,0.0625
2,549,2549,-0.21515312790870667,-0.19677405059337616,66.45875549316406,0.078125
2,599,2599,-0.2921968102455139,-0.2787283658981323,48.70199966430664,0.1328125
2,649,2649,-0.2655560374259949,-0.25165674090385437,50.25981903076172,0.1171875
2,699,2699,-0.2597849667072296,-0.2457205057144165,50.85700988769531,0.1015625
2,749,2749,-0.22805853188037872,-0.21476593613624573,48.06607437133789,0.0859375
2,799,2799,-0.2843784689903259,-0.271531879901886,46.453216552734375,0.109375
