global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.15847110748291,-0.6931021213531494,5298.77392578125,0.125
0,49,49,-1.569573163986206,-0.6922035217285156,3172.569091796875,0.1015625
0,99,99,-1.1230249404907227,-0.6709667444229126,1634.642333984375,0.125
0,149,149,-0.5209182500839233,-0.29871034622192383,803.5037231445312,0.1015625
0,199,199,-0.45183926820755005,-0.300254762172699,548.1295776367188,0.1015625
0,249,249,-0.35576894879341125,-0.23981070518493652,419.30499267578125,0.1015625
0,299,299,-0.22948649525642395,-0.1355680227279663,339.609130859375,0.0546875
0,349,349,-0.35781192779541016,-0.2785440981388092,286.6324768066406,0.1484375
0,399,399,-0.3807334005832672,-0.3111341595649719,251.6708984375,0.1640625
0,449,449,-0.2899130582809448,-0.22760193049907684,225.31698608398438,0.1171875
0,499,499,-0.2547626793384552,-0.19800466299057007,205.23695373535156,0.1171875
0,549,549,-0.23311814665794373,-0.1794038563966751,194.23086547851562,0.09375
0,599,599,-0.32270216941833496,-0.27101391553878784,186.9047393798828,0.1171875
0,649,649,-0.28457653522491455,-0.2348702847957611,179.7377166748047,0.125
0,699,699,-0.2673843801021576,-0.22012296319007874,170.89730834960938,0.09375
0,749,749,-0.25510072708129883,-0.2091323733329773,166.22158813476562,0.078125
0,799,799,-0.26375478506088257,-0.21765035390853882,166.7135772705078,0.109375
0,849,849,-0.32990965247154236,-0.2844732999801636,164.29788208007812,0.1171875
0,899,899,-0.2465277910232544,-0.20245227217674255,159.37704467773438,0.0859375
0,949,949,-0.17871952056884766,-0.13601884245872498,154.4056854248047,0.0625
0,999,999,-0.3229004442691803,-0.27963727712631226,156.43955993652344,0.1484375
1,0,1000,-9.947465896606445,-8.825385093688965,4057.44287109375,0.125
1,49,1049,-6.738707065582275,-5.731804370880127,3640.9609375,0.1015625
1,99,1099,-6.4402666091918945,-5.573097229003906,3135.68212890625,0.125
1,149,1149,-1.8316473960876465,-1.0446240901947021,2845.87646484375,0.1015625
1,199,1199,-2.2896552085876465,-1.5243595838546753,2767.308837890625,0.1015625
1,249,1249,-1.2496740818023682,-0.4917944073677063,2740.49267578125,0.1015625
1,299,1299,-0.9069210290908813,-0.1585197150707245,2706.218994140625,0.0546875
1,349,1349,-1.0901485681533813,-0.35524725914001465,2657.403076171875,0.1484375
1,399,1399,-1.2164490222930908,-0.4965449571609497,2603.173095703125,0.1640625
1,449,1449,-0.9594811201095581,-0.25452595949172974,2549.117919921875,0.1171875
1,499,1499,-0.8781630992889404,-0.18847759068012238,2493.90283203125,0.1171875
1,549,1549,-0.9677932262420654,-0.29451239109039307,2434.58349609375,0.09375
1,599,1599,-0.9499870538711548,-0.2955843508243561,2366.320068359375,0.1171875
1,649,1649,-0.8826665282249451,-0.25165998935699463,2281.7197265625,0.125
1,699,1699,-0.8698610067367554,-0.26566722989082336,2184.7646484375,0.09375
1,749,1749,-0.7928897142410278,-0.2123633623123169,2099.183349609375,0.078125
1,799,1799,-0.803934633731842,-0.2411959171295166,2034.8631591796875,0.109375
1,849,1849,-0.9192118644714355,-0.3689716160297394,1989.6689453125,0.1171875
1,899,1899,-0.8078628182411194,-0.2657741904258728,1960.1923828125,0.0859375
1,949,1949,-0.6820908784866333,-0.1455247402191162,1940.22314453125,0.0625
1,999,1999,-0.7872527837753296,-0.2550916075706482,1924.294921875,0.1484375
2,0,2000,-2.063462257385254,-0.5269568562507629,5556.00390625,0.125
