global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.1584668159484863,-0.6930979490280151,5298.77392578125,0.140625
0,49,49,-1.5688422918319702,-0.6915009021759033,3172.466796875,0.09375
0,99,99,-1.1172525882720947,-0.6652319431304932,1634.507080078125,0.0859375
0,149,149,-0.4724870026111603,-0.24955396354198456,806.1258544921875,0.0859375
0,199,199,-0.5113561153411865,-0.36068394780158997,544.8303833007812,0.171875
0,249,249,-0.3678147792816162,-0.2533712089061737,413.82794189453125,0.140625
0,299,299,-0.32346320152282715,-0.2313302755355835,333.15277099609375,0.109375
0,349,349,-0.27951592206954956,-0.20196254551410675,280.4330749511719,0.1015625
0,399,399,-0.28672510385513306,-0.21876102685928345,245.758056640625,0.09375
0,449,449,-0.2832753658294678,-0.22163152694702148,222.90411376953125,0.1328125
0,499,499,-0.25897854566574097,-0.20195740461349487,206.18844604492188,0.09375
0,549,549,-0.203306183218956,-0.15055888891220093,190.73422241210938,0.0703125
0,599,599,-0.36989688873291016,-0.31933900713920593,182.81729125976562,0.171875
0,649,649,-0.25911521911621094,-0.21021249890327454,176.83221435546875,0.1328125
0,699,699,-0.23549745976924896,-0.1878037452697754,172.46047973632812,0.0859375
0,749,749,-0.2875203490257263,-0.24169428646564484,165.70709228515625,0.1171875
0,799,799,-0.22266694903373718,-0.17773616313934326,162.46969604492188,0.0859375
0,849,849,-0.3449747562408447,-0.3003835678100586,161.24172973632812,0.1640625
0,899,899,-0.2598087787628174,-0.21542988717556,160.47406005859375,0.125
0,949,949,-0.24907812476158142,-0.20603042840957642,155.66050720214844,0.1015625
0,999,999,-0.25532567501068115,-0.21310336887836456,152.6758270263672,0.1015625
1,0,1000,-11.121461868286133,-9.999380111694336,4057.44287109375,0.140625
1,49,1049,-10.578794479370117,-9.571617126464844,3641.955078125,0.09375
1,99,1099,-3.0723657608032227,-2.206876754760742,3129.607421875,0.0859375
1,149,1149,-0.914121150970459,-0.12989091873168945,2835.776611328125,0.0859375
1,199,1199,-1.2519888877868652,-0.48518502712249756,2772.762939453125,0.171875
1,249,1249,-1.0324771404266357,-0.26968657970428467,2758.2509765625,0.140625
1,299,1299,-1.0435614585876465,-0.28802889585494995,2732.005859375,0.109375
1,349,1349,-0.9874297380447388,-0.2432759702205658,2690.860107421875,0.1015625
1,399,1399,-1.1628191471099854,-0.4325554072856903,2640.633544921875,0.09375
1,449,1449,-1.0072767734527588,-0.2911810874938965,2589.402099609375,0.1328125
