global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-2.15816593170166,-0.692797064781189,5298.77392578125,0.1328125
0,49,49,-2.0949535369873047,-0.6931858062744141,5068.79150390625,0.8984375
0,99,99,-2.0316953659057617,-0.6937934160232544,4837.85400390625,0.8671875
0,149,149,-1.9677355289459229,-0.6925339698791504,4611.12890625,0.1015625
0,199,199,-1.9060993194580078,-0.692350447177887,4388.91552734375,0.0859375
0,249,249,-1.845958948135376,-0.6923285722732544,4171.52734375,0.1015625
0,299,299,-1.787384271621704,-0.692446231842041,3959.2958984375,0.1015625
0,349,349,-1.7308014631271362,-0.6930458545684814,3752.5244140625,0.140625
0,399,399,-1.6743887662887573,-0.6922166347503662,3551.534423828125,0.1484375
0,449,449,-1.620848298072815,-0.6925908327102661,3356.5791015625,0.1015625
0,499,499,-1.566476583480835,-0.690387487411499,3167.937744140625,0.1015625
0,549,549,-1.5161082744598389,-0.6903796792030334,2985.83447265625,0.1171875
0,599,599,-1.4660743474960327,-0.6888347864151001,2810.498291015625,0.0859375
0,649,649,-1.4187405109405518,-0.6880627870559692,2642.130859375,0.1171875
0,699,699,-1.3715640306472778,-0.6854865550994873,2480.85595703125,0.125
0,749,749,-1.3233126401901245,-0.6798872351646423,2326.626220703125,0.125
0,799,799,-1.27590012550354,-0.6732991933822632,2179.005126953125,0.0859375
0,849,849,-1.2307807207107544,-0.6673948764801025,2037.203125,0.09375
0,899,899,-1.176849365234375,-0.6514055728912354,1900.0050048828125,0.125
0,949,949,-1.10515558719635,-0.6167506575584412,1766.072021484375,0.1171875
0,999,999,-1.0302691459655762,-0.5783889293670654,1633.9989013671875,0.1484375
1,0,1000,-2.223243236541748,-0.450961172580719,6408.5712890625,0.1328125
1,49,1049,-2.197842597961426,-0.43159061670303345,6386.76708984375,0.1015625
1,99,1099,-2.2038936614990234,-0.44305211305618286,6367.20263671875,0.1328125
1,149,1149,-2.170063018798828,-0.4139607548713684,6350.0654296875,0.1015625
1,199,1199,-2.1521921157836914,-0.4002614915370941,6334.9814453125,0.0859375
1,249,1249,-2.151352882385254,-0.4031093120574951,6321.6484375,0.1015625
1,299,1299,-2.143972873687744,-0.3990026116371155,6309.81201171875,0.1015625
1,349,1349,-2.1764719486236572,-0.43441569805145264,6299.275390625,0.140625
1,399,1399,-2.1783969402313232,-0.43894320726394653,6289.86474609375,0.1484375
1,449,1449,-2.1249122619628906,-0.38779258728027344,6281.42529296875,0.1015625
1,499,1499,-2.1218619346618652,-0.38684189319610596,6273.83203125,0.1015625
1,549,1549,-2.1348876953125,-0.401762455701828,6266.98046875,0.1171875
1,599,1599,-2.1079959869384766,-0.376583456993103,6260.787109375,0.0859375
1,649,1649,-2.1258368492126465,-0.3959774672985077,6255.17138671875,0.1171875
1,699,1699,-2.136425018310547,-0.40797775983810425,6250.0654296875,0.125
1,749,1749,-2.125016689300537,-0.3978569805622101,6245.40966796875,0.125
1,799,1799,-2.079984426498413,-0.35399967432022095,6241.1611328125,0.0859375
1,849,1849,-2.088449001312256,-0.36353862285614014,6237.275390625,0.09375
1,899,1899,-2.114051342010498,-0.3901267349720001,6233.7109375,0.125
1,949,1949,-2.1040754318237305,-0.381056010723114,6230.4375,0.1171875
1,999,1999,-2.1337194442749023,-0.4115327298641205,6227.42724609375,0.1484375
2,0,2000,-14.99632740020752,-13.736434936523438,4555.77099609375,0.1328125
2,49,2049,-12.52603530883789,-11.269841194152832,4542.39697265625,0.1015625
2,99,2099,-13.677738189697266,-12.42525577545166,4528.9755859375,0.1328125
2,149,2149,-10.851305961608887,-9.602537155151367,4515.548828125,0.1015625
2,199,2199,-10.149704933166504,-8.904595375061035,4502.314453125,0.0859375
2,249,2249,-9.768455505371094,-8.526910781860352,4489.42724609375,0.1015625
2,299,2299,-9.731559753417969,-8.493402481079102,4477.1806640625,0.1015625
2,349,2349,-11.922994613647461,-10.687997817993164,4465.74853515625,0.140625
2,399,2399,-12.170591354370117,-10.938450813293457,4455.419921875,0.1484375
