global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-14.570657730102539,-0.5771224498748779,50600.625,0.2578125
0,49,49,-4.186457633972168,-0.34541022777557373,13889.2265625,0.109375
0,99,99,-3.3452017307281494,-0.35595372319221497,10809.12109375,0.15625
0,149,149,-2.729947090148926,-0.16674214601516724,9268.548828125,0.0546875
0,199,199,-2.506450653076172,-0.1975613832473755,8348.943359375,0.078125
0,249,249,-2.339353084564209,-0.23418638110160828,7612.28271484375,0.1015625
0,299,299,-2.164841651916504,-0.1921166479587555,7133.3740234375,0.0859375
0,349,349,-2.108921527862549,-0.19716186821460724,6912.92236328125,0.0703125
0,399,399,-1.9820139408111572,-0.22229710221290588,6363.13623046875,0.078125
0,449,449,-1.9178643226623535,-0.30163252353668213,5844.2939453125,0.140625
0,499,499,-1.6727229356765747,-0.20263704657554626,5315.83056640625,0.0625
0,549,549,-1.578783631324768,-0.24354195594787598,4828.23388671875,0.1171875
0,599,599,-1.534660816192627,-0.2640502154827118,4594.52734375,0.1015625
0,649,649,-1.4169738292694092,-0.19186103343963623,4430.0078125,0.0703125
0,699,699,-1.4512627124786377,-0.29420483112335205,4183.9208984375,0.140625
0,749,749,-1.428241491317749,-0.29929786920547485,4082.260498046875,0.1484375
0,799,799,-1.298232913017273,-0.16334985196590424,4103.7373046875,0.078125
0,849,849,-1.2242977619171143,-0.19552576541900635,3720.03955078125,0.0859375
0,899,899,-1.227797269821167,-0.22032582759857178,3643.0166015625,0.109375
0,949,949,-1.135162115097046,-0.17938028275966644,3456.10693359375,0.0703125
0,999,999,-1.3291285037994385,-0.2508109211921692,3899.1962890625,0.125
1,0,1000,-1.8668944835662842,-0.30284807085990906,5655.591796875,0.125
1,49,1049,-6.777762413024902,-0.2724631428718567,23523.1640625,0.1171875
1,99,1099,-6.861137866973877,-0.35592007637023926,23522.8671875,0.140625
1,149,1149,-6.652703285217285,-0.1472819745540619,23523.603515625,0.0390625
1,199,1199,-6.7379350662231445,-0.23243635892868042,23523.8828125,0.0859375
1,249,1249,-6.755927085876465,-0.2509317398071289,23522.064453125,0.109375
1,299,1299,-6.730258941650391,-0.22473806142807007,23523.96484375,0.0859375
1,349,1349,-6.738665580749512,-0.2327701449394226,23525.31640625,0.0859375
1,399,1399,-6.77248477935791,-0.26731330156326294,23522.701171875,0.109375
1,449,1449,-6.84858512878418,-0.3433564305305481,23522.908203125,0.1484375
1,499,1499,-6.726296424865723,-0.22029933333396912,23525.685546875,0.078125
1,549,1549,-6.78841495513916,-0.28274887800216675,23524.48828125,0.109375
1,599,1599,-6.801079750061035,-0.2954487204551697,23524.361328125,0.1328125
1,649,1649,-6.731584548950195,-0.22651034593582153,23522.34765625,0.0859375
1,699,1699,-6.800857067108154,-0.29505452513694763,23524.982421875,0.1328125
1,749,1749,-6.847397327423096,-0.34134289622306824,23525.892578125,0.140625
1,799,1799,-6.705338954925537,-0.19997353851795197,23523.40234375,0.078125
1,849,1849,-6.701208114624023,-0.19454771280288696,23528.083984375,0.0703125
1,899,1899,-6.729681491851807,-0.22419589757919312,23523.8359375,0.09375
1,949,1949,-6.691500663757324,-0.1859908401966095,23523.923828125,0.0625
1,999,1999,-6.783141613006592,-0.27773135900497437,23523.5625,0.1171875
2,0,2000,-6.128373146057129,-0.28220266103744507,21139.75,0.1015625
2,49,2049,-1.9607234001159668,-0.29159146547317505,6035.5810546875,0.1171875
2,99,2099,-2.0566067695617676,-0.38747933506965637,6035.5654296875,0.15625
2,149,2149,-1.8232084512710571,-0.1542419046163559,6034.98291015625,0.0390625
2,199,2199,-1.904402256011963,-0.23529969155788422,6035.47509765625,0.0859375
2,249,2249,-1.9443897008895874,-0.275302529335022,6035.41943359375,0.109375
2,299,2299,-1.9156184196472168,-0.24662598967552185,6035.0771484375,0.0859375
2,349,2349,-1.9107487201690674,-0.24175502359867096,6035.0810546875,0.0859375
2,399,2399,-1.9131685495376587,-0.24425756931304932,6034.7822265625,0.1015625
2,449,2449,-2.0387308597564697,-0.3696547746658325,6035.37939453125,0.1484375
2,499,2499,-1.890940546989441,-0.2219543606042862,6035.05419921875,0.0703125
2,549,2549,-1.9718979597091675,-0.30288809537887573,6035.1396484375,0.109375
2,599,2599,-2.010324001312256,-0.3412800431251526,6035.2626953125,0.125
2,649,2649,-1.9157612323760986,-0.24681545794010162,6034.90771484375,0.09375
2,699,2699,-1.978344202041626,-0.3092693090438843,6035.375,0.140625
2,749,2749,-2.0400452613830566,-0.37086477875709534,6035.755859375,0.1640625
2,799,2799,-1.8820629119873047,-0.2130412459373474,6035.1826171875,0.0703125
2,849,2849,-1.8558216094970703,-0.18674370646476746,6035.3857421875,0.0703125
2,899,2899,-1.914229154586792,-0.24509775638580322,6035.5791015625,0.09375
2,949,2949,-1.861130714416504,-0.19203034043312073,6035.466796875,0.0625
2,999,2999,-1.9493186473846436,-0.2802402079105377,6035.3876953125,0.1171875
3,0,3000,-1.989553689956665,-0.2980112135410309,6116.6181640625,0.1171875
3,49,3049,-5.976688385009766,-0.27598172426223755,20613.75390625,0.109375
3,99,3099,-6.056419372558594,-0.35560548305511475,20614.14453125,0.140625
3,149,3149,-5.847856521606445,-0.14736013114452362,20612.99609375,0.0390625
3,199,3199,-5.935987949371338,-0.23478299379348755,20615.556640625,0.0859375
3,249,3249,-5.959253311157227,-0.25943848490715027,20610.529296875,0.1015625
3,299,3299,-5.922989845275879,-0.22229328751564026,20613.71875,0.09375
3,349,3349,-5.938595294952393,-0.23723378777503967,20616.123046875,0.0859375
3,399,3399,-5.962257385253906,-0.26107192039489746,20615.486328125,0.109375
3,449,3449,-6.035190105438232,-0.3349522650241852,20612.060546875,0.1484375
3,499,3499,-5.9164228439331055,-0.21596327424049377,20612.859375,0.078125
3,549,3549,-5.9831342697143555,-0.28238749504089355,20613.900390625,0.109375
3,599,3599,-6.001125812530518,-0.30034714937210083,20614.015625,0.1328125
3,649,3649,-5.928722381591797,-0.22778627276420593,20614.5859375,0.0859375
3,699,3699,-5.996040344238281,-0.29546552896499634,20613.28125,0.125
3,749,3749,-6.0397114753723145,-0.3391568660736084,20613.203125,0.140625
3,799,3799,-5.898425102233887,-0.19775724411010742,20613.6171875,0.078125
3,849,3849,-5.896818161010742,-0.1960117667913437,20614.115234375,0.0703125
3,899,3899,-5.928103446960449,-0.2272149622440338,20614.412109375,0.0859375
3,949,3949,-5.884737014770508,-0.18483957648277283,20610.830078125,0.0703125
3,999,3999,-5.984757423400879,-0.2840583920478821,20613.7265625,0.1171875
4,0,4000,-5.561854839324951,-0.2829427123069763,19088.546875,0.1015625
4,49,4049,-2.1441683769226074,-0.2897164523601532,6705.6982421875,0.109375
4,99,4099,-2.2386391162872314,-0.38419222831726074,6705.68017578125,0.15625
4,149,4149,-2.0086069107055664,-0.15411147475242615,6705.85498046875,0.0390625
4,199,4199,-2.0874905586242676,-0.23300716280937195,6705.8115234375,0.0859375
4,249,4249,-2.13154935836792,-0.27709025144577026,6705.7236328125,0.1171875
4,299,4299,-2.1009678840637207,-0.24651765823364258,6705.69140625,0.0859375
4,349,4349,-2.093395233154297,-0.23905694484710693,6705.287109375,0.078125
4,399,4399,-2.0912411212921143,-0.23676620423793793,6705.78125,0.1015625
4,449,4449,-2.216970443725586,-0.36248695850372314,6705.8115234375,0.1484375
4,499,4499,-2.077322483062744,-0.22279199957847595,6705.9814453125,0.0703125
4,549,4549,-2.1568236351013184,-0.3024385869503021,6705.4560546875,0.109375
4,599,4599,-2.199392557144165,-0.34496939182281494,6705.59375,0.125
4,649,4649,-2.095250129699707,-0.2408096045255661,6705.65625,0.09375
4,699,4699,-2.161533832550049,-0.3070516288280487,6705.8076171875,0.1328125
4,749,4749,-2.2237634658813477,-0.3692811131477356,6705.8076171875,0.15625
4,799,4799,-2.065716028213501,-0.211252823472023,6705.7392578125,0.0703125
4,849,4849,-2.0408809185028076,-0.18638761341571808,6705.84765625,0.0703125
4,899,4899,-2.100001335144043,-0.24576956033706665,6704.90283203125,0.1015625
4,949,4949,-2.0483572483062744,-0.193851500749588,6705.892578125,0.0625
4,999,4999,-2.1312365531921387,-0.27670955657958984,6705.96875,0.109375
5,0,5000,-2.154134511947632,-0.2947808504104614,6723.42333984375,0.1171875
5,49,5049,-5.401741027832031,-0.2818501591682434,18513.525390625,0.1171875
5,99,5099,-5.474729537963867,-0.35461169481277466,18514.34765625,0.140625
5,149,5149,-5.265712261199951,-0.14559194445610046,18514.35546875,0.0390625
5,199,5199,-5.354885101318359,-0.2348422110080719,18514.07421875,0.0859375
5,249,5249,-5.385502338409424,-0.2650998830795288,18515.375,0.1015625
5,299,5299,-5.342762470245361,-0.22245514392852783,18515.03125,0.09375
5,349,5349,-5.367227554321289,-0.24666079878807068,18515.96875,0.0859375
5,399,5399,-5.380188941955566,-0.2597942352294922,18515.34765625,0.109375
5,449,5449,-5.451300621032715,-0.3309324383735657,18515.25,0.1484375
5,499,5499,-5.337512969970703,-0.21753330528736115,18513.84765625,0.078125
5,549,5549,-5.407477855682373,-0.28732746839523315,18514.46484375,0.109375
5,599,5599,-5.434577941894531,-0.3140541613101959,18515.8125,0.1328125
5,649,5649,-5.350358963012695,-0.23010289669036865,18514.84375,0.09375
5,699,5699,-5.420660018920898,-0.30026179552078247,18515.359375,0.1328125
5,749,5749,-5.458105087280273,-0.337895929813385,18514.67578125,0.140625
5,799,5799,-5.319882392883301,-0.19922755658626556,18516.2890625,0.078125
5,849,5849,-5.318037986755371,-0.19777429103851318,18514.875,0.0703125
5,899,5899,-5.349942207336426,-0.22968292236328125,18514.857421875,0.0859375
5,949,5949,-5.30716609954834,-0.1870296150445938,18514.4140625,0.0703125
5,999,5999,-5.41457986831665,-0.29445433616638184,18514.375,0.1171875
