global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-147.94866943359375,-0.3173437714576721,53294.90625,0.0078125
0,49,49,-36.76435089111328,-0.2188531458377838,13192.92578125,0.0078125
0,99,99,-27.817440032958984,-0.16655755043029785,9981.96875,0.0078125
0,149,149,-24.318016052246094,-0.13146230578422546,8731.345703125,0.0
0,199,199,-21.482585906982422,-0.15585628151893616,7698.94921875,0.015625
0,249,249,-19.59036636352539,-0.13555116951465607,7023.1884765625,0.0078125
0,299,299,-18.07573699951172,-0.13520552217960358,6476.5322265625,0.0078125
0,349,349,-17.408897399902344,-0.11585225909948349,6242.7900390625,0.0
0,399,399,-15.73310661315918,-0.14885324239730835,5625.91552734375,0.015625
0,449,449,-13.910375595092773,-0.13204164803028107,4973.978515625,0.0078125
0,499,499,-12.62981128692627,-0.11578699201345444,4517.56298828125,0.0
0,549,549,-11.853670120239258,-0.14859765768051147,4225.53125,0.015625
0,599,599,-11.570497512817383,-0.1323983073234558,4129.154296875,0.0078125
0,649,649,-13.004484176635742,-0.13206148147583008,4646.94482421875,0.0078125
0,699,699,-10.925061225891113,-0.11607906967401505,3902.042724609375,0.0
0,749,749,-11.103947639465332,-0.14882361888885498,3954.7998046875,0.015625
0,799,799,-10.889554977416992,-0.13230812549591064,3883.3662109375,0.0078125
0,849,849,-11.432296752929688,-0.1316624879837036,4079.529052734375,0.0078125
0,899,899,-9.728161811828613,-0.11620593070983887,3469.916015625,0.0
0,949,949,-9.244470596313477,-0.1488424688577652,3283.521728515625,0.015625
0,999,999,-8.558714866638184,-0.13252075016498566,3041.856201171875,0.0078125
0,1049,1049,-8.548815727233887,-0.11498118191957474,3044.6142578125,0.0
0,1099,1099,-8.013696670532227,-0.14880269765853882,2839.22705078125,0.015625
0,1149,1149,-7.433484077453613,-0.14915227890014648,2629.64404296875,0.015625
0,1199,1199,-7.039525985717773,-0.13268937170505524,2493.3681640625,0.0078125
0,1249,1249,-6.4953413009643555,-0.11625197529792786,2302.85107421875,0.0
0,1299,1299,-5.847733497619629,-0.1489485800266266,2057.261474609375,0.015625
0,1349,1349,-5.806905746459961,-0.13270270824432373,2048.38720703125,0.0078125
0,1399,1399,-5.5333733558654785,-0.13269557058811188,1949.644775390625,0.0078125
0,1449,1449,-5.321425914764404,-0.11639563739299774,1879.0159912109375,0.0
0,1499,1499,-5.053956031799316,-0.14920802414417267,1770.614013671875,0.015625
0,1549,1549,-4.846858024597168,-0.13253986835479736,1701.868896484375,0.0078125
0,1599,1599,-4.52646541595459,-0.11632448434829712,1592.060791015625,0.0
0,1649,1649,-4.395052433013916,-0.13290083408355713,1538.63671875,0.0078125
0,1699,1699,-4.174651145935059,-0.14906884729862213,1453.2353515625,0.015625
0,1749,1749,-4.0580878257751465,-0.1328335702419281,1417.016845703125,0.0078125
0,1799,1799,-3.9241280555725098,-0.11635573208332062,1374.6058349609375,0.0
0,1849,1849,-3.801204204559326,-0.14951609075069427,1318.259521484375,0.015625
0,1899,1899,-3.679492473602295,-0.13252553343772888,1280.455078125,0.0078125
0,1949,1949,-3.593127727508545,-0.1328921616077423,1249.1451416015625,0.0078125
0,1999,1999,-3.3622829914093018,-0.11655326187610626,1171.70849609375,0.0
1,0,2000,-5.887889385223389,-0.27069535851478577,2027.80712890625,0.0234375
1,49,2049,-0.6273003816604614,-0.21373124420642853,149.29847717285156,0.0078125
1,99,2099,-0.42996537685394287,-0.20969392359256744,79.51799011230469,0.0078125
1,149,2149,-0.312288373708725,-0.19699397683143616,41.621280670166016,0.0
1,199,2199,-0.28557756543159485,-0.21353858709335327,26.006072998046875,0.015625
1,249,2249,-0.2855756878852844,-0.20406043529510498,29.427001953125,0.0078125
1,299,2299,-0.2755194306373596,-0.20813331007957458,24.326393127441406,0.0078125
1,349,2349,-0.25861817598342896,-0.19013017416000366,24.72417449951172,0.0
1,399,2399,-0.26343268156051636,-0.21452948451042175,17.65406036376953,0.015625
1,449,2449,-0.2509312033653259,-0.20263820886611938,17.43377685546875,0.0078125
1,499,2499,-0.25384098291397095,-0.19593200087547302,20.905136108398438,0.0
1,549,2549,-0.2715688943862915,-0.21308644115924835,21.112157821655273,0.015625
1,599,2599,-0.25539785623550415,-0.21274730563163757,15.396851539611816,0.0078125
1,649,2649,-0.2514007091522217,-0.203424334526062,17.31946563720703,0.0078125
1,699,2699,-0.24167121946811676,-0.19504472613334656,16.832164764404297,0.0
1,749,2749,-0.25546780228614807,-0.2156478762626648,14.374990463256836,0.015625
1,799,2799,-0.26128897070884705,-0.20170575380325317,21.50954246520996,0.0078125
1,849,2849,-0.24361565709114075,-0.20493322610855103,13.964357376098633,0.0078125
1,899,2899,-0.23116493225097656,-0.19251662492752075,13.952043533325195,0.0
1,949,2949,-0.2489071488380432,-0.21113227307796478,13.63672924041748,0.015625
1,999,2999,-0.24305200576782227,-0.20400872826576233,14.094623565673828,0.0078125
1,1049,3049,-0.23484107851982117,-0.19840219616889954,13.154437065124512,0.0
1,1099,3099,-0.25018954277038574,-0.21341174840927124,13.276785850524902,0.015625
1,1149,3149,-0.25180691480636597,-0.21732378005981445,12.448412895202637,0.015625
1,1199,3199,-0.24114221334457397,-0.20563563704490662,12.817876815795898,0.0078125
1,1249,3249,-0.23155423998832703,-0.19578826427459717,12.911519050598145,0.0
1,1299,3299,-0.24589677155017853,-0.21323062479496002,11.79248046875,0.015625
1,1349,3349,-0.23435011506080627,-0.19936025142669678,12.631340980529785,0.0078125
1,1399,3399,-0.24258935451507568,-0.20768466591835022,12.600594520568848,0.0078125
1,1449,3449,-0.22644194960594177,-0.19394399225711823,11.73176383972168,0.0
1,1499,3499,-0.24255011975765228,-0.21005196869373322,11.731831550598145,0.015625
1,1549,3549,-0.23683661222457886,-0.2036060392856598,11.996232986450195,0.0078125
1,1599,3599,-0.23098698258399963,-0.19894254207611084,11.56804370880127,0.0
1,1649,3649,-0.23330357670783997,-0.200921431183815,11.689953804016113,0.0078125
1,1699,3699,-0.24638155102729797,-0.21611467003822327,10.926344871520996,0.015625
1,1749,3749,-0.23668184876441956,-0.2053142488002777,11.32370376586914,0.0078125
1,1799,3799,-0.22297313809394836,-0.19117790460586548,11.4780855178833,0.0
1,1849,3849,-0.24463093280792236,-0.2146107256412506,10.837297439575195,0.015625
1,1899,3899,-0.2375493347644806,-0.2073550522327423,10.900139808654785,0.0078125
1,1949,3949,-0.23643669486045837,-0.20417112112045288,11.647872924804688,0.0078125
1,1999,3999,-0.2261553704738617,-0.19674152135849,10.618399620056152,0.0
