communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.43745657801628113,0.8857830166816711,-0.4394526481628418,0.8840964436531067
20,1,-0.3782576322555542,0.8805021047592163,-0.38156598806381226,0.876465380191803
40,2,-0.2786123752593994,0.8967042565345764,-0.2815247178077698,0.8947135806083679
60,3,-0.3033458888530731,0.8848982453346252,-0.3125401437282562,0.882437527179718
80,4,-0.2726147472858429,0.8920592665672302,-0.2792004346847534,0.8882990479469299
100,5,-0.28201812505722046,0.8890455365180969,-0.29508769512176514,0.8848705887794495
120,6,-0.3287840485572815,0.8871378302574158,-0.3480232059955597,0.882437527179718
140,7,-0.28237056732177734,0.8895155787467957,-0.2916353940963745,0.8849812150001526
160,8,-0.2942090630531311,0.8871930837631226,-0.3078945577144623,0.8854236006736755
180,9,-0.3155165910720825,0.8726775050163269,-0.322588175535202,0.868281364440918
