global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-6.841621398925781,-0.5409271717071533,43292.0703125,0.28125
0,49,49,-2.379202365875244,-0.25750595331192017,14578.1767578125,0.0703125
0,99,99,-1.9988622665405273,-0.276399701833725,11835.041015625,0.109375
0,149,149,-1.7139333486557007,-0.22689741849899292,10217.423828125,0.125
0,199,199,-1.6398786306381226,-0.2991020083427429,9212.4765625,0.140625
0,249,249,-1.4210155010223389,-0.2086026668548584,8330.490234375,0.09375
0,299,299,-1.4267293214797974,-0.27999383211135864,7879.2197265625,0.1484375
0,349,349,-1.3298267126083374,-0.27030885219573975,7279.947265625,0.1484375
0,399,399,-1.2597999572753906,-0.24368096888065338,6981.75390625,0.109375
0,449,449,-1.18107271194458,-0.25625431537628174,6354.42724609375,0.125
0,499,499,-1.0070254802703857,-0.14532089233398438,5920.7724609375,0.0546875
0,549,549,-1.0327746868133545,-0.2508450746536255,5372.638671875,0.125
0,599,599,-0.979678213596344,-0.24964576959609985,5016.052734375,0.1328125
0,649,649,-0.9594582319259644,-0.2508029341697693,4869.1708984375,0.0859375
0,699,699,-0.9363994002342224,-0.2644128203392029,4617.2197265625,0.1015625
0,749,749,-0.9440842866897583,-0.3046453595161438,4393.5849609375,0.09375
0,799,799,-0.9025833606719971,-0.27167683839797974,4334.95849609375,0.1171875
0,849,849,-0.8283916711807251,-0.23626363277435303,4068.51171875,0.09375
0,899,899,-0.7895297408103943,-0.20576423406600952,4011.052734375,0.109375
0,949,949,-0.8347724080085754,-0.26812875270843506,3893.40869140625,0.140625
0,999,999,-0.7335032224655151,-0.18219168484210968,3788.061767578125,0.0859375
1,0,1000,-1.640751600265503,-0.36608368158340454,8758.2431640625,0.1171875
1,49,1049,-4.22746467590332,-0.33867979049682617,26719.84375,0.125
1,99,1099,-4.233556270599365,-0.344698965549469,26720.33984375,0.09375
1,149,1149,-4.289667129516602,-0.40133267641067505,26716.74609375,0.1640625
1,199,1199,-4.340322017669678,-0.4505884051322937,26726.359375,0.1953125
1,249,1249,-4.2117109298706055,-0.32285580039024353,26720.32421875,0.109375
1,299,1299,-4.252843856811523,-0.3632708787918091,26725.255859375,0.125
1,349,1349,-4.277087688446045,-0.3879859745502472,26722.015625,0.125
1,399,1399,-4.233264923095703,-0.34475380182266235,26717.95703125,0.109375
1,449,1449,-4.264221668243408,-0.3751809298992157,26721.59765625,0.140625
1,499,1499,-4.185037612915039,-0.29492443799972534,26728.966796875,0.0859375
1,549,1549,-4.250588417053223,-0.3609035909175873,26726.02734375,0.1328125
1,599,1599,-4.239694118499756,-0.35046112537384033,26722.921875,0.125
1,649,1649,-4.252449989318848,-0.3639121651649475,26718.146484375,0.1328125
1,699,1699,-4.238490104675293,-0.34833866357803345,26729.232421875,0.125
1,749,1749,-4.245221138000488,-0.3562297523021698,26721.259765625,0.1171875
1,799,1799,-4.2585954666137695,-0.3696361482143402,26721.041015625,0.140625
1,849,1849,-4.204827308654785,-0.31550130248069763,26723.560546875,0.1171875
1,899,1899,-4.245774269104004,-0.356603741645813,26722.4921875,0.1171875
1,949,1949,-4.252561569213867,-0.3627820611000061,26726.67578125,0.140625
1,999,1999,-4.177977085113525,-0.2889411449432373,26721.56640625,0.1015625
2,0,2000,-4.124912261962891,-0.35119205713272095,25929.23046875,0.1171875
2,49,2049,-1.6210825443267822,-0.31744813919067383,8957.2724609375,0.109375
2,99,2099,-1.6353079080581665,-0.3315122723579407,8958.3798828125,0.125
2,149,2149,-1.6594563722610474,-0.35589340329170227,8956.78125,0.140625
2,199,2199,-1.7519659996032715,-0.4479149281978607,8960.1357421875,0.1953125
2,249,2249,-1.5899171829223633,-0.2866806089878082,8954.5380859375,0.1015625
2,299,2299,-1.658821940422058,-0.35502690076828003,8958.3759765625,0.1171875
2,349,2349,-1.667412281036377,-0.36416298151016235,8954.625,0.1328125
2,399,2399,-1.6585040092468262,-0.3548233211040497,8957.5908203125,0.1171875
2,449,2449,-1.6413328647613525,-0.33741605281829834,8959.212890625,0.1171875
2,499,2499,-1.5837678909301758,-0.2798634171485901,8959.126953125,0.0859375
2,549,2549,-1.6412749290466309,-0.3379152715206146,8955.384765625,0.1328125
2,599,2599,-1.6545155048370361,-0.35074806213378906,8958.185546875,0.109375
2,649,2649,-1.6670104265213013,-0.36321699619293213,8958.365234375,0.1484375
2,699,2699,-1.6568148136138916,-0.3532627522945404,8956.70703125,0.125
2,749,2749,-1.6750857830047607,-0.37166059017181396,8955.8349609375,0.1328125
2,799,2799,-1.6238023042678833,-0.32038989663124084,8955.74609375,0.1171875
2,849,2849,-1.6068787574768066,-0.3035062253475189,8955.4736328125,0.1015625
2,899,2899,-1.6279454231262207,-0.3241346478462219,8958.484375,0.125
2,949,2949,-1.648514986038208,-0.34505337476730347,8956.083984375,0.1171875
2,999,2999,-1.5829250812530518,-0.2793787121772766,8956.666015625,0.09375
