global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-1.4194693565368652,-0.5689078569412231,5844.20849609375,0.2578125
0,49,49,-1.1991500854492188,-0.4611818492412567,5070.580078125,0.171875
0,99,99,-1.093178391456604,-0.41393399238586426,4667.087890625,0.1015625
0,149,149,-1.0200988054275513,-0.3790777921676636,4404.455078125,0.109375
0,199,199,-0.9880174994468689,-0.3752724528312683,4210.17138671875,0.140625
0,249,249,-0.9213720560073853,-0.33181482553482056,4050.84765625,0.125
0,299,299,-0.8638542890548706,-0.29420939087867737,3914.0302734375,0.125
0,349,349,-0.8217312097549438,-0.26958054304122925,3793.8271484375,0.1015625
0,399,399,-0.8521561622619629,-0.3154608905315399,3687.633544921875,0.140625
0,449,449,-0.8060591220855713,-0.28334999084472656,3591.534423828125,0.1171875
0,499,499,-0.8214061856269836,-0.31138330698013306,3504.3671875,0.109375
0,549,549,-0.7309438586235046,-0.23276883363723755,3422.960693359375,0.1171875
0,599,599,-0.6942483186721802,-0.20706138014793396,3347.46142578125,0.0859375
0,649,649,-0.7257000207901001,-0.24895650148391724,3275.70458984375,0.109375
0,699,699,-0.6366803646087646,-0.16975685954093933,3208.2314453125,0.078125
0,749,749,-0.7095804214477539,-0.25210264325141907,3143.330078125,0.1015625
0,799,799,-0.7098056077957153,-0.26132696866989136,3081.49658203125,0.1171875
0,849,849,-0.6144177913665771,-0.1745857149362564,3022.086181640625,0.0625
0,899,899,-0.7102077007293701,-0.2787662744522095,2964.43408203125,0.125
0,949,949,-0.6341425776481628,-0.21091711521148682,2907.98193359375,0.078125
0,999,999,-0.5947709679603577,-0.17955747246742249,2852.931884765625,0.09375
1,0,1000,-6.652858734130859,-0.49906039237976074,42282.75,0.1875
1,49,1049,-5.021821975708008,-0.3250759243965149,32271.341796875,0.09375
1,99,1099,-3.9831624031066895,-0.34775015711784363,24978.91796875,0.1015625
1,149,1149,-3.2099127769470215,-0.37821298837661743,19456.609375,0.125
1,199,1199,-2.6299664974212646,-0.3840043544769287,15432.005859375,0.140625
1,249,1249,-2.2143726348876953,-0.3909226655960083,12528.923828125,0.140625
1,299,1299,-1.8598809242248535,-0.3551732003688812,10338.84765625,0.1015625
1,349,1349,-1.5815026760101318,-0.32633453607559204,8624.259765625,0.109375
1,399,1399,-1.495074987411499,-0.4412056803703308,7241.13671875,0.1875
1,449,1449,-1.306565523147583,-0.41541123390197754,6123.12109375,0.171875
1,499,1499,-1.1362004280090332,-0.37801361083984375,5209.501953125,0.1328125
1,549,1549,-1.0419186353683472,-0.3914235830307007,4469.5517578125,0.140625
1,599,1599,-0.853646993637085,-0.2916003465652466,3861.82275390625,0.078125
1,649,1649,-0.8162655830383301,-0.32789385318756104,3355.60205078125,0.1171875
1,699,1699,-0.6802605986595154,-0.2540896534919739,2928.220703125,0.0703125
1,749,1749,-0.7205888032913208,-0.346289724111557,2571.80908203125,0.1484375
1,799,1799,-0.6940301656723022,-0.3638570308685303,2268.61962890625,0.15625
1,849,1849,-0.5906481146812439,-0.2974597215652466,2014.497802734375,0.0859375
1,899,1899,-0.6187672019004822,-0.3573493957519531,1796.2017822265625,0.125
1,949,1949,-0.5776904821395874,-0.3439173698425293,1606.2548828125,0.140625
1,999,1999,-0.5264333486557007,-0.31716781854629517,1437.8636474609375,0.1171875
2,0,2000,-1.5357915163040161,-0.33970096707344055,8218.337890625,0.1328125
2,49,2049,-1.0468612909317017,-0.2910209000110626,5193.37939453125,0.1015625
2,99,2099,-0.8503210544586182,-0.2953476309776306,3813.222412109375,0.109375
2,149,2149,-0.7264075875282288,-0.2925657629966736,2980.927001953125,0.1171875
2,199,2199,-0.6619841456413269,-0.31089529395103455,2412.33154296875,0.125
2,249,2249,-0.6154011487960815,-0.3230818808078766,2008.52587890625,0.1328125
2,299,2299,-0.5172337293624878,-0.26819807291030884,1711.12451171875,0.09375
2,349,2349,-0.5274736881256104,-0.3112310469150543,1485.802978515625,0.1328125
2,399,2399,-0.5595239400863647,-0.3684850335121155,1312.62841796875,0.1953125
2,449,2449,-0.513542115688324,-0.3427889347076416,1173.2451171875,0.15625
