global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-16.13092803955078,-0.3734968304634094,5688.4326171875,0.0
0,49,49,-13.446549415588379,-0.3725965619087219,4719.697265625,0.015625
0,99,99,-12.042129516601562,-0.3540610671043396,4219.39306640625,0.0
0,149,149,-11.18177604675293,-0.3339884579181671,3916.05126953125,0.0
0,199,199,-10.595643997192383,-0.34156304597854614,3701.72314453125,0.0234375
0,249,249,-10.095854759216309,-0.30264416337013245,3535.34912109375,0.0
0,299,299,-9.700370788574219,-0.28780147433280945,3397.9375,0.0
0,349,349,-9.366277694702148,-0.28184688091278076,3279.479736328125,0.0078125
0,399,399,-9.071624755859375,-0.2795734405517578,3173.9306640625,0.0234375
0,449,449,-8.758665084838867,-0.23405206203460693,3077.38525390625,0.0
0,499,499,-8.493568420410156,-0.2180422991514206,2987.46484375,0.0
0,549,549,-8.273557662963867,-0.23460961878299713,2902.06005859375,0.0234375
0,599,599,-8.02177619934082,-0.2104305922985077,2819.89599609375,0.015625
0,649,649,-7.762616157531738,-0.17295700311660767,2739.866943359375,0.0
0,699,699,-7.5363287925720215,-0.16558820009231567,2660.83740234375,0.0
0,749,749,-7.347929954528809,-0.19541843235492706,2582.056640625,0.0234375
0,799,799,-7.077915191650391,-0.145517036318779,2502.595703125,0.0
0,849,849,-6.841246604919434,-0.13571935892105103,2420.695556640625,0.0
0,899,899,-6.616686820983887,-0.14642201364040375,2335.765625,0.0078125
0,949,949,-6.396045207977295,-0.16735336184501648,2248.557861328125,0.0234375
0,999,999,-6.11398983001709,-0.1156313493847847,2165.4072265625,0.0
1,0,1000,-98.64572143554688,-0.25717389583587646,35518.265625,0.0625
1,49,1049,-70.40861511230469,-0.27686065435409546,25317.56640625,0.0546875
1,99,1099,-51.838584899902344,-0.25005000829696655,18623.4609375,0.0625
1,149,1149,-39.968231201171875,-0.27725815773010254,14328.44140625,0.078125
1,199,1199,-31.55442237854004,-0.2981848418712616,11283.501953125,0.0625
1,249,1249,-25.3104248046875,-0.2418322116136551,9049.76171875,0.0234375
1,299,1299,-20.61572265625,-0.2674730718135834,7345.71875,0.0546875
1,349,1349,-16.959468841552734,-0.28585657477378845,6019.173828125,0.09375
1,399,1399,-14.09280776977539,-0.29463261365890503,4981.1416015625,0.09375
1,449,1449,-11.763422012329102,-0.24882546067237854,4156.76953125,0.0234375
1,499,1499,-9.936294555664062,-0.2672865688800812,3490.51220703125,0.03125
1,549,1549,-8.524303436279297,-0.33737272024154663,2955.48193359375,0.1171875
1,599,1599,-7.303572654724121,-0.3131253123283386,2523.551513671875,0.09375
