communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.6163310408592224,0.7509578466415405,-0.6115724444389343,0.7692307829856873
20,1,-0.6870384216308594,0.5498084425926208,-0.6751480102539062,0.5384615659713745
40,2,-0.6870419383049011,0.5498084425926208,-0.7096254229545593,0.5384615659713745
60,3,-0.6870244741439819,0.5498084425926208,-0.6923918724060059,0.5384615659713745
80,4,-0.6869733333587646,0.5498084425926208,-0.6923904418945312,0.5384615659713745
100,5,-0.6867576837539673,0.5498084425926208,-0.6742570400238037,0.5384615659713745
120,6,-0.6856595873832703,0.5498084425926208,-0.7140979170799255,0.5384615659713745
140,7,-0.6797791719436646,0.5498084425926208,-0.6937546730041504,0.5384615659713745
160,8,-0.6844488978385925,0.5498084425926208,-0.692531168460846,0.5384615659713745
180,9,-0.6760401129722595,0.5498084425926208,-0.6280744075775146,0.5384615659713745
200,10,-0.7113615274429321,0.45019155740737915,-0.6993539333343506,0.4615384638309479
