global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-609.3232421875,-0.5016303062438965,31658.72265625,0.1538461446762085
0,49,49,-262.4627685546875,-0.5918724536895752,13617.2861328125,0.1538461446762085
0,99,99,-231.47891235351562,-0.6146879196166992,12004.939453125,0.1538461446762085
0,149,149,-197.4855499267578,-0.6511450409889221,10235.388671875,0.17307692766189575
0,199,199,-181.24713134765625,-0.689234733581543,9389.009765625,0.5
0,249,249,-160.74354553222656,-0.6927850246429443,8322.638671875,0.5
0,299,299,-152.8046875,-0.6932889223098755,7909.7919921875,0.5
0,349,349,-138.93414306640625,-0.6932790875434875,7188.5244140625,0.5
0,399,399,-130.00827026367188,-0.6932345628738403,6724.3818359375,0.5
0,449,449,-128.29693603515625,-0.6932156085968018,6635.3935546875,0.5
0,499,499,-113.79730987548828,-0.6932828426361084,5881.4091796875,0.5
0,549,549,-109.28971862792969,-0.6932271122932434,5647.017578125,0.5
0,599,599,-137.22613525390625,-0.6932696104049683,7099.7080078125,0.5
0,649,649,-106.78421783447266,-0.6931865215301514,5516.7333984375,0.5
0,699,699,-104.79399871826172,-0.6931812763214111,5413.2421875,0.5
0,749,749,-107.16590118408203,-0.69334876537323,5536.572265625,0.5
0,799,799,-97.36666107177734,-0.6931631565093994,5027.02197265625,0.5
0,849,849,-101.56420135498047,-0.6931625008583069,5245.2939453125,0.5
0,899,899,-98.41094970703125,-0.6931533217430115,5081.3251953125,0.5
0,949,949,-97.03983306884766,-0.693151593208313,5010.02734375,0.5
0,999,999,-97.56898498535156,-0.6931505799293518,5037.54296875,0.5
1,0,1000,-16.255050659179688,-0.6937607526779175,809.1870727539062,0.5
1,49,1049,-0.9298547506332397,-0.693906307220459,12.269319534301758,0.5
1,99,1099,-0.8680821061134338,-0.693909764289856,9.056963920593262,0.5
1,149,1149,-0.8350244760513306,-0.6939095258712769,7.337980270385742,0.5
1,199,1199,-0.8079190254211426,-0.6939095258712769,5.928492546081543,0.5
1,249,1249,-0.7866392135620117,-0.6939095258712769,4.821944236755371,0.5
1,299,1299,-0.7702102661132812,-0.6939095258712769,3.967637062072754,0.5
1,349,1349,-0.7580227851867676,-0.6939095258712769,3.333889961242676,0.5
1,399,1399,-0.7499514818191528,-0.6939095258712769,2.914182662963867,0.5
1,449,1449,-0.742173433303833,-0.6939094662666321,2.5097274780273438,0.5
1,499,1499,-0.7409290075302124,-0.6939095258712769,2.445009231567383,0.5
1,549,1549,-0.7291381359100342,-0.6939095258712769,1.831888198852539,0.5
1,599,1599,-0.7273707389831543,-0.6939095258712769,1.739985466003418,0.5
1,649,1649,-0.7367537021636963,-0.6939095258712769,2.2278966903686523,0.5
1,699,1699,-0.7190935611724854,-0.6939095258712769,1.3095722198486328,0.5
1,749,1749,-0.7196871042251587,-0.6939095258712769,1.3404359817504883,0.5
1,799,1799,-0.7305840253829956,-0.6939095258712769,1.9070701599121094,0.5
1,849,1849,-0.7210168242454529,-0.6939095258712769,1.4095783233642578,0.5
1,899,1899,-0.7115232944488525,-0.6939095258712769,0.9159173965454102,0.5
1,949,1949,-0.7124959230422974,-0.6939096450805664,0.9664888381958008,0.5
1,999,1999,-0.711679995059967,-0.6939095258712769,0.9240655899047852,0.5
2,0,2000,-1.070500373840332,-0.6937600374221802,19.590496063232422,0.5
