global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-99.93588256835938,-0.6931394338607788,5160.62255859375,0.4038461446762085
0,49,49,-60.645904541015625,-0.6925209760665894,3117.575927734375,0.4038461446762085
0,99,99,-31.867305755615234,-0.6915783882141113,1621.1376953125,0.4038461446762085
0,149,149,-16.228199005126953,-0.6875833868980408,808.1119384765625,0.4038461446762085
0,199,199,-9.067743301391602,-0.6842377185821533,435.9422912597656,0.4038461446762085
0,249,249,-5.753653526306152,-0.6839148998260498,263.62640380859375,0.4038461446762085
0,299,299,-4.056056022644043,-0.6826175451278687,175.4187774658203,0.4038461446762085
0,349,349,-3.093554973602295,-0.6842688322067261,125.28288269042969,0.4038461446762085
0,399,399,-2.4933252334594727,-0.6808805465698242,94.24711608886719,0.4038461446762085
0,449,449,-2.1023736000061035,-0.6847435235977173,73.71676635742188,0.4038461446762085
0,499,499,-1.8249640464782715,-0.6824341416358948,59.411556243896484,0.4038461446762085
0,549,549,-1.6260432004928589,-0.6833667755126953,49.01917266845703,0.4038461446762085
0,599,599,-1.4775382280349731,-0.6848881244659424,41.217803955078125,0.4038461446762085
0,649,649,-1.3600887060165405,-0.683002233505249,35.20849609375,0.4038461446762085
0,699,699,-1.268646478652954,-0.6828224658966064,30.462844848632812,0.4038461446762085
0,749,749,-1.1942245960235596,-0.6817479133605957,26.64878273010254,0.4038461446762085
0,799,799,-1.134917974472046,-0.6823766231536865,23.532148361206055,0.4038461446762085
0,849,849,-1.0841398239135742,-0.6814258694648743,20.941129684448242,0.4038461446762085
0,899,899,-1.044098138809204,-0.6828903555870056,18.782808303833008,0.4038461446762085
0,949,949,-1.007965326309204,-0.6822080612182617,16.93937873840332,0.4038461446762085
0,999,999,-0.9791240692138672,-0.683540940284729,15.370319366455078,0.4038461446762085
1,0,1000,-12.21408462524414,-0.6748929023742676,600.0379638671875,0.4038461446762085
1,49,1049,-11.385786056518555,-0.6763400435447693,556.8911743164062,0.4038461446762085
1,99,1099,-11.114879608154297,-0.6777374744415283,542.7313232421875,0.4038461446762085
1,149,1149,-10.999995231628418,-0.6782940030097961,536.7284545898438,0.4038461446762085
1,199,1199,-10.939029693603516,-0.6788727045059204,533.5281982421875,0.4038461446762085
1,249,1249,-10.90098762512207,-0.6784238815307617,531.5733032226562,0.4038461446762085
1,299,1299,-10.876534461975098,-0.6789815425872803,530.272705078125,0.4038461446762085
1,349,1349,-10.858710289001465,-0.6788837313652039,529.3509521484375,0.4038461446762085
1,399,1399,-10.845547676086426,-0.6789169311523438,528.664794921875,0.4038461446762085
1,449,1449,-10.835598945617676,-0.6791963577270508,528.1329345703125,0.4038461446762085
1,499,1499,-10.827527046203613,-0.6793145537376404,527.70703125,0.4038461446762085
1,549,1549,-10.821492195129395,-0.6800049543380737,527.3572998046875,0.4038461446762085
1,599,1599,-10.815293312072754,-0.6794395446777344,527.0643920898438,0.4038461446762085
1,649,1649,-10.811395645141602,-0.6802939176559448,526.8172607421875,0.4038461446762085
1,699,1699,-10.807666778564453,-0.6805813908576965,526.6083984375,0.4038461446762085
1,749,1749,-10.804888725280762,-0.6811763048171997,526.4330444335938,0.4038461446762085
1,799,1799,-10.802413940429688,-0.6815609335899353,526.2843017578125,0.4038461446762085
1,849,1849,-10.801019668579102,-0.6825947761535645,526.1580810546875,0.4038461446762085
1,899,1899,-10.798929214477539,-0.6825627088546753,526.0510864257812,0.4038461446762085
1,949,1949,-10.796406745910645,-0.6817950010299683,525.9597778320312,0.4038461446762085
1,999,1999,-10.794740676879883,-0.681649923324585,525.8807373046875,0.4038461446762085
2,0,2000,-2.1713054180145264,-1.2613519430160522,47.31758117675781,0.5961538553237915
2,49,2049,-2.0552051067352295,-1.2376787662506104,42.51137161254883,0.5961538553237915
2,99,2099,-1.8118319511413574,-1.1527881622314453,34.27027130126953,0.5961538553237915
