global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-9.11454963684082,-0.6642141938209534,338.0133972167969,0.19626007974147797
0,49,49,-7.31211519241333,0.04052791744470596,294.105712890625,0.13254597783088684
0,99,99,-7.309145450592041,-0.1655728816986084,285.742919921875,0.17700567841529846
0,149,149,-6.511076927185059,0.42404845356941223,277.405029296875,0.13740648329257965
0,199,199,-6.261361122131348,0.5608909130096436,272.89007568359375,0.11897049099206924
0,249,249,-6.266290664672852,0.3280969560146332,263.7755126953125,0.1390114575624466
0,299,299,-5.814731597900391,0.6248040199279785,257.5814208984375,0.12105894088745117
0,349,349,-5.80760383605957,0.627634584903717,257.4095458984375,0.11588013917207718
0,399,399,-5.643556594848633,0.6378422975540161,251.25595092773438,0.12460986524820328
0,449,449,-5.5220561027526855,0.6716463565826416,247.74810791015625,0.1101648211479187
0,499,499,-5.566459655761719,0.5936957001686096,246.40621948242188,0.12131470441818237
0,549,549,-5.388665199279785,0.6366001963615417,241.0106201171875,0.11429490894079208
0,599,599,-5.386879920959473,0.5689746141433716,238.23419189453125,0.1304175853729248
0,649,649,-5.225541591644287,0.679063081741333,236.18418884277344,0.11201948672533035
0,699,699,-5.20405387878418,0.6037041544914246,232.31031799316406,0.1191154345870018
0,749,749,-5.153473854064941,0.6087207794189453,230.48779296875,0.1266213208436966
0,799,799,-5.0255231857299805,0.6038210391998291,225.17376708984375,0.12447521090507507
0,849,849,-4.923779487609863,0.6571861505508423,223.23863220214844,0.11907840520143509
0,899,899,-4.889571189880371,0.6651276350021362,222.1879425048828,0.11336078494787216
0,949,949,-4.746502876281738,0.6800292134284973,217.061279296875,0.11139431595802307
0,999,999,-4.696222305297852,0.7194904088973999,216.62852478027344,0.11338122189044952
1,0,1000,-4.590527534484863,0.7585936784744263,213.96484375,0.11077304184436798
1,49,1049,-4.421652793884277,0.7107729911804199,205.29702758789062,0.11407549679279327
1,99,1099,-4.299245834350586,0.7516909837722778,202.0374755859375,0.10953652113676071
1,149,1149,-4.212342739105225,0.7231813669204712,197.42095947265625,0.11335233598947525
1,199,1199,-4.284643173217773,0.6781958937644958,198.51356506347656,0.10920361429452896
1,249,1249,-4.0168352127075195,0.7679511308670044,191.39144897460938,0.10886747390031815
1,299,1299,-3.9446325302124023,0.7399067282676697,187.38157653808594,0.11342398822307587
1,349,1349,-3.88291335105896,0.648564338684082,181.2591094970703,0.12035906314849854
1,399,1399,-3.829921245574951,0.6748248338699341,180.18984985351562,0.11529338359832764
1,449,1449,-3.6753151416778564,0.7415547966957092,176.6748046875,0.11012163758277893
1,499,1499,-3.5564513206481934,0.7836235761642456,173.60299682617188,0.10723671317100525
1,549,1549,-3.501206398010254,0.7563071846961975,170.30055236816406,0.10819428414106369
1,599,1599,-3.5276987552642822,0.6589829921722412,167.46726989746094,0.1165904700756073
1,649,1649,-3.356800079345703,0.7114316821098328,162.72927856445312,0.1151258647441864
1,699,1699,-3.2754523754119873,0.7182472944259644,159.74798583984375,0.11404743045568466
1,749,1749,-3.305220603942871,0.6701178550720215,159.0135498046875,0.1135944053530693
1,799,1799,-3.190469264984131,0.7184631824493408,156.3572998046875,0.11435585469007492
1,849,1849,-3.108872652053833,0.7291474342346191,153.52081298828125,0.11355162411928177
1,899,1899,-3.037827491760254,0.7696340680122375,152.2984619140625,0.10925444960594177
1,949,1949,-2.9679269790649414,0.7179479002952576,147.43499755859375,0.11216647177934647
1,999,1999,-3.0051121711730957,0.6563220024108887,146.45736694335938,0.11927925050258636
