global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-257.1124267578125,-59.285301208496094,7913.08447265625,1.3843791484832764
0,49,49,-171.32603454589844,-55.521156311035156,4632.1953125,1.3405708074569702
0,99,99,-74.66822052001953,-22.834928512573242,2073.331787109375,0.8686083555221558
0,149,149,-51.4731559753418,-26.048919677734375,1016.9693603515625,0.9158066511154175
0,199,199,-39.705657958984375,-23.49835968017578,648.2919921875,0.8545412421226501
0,249,249,-37.71860885620117,-24.922487258911133,511.84490966796875,0.8981657028198242
0,299,299,-21.900806427001953,-11.035070419311523,434.62939453125,0.5970313549041748
0,349,349,-16.685495376586914,-6.72339391708374,398.48406982421875,0.46040600538253784
0,399,399,-41.45174789428711,-31.933561325073242,380.7274475097656,1.013075351715088
0,449,449,-19.7084903717041,-10.362103462219238,373.8554992675781,0.5896493196487427
0,499,499,-16.074546813964844,-7.470252990722656,344.1717529296875,0.5073931217193604
0,549,549,-16.24652862548828,-7.463717460632324,351.3124694824219,0.4939132630825043
0,599,599,-22.95560073852539,-14.979530334472656,319.04278564453125,0.706447184085846
0,649,649,-17.299116134643555,-9.295429229736328,320.14752197265625,0.5419803857803345
0,699,699,-16.700532913208008,-8.61430549621582,323.4490966796875,0.5499358773231506
0,749,749,-13.562228202819824,-5.555149078369141,320.2831726074219,0.41484886407852173
0,799,799,-14.364197731018066,-6.736656188964844,305.1016540527344,0.43001627922058105
0,849,849,-12.288191795349121,-4.873537063598633,296.5862121582031,0.4246954917907715
0,899,899,-12.203513145446777,-4.972198486328125,289.2525634765625,0.4289551079273224
0,949,949,-12.706462860107422,-5.399920463562012,292.26171875,0.4227345287799835
0,999,999,-15.854077339172363,-8.93664836883545,276.6971435546875,0.4963143467903137
2,0,2000,-8.138422012329102,-0.20266827940940857,317.4301452636719,0.20423363149166107
2,49,2049,-10.420207977294922,-2.95540714263916,298.592041015625,0.22744080424308777
2,99,2099,-8.37474536895752,-1.086681604385376,291.5225524902344,0.23784109950065613
2,149,2149,-8.073802947998047,-1.0103976726531982,282.53619384765625,0.23828059434890747
2,199,2199,-10.620124816894531,-3.506659746170044,284.53857421875,0.32707688212394714
2,249,2249,-9.343025207519531,-2.270871639251709,282.88616943359375,0.2876757085323334
2,299,2299,-20.228418350219727,-13.280997276306152,277.8968505859375,0.6626023650169373
2,349,2349,-10.87881088256836,-3.9870007038116455,275.67242431640625,0.26814815402030945
2,399,2399,-8.532147407531738,-1.6464660167694092,275.42724609375,0.2329930067062378
2,449,2449,-7.188126564025879,-0.443548321723938,269.7831115722656,0.20268332958221436
2,499,2499,-7.3270769119262695,-0.4696742296218872,274.2961120605469,0.21467940509319305
2,549,2549,-7.401121139526367,-0.702967643737793,267.9261474609375,0.21577733755111694
2,599,2599,-7.065141677856445,-0.26500946283340454,272.0052795410156,0.2004653364419937
2,649,2649,-8.439640998840332,-1.6782103776931763,270.45721435546875,0.2666151821613312
2,699,2699,-7.87320613861084,-1.0928956270217896,271.21240234375,0.2632129192352295
2,749,2749,-8.714111328125,-1.957568645477295,270.26171875,0.3108467757701874
2,799,2799,-11.436127662658691,-4.70184326171875,269.37139892578125,0.3794121742248535
2,849,2849,-7.79979133605957,-0.949532151222229,274.0103759765625,0.24094754457473755
2,899,2899,-9.963693618774414,-3.3524935245513916,264.447998046875,0.2678646147251129
2,949,2949,-7.65891170501709,-0.9557439088821411,268.126708984375,0.2146337330341339
2,999,2999,-8.326690673828125,-1.736554741859436,263.60546875,0.27033764123916626
