global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-59.04058074951172,-58.94432830810547,3.8501696586608887,1.3802993297576904
0,49,49,-58.878440856933594,-58.77820587158203,4.009462356567383,1.3784574270248413
0,99,99,-50.04304504394531,-49.78709411621094,10.238080024719238,1.2708799839019775
0,149,149,-26.400287628173828,-25.59341049194336,32.2750244140625,0.9205304980278015
0,199,199,-25.37738037109375,-24.47833251953125,35.961891174316406,0.8974901437759399
0,249,249,-24.423845291137695,-23.488452911376953,37.41572952270508,0.8782416582107544
0,299,299,-23.321989059448242,-22.302831649780273,40.766326904296875,0.861589789390564
0,349,349,-23.199604034423828,-22.140064239501953,42.381568908691406,0.8593232035636902
0,399,399,-21.73633575439453,-20.625656127929688,44.42720031738281,0.8309841752052307
0,449,449,-21.307737350463867,-20.126815795898438,47.23687744140625,0.8092276453971863
0,499,499,-21.506542205810547,-20.26642608642578,49.604637145996094,0.8023874163627625
0,549,549,-20.189376831054688,-18.89358901977539,51.831520080566406,0.7869361639022827
0,599,599,-18.628324508666992,-17.306377410888672,52.87791442871094,0.7640880942344666
0,649,649,-17.020620346069336,-15.629772186279297,55.63389587402344,0.7267307639122009
0,699,699,-10.0393648147583,-8.314539909362793,68.99301147460938,0.5364389419555664
0,749,749,-5.848933696746826,-3.8922038078308105,78.26919555664062,0.39712750911712646
0,799,799,-6.176208019256592,-4.28536319732666,75.6337890625,0.39987367391586304
0,849,849,-6.70330286026001,-4.829927444458008,74.93500518798828,0.3915861248970032
0,899,899,-5.918730735778809,-4.096075057983398,72.90623474121094,0.39762547612190247
0,949,949,-6.30568790435791,-4.497891426086426,72.31185150146484,0.4081609547138214
0,999,999,-6.986542701721191,-5.169582366943359,72.67842864990234,0.405301034450531
2,0,2000,-4.844578266143799,-2.746335029602051,83.92971801757812,0.32724717259407043
2,49,2049,-4.415782928466797,-2.277557849884033,85.52899932861328,0.31752848625183105
2,99,2099,-5.427066802978516,-3.239281177520752,87.51142883300781,0.3347887396812439
2,149,2149,-5.302515983581543,-3.0910935401916504,88.4569091796875,0.3663444519042969
2,199,2199,-6.066750526428223,-3.8338241577148438,89.31704711914062,0.2975631058216095
2,249,2249,-4.691305160522461,-2.4403021335601807,90.04011535644531,0.2875024676322937
2,299,2299,-6.304671764373779,-4.033751487731934,90.8368148803711,0.36798715591430664
2,349,2349,-6.2521467208862305,-3.965629816055298,91.46067810058594,0.35428959131240845
2,399,2399,-4.575018882751465,-2.273833751678467,92.04742431640625,0.32394853234291077
2,449,2449,-5.077362060546875,-2.7876200675964355,91.58969116210938,0.2975173592567444
2,499,2499,-4.528879642486572,-2.2398366928100586,91.56172180175781,0.31765100359916687
2,549,2549,-4.066118240356445,-1.7727446556091309,91.73493194580078,0.2910865545272827
2,599,2599,-5.10499906539917,-2.805004358291626,91.99978637695312,0.2963745892047882
2,649,2649,-5.433770179748535,-3.139618158340454,91.76609802246094,0.32143378257751465
2,699,2699,-4.3292741775512695,-2.022956371307373,92.25272369384766,0.28297144174575806
2,749,2749,-4.625734329223633,-2.337266206741333,91.53872680664062,0.3313494622707367
2,799,2799,-5.307257652282715,-3.019348621368408,91.51636505126953,0.288783997297287
2,849,2849,-4.364905834197998,-2.0790281295776367,91.43511199951172,0.2859261631965637
2,899,2899,-4.462078094482422,-2.169015884399414,91.72248840332031,0.3241683542728424
2,949,2949,-5.291064262390137,-2.9931223392486572,91.91767120361328,0.34556034207344055
2,999,2999,-4.815781116485596,-2.5193939208984375,91.85549926757812,0.3398198187351227
