x_tr,y_tr
-3.0074868,-1.1689368
-2.4635563,-0.721051
-3.8230453,-2.274401
-3.735939,-2.1558836
-3.3851542,-1.6500661
-2.7318425,-0.94118047
-3.019813,-1.0377095
-2.2071104,-0.38971084
-3.0887442,-1.0853181
-2.7353873,-0.8484059
-3.3022132,-1.6625106
-3.1965654,-1.371525
-3.9553485,-2.6625001
-3.662282,-2.100281
-3.412223,-1.8666062
-2.9629564,-0.87689203
-2.6046648,-0.7158027
-2.3999772,-0.6369117
-3.677941,-2.1603806
-3.435463,-1.7717657
-2.636783,-0.69462335
-2.169612,-0.23449904
-3.2058,-1.3189564
-2.2516882,-0.553588
-3.1611834,-1.3376553
-2.894186,-0.9310052
-2.094524,-0.4912299
-3.9276705,-2.54301
-3.629538,-1.9008473
-3.2531652,-1.4954131
-3.3898,-1.5039887
-2.1359992,-0.36394215
-3.6481795,-2.0689125
-3.4603329,-1.4491394
-3.6986403,-2.3606129
-3.936561,-2.5666926
-3.5837405,-2.063423
-2.1404018,-0.53201354
-2.5537815,-0.69483596
-2.5153275,-0.578541
3.499315,1.9420925
3.2093015,1.3760567
2.2199159,0.55106163
2.4241805,0.36558262
3.9407492,2.5654614
3.6738179,2.2536335
2.5639749,1.042026
2.7483153,0.99533105
2.047402,0.40771648
2.9820259,1.2516668
2.246941,0.3322479
2.2286434,0.46933764
2.9449005,1.4114548
3.150145,1.4676636
2.5904698,0.797973
3.5933776,2.0136425
2.391461,0.46962178
3.90737,2.3266957
3.6852999,2.3056273
2.156717,0.44274983
2.7511158,0.6710393
3.0451226,1.124788
3.1459012,1.2887142
3.2371743,1.3838845
3.3924284,1.6303515
3.0599003,1.1573739
2.5120711,0.46873516
3.4731889,1.7138644
2.040751,0.49284893
2.4072933,0.60208523
2.74967,1.0707119
2.5128865,0.764405
2.6501665,0.6454138
2.1803784,0.344294
2.7872849,1.0940765
3.2137566,1.4278672
2.348534,0.6276506
2.9486806,0.9508716
3.7158508,2.0036998
2.8971996,0.8701082
