communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7010421752929688,0.7085967063903809,-0.7017470002174377,0.705876350402832
2,1,-0.47121235728263855,0.7615233063697815,-0.47366949915885925,0.7574734091758728
4,2,-0.42158079147338867,0.7615233063697815,-0.43008241057395935,0.7574734091758728
6,3,-0.3983322083950043,0.7615233063697815,-0.40197229385375977,0.7574734091758728
8,4,-0.3893361985683441,0.7615233063697815,-0.39689987897872925,0.7574734091758728
10,5,-0.38135385513305664,0.7615233063697815,-0.38492849469184875,0.7574734091758728
12,6,-0.3748833239078522,0.7615233063697815,-0.3771519958972931,0.7574734091758728
14,7,-0.36428818106651306,0.8327489495277405,-0.36730363965034485,0.8261670470237732
16,8,-0.3588354289531708,0.8437027931213379,-0.3644706606864929,0.837837815284729
18,9,-0.357403963804245,0.8466716408729553,-0.3628535568714142,0.8422399759292603
20,10,-0.3513765335083008,0.8499987125396729,-0.3569965064525604,0.8445945978164673
