global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-33.944297790527344,-33.83354949951172,4327.3828125,0.703125
0,49,49,-11.83692741394043,-11.726186752319336,4326.92529296875,0.33984375
0,99,99,-22.477476119995117,-22.366687774658203,4328.845703125,0.546875
0,149,149,-20.72075653076172,-20.60992431640625,4330.537109375,0.48828125
0,199,199,-18.300121307373047,-18.18922996520996,4332.82373046875,0.44140625
0,249,249,-16.942184448242188,-16.83131217956543,4332.0771484375,0.37109375
0,299,299,-17.30221939086914,-17.191329956054688,4332.736328125,0.4375
0,349,349,-20.824237823486328,-20.71332359313965,4333.7666015625,0.484375
0,399,399,-12.709543228149414,-12.598560333251953,4336.43798828125,0.33203125
0,449,449,-18.441190719604492,-18.330204010009766,4336.5400390625,0.39453125
0,499,499,-12.724252700805664,-12.613249778747559,4337.236328125,0.3359375
0,549,549,-12.948799133300781,-12.837745666503906,4339.18359375,0.41015625
0,599,599,-17.42955207824707,-17.31848907470703,4339.5703125,0.37109375
0,649,649,-18.656169891357422,-18.5450382232666,4342.2060546875,0.5078125
0,699,699,-11.244075775146484,-11.132946014404297,4342.2099609375,0.30078125
0,749,749,-13.135902404785156,-13.02471923828125,4344.24072265625,0.34765625
0,799,799,-16.81853675842285,-16.70734405517578,4344.6845703125,0.34375
0,849,849,-12.833794593811035,-12.722551345825195,4346.6171875,0.359375
0,899,899,-19.314254760742188,-19.20302391052246,4346.181640625,0.46484375
0,949,949,-12.997004508972168,-12.885713577270508,4348.4501953125,0.33984375
0,999,999,-12.226566314697266,-12.115262985229492,4348.98876953125,0.3515625
0,1049,1049,-12.799041748046875,-12.687688827514648,4350.8984375,0.40625
0,1099,1099,-14.873411178588867,-14.762078285217285,4350.1025390625,0.44921875
0,1149,1149,-18.932842254638672,-18.82145881652832,4352.0458984375,0.4296875
0,1199,1199,-13.579217910766602,-13.467854499816895,4351.306640625,0.32421875
0,1249,1249,-15.204323768615723,-15.092909812927246,4353.2900390625,0.5234375
0,1299,1299,-10.570392608642578,-10.459014892578125,4351.83447265625,0.3984375
0,1349,1349,-9.032425880432129,-8.921011924743652,4353.283203125,0.29296875
0,1399,1399,-17.91500473022461,-17.803571701049805,4353.978515625,0.3671875
0,1449,1449,-14.588216781616211,-14.47674560546875,4355.5478515625,0.3828125
0,1499,1499,-12.163700103759766,-12.05223274230957,4355.35791015625,0.34765625
0,1549,1549,-8.4129056930542,-8.301430702209473,4355.6611328125,0.28515625
0,1599,1599,-7.997642993927002,-7.886147499084473,4356.47607421875,0.296875
0,1649,1649,-14.120033264160156,-14.0084867477417,4358.4287109375,0.3984375
0,1699,1699,-13.327383041381836,-13.215813636779785,4359.3603515625,0.3359375
0,1749,1749,-9.698753356933594,-9.587249755859375,4356.77783203125,0.2734375
0,1799,1799,-15.152554512023926,-15.040994644165039,4358.97705078125,0.44140625
0,1849,1849,-9.782581329345703,-9.671052932739258,4357.755859375,0.37109375
0,1899,1899,-10.178783416748047,-10.067237854003906,4358.4140625,0.296875
0,1949,1949,-8.820329666137695,-8.70880126953125,4357.7421875,0.29296875
0,1999,1999,-8.800698280334473,-8.689136505126953,4359.0517578125,0.3984375
0,2049,2049,-14.599493026733398,-14.487932205200195,4359.0009765625,0.51171875
0,2099,2099,-10.943363189697266,-10.831819534301758,4358.3466796875,0.265625
0,2149,2149,-8.900588035583496,-8.789023399353027,4359.1787109375,0.34375
0,2199,2199,-12.169027328491211,-12.05744743347168,4359.71533203125,0.39453125
0,2249,2249,-14.86790657043457,-14.756303787231445,4360.6669921875,0.4375
0,2299,2299,-7.919106960296631,-7.80751371383667,4360.28515625,0.28125
0,2349,2349,-11.117598533630371,-11.006048202514648,4358.59130859375,0.29296875
0,2399,2399,-9.88802433013916,-9.776442527770996,4359.84814453125,0.3671875
0,2449,2449,-8.421268463134766,-8.30965805053711,4360.966796875,0.28125
0,2499,2499,-14.812719345092773,-14.701114654541016,4360.69580078125,0.3515625
0,2549,2549,-8.127448081970215,-8.01584243774414,4360.7373046875,0.25390625
0,2599,2599,-12.762800216674805,-12.651205062866211,4360.3193359375,0.42578125
0,2649,2649,-8.321954727172852,-8.210331916809082,4361.4296875,0.29296875
0,2699,2699,-7.119388580322266,-7.0077738761901855,4361.1240234375,0.3125
0,2749,2749,-8.884129524230957,-8.772518157958984,4361.01904296875,0.32421875
0,2799,2799,-11.562322616577148,-11.450706481933594,4361.17236328125,0.33984375
0,2849,2849,-10.595097541809082,-10.483490943908691,4360.802734375,0.34375
0,2899,2899,-8.596510887145996,-8.484903335571289,4360.8720703125,0.40234375
0,2949,2949,-9.404117584228516,-9.292479515075684,4362.0322265625,0.359375
0,2999,2999,-6.135952472686768,-6.024265289306641,4363.9501953125,0.24609375
0,3049,3049,-10.080184936523438,-9.96841812133789,4367.07421875,0.38671875
0,3099,3099,-9.203914642333984,-9.09205436706543,4370.689453125,0.3203125
0,3149,3149,-7.434504985809326,-7.322561264038086,4373.9658203125,0.328125
0,3199,3199,-7.2850341796875,-7.1729536056518555,4379.3388671875,0.35546875
0,3249,3249,-5.6142578125,-5.501858711242676,4391.7509765625,0.2578125
0,3299,3299,-5.228957176208496,-5.115854740142822,4419.2509765625,0.26171875
0,3349,3349,-5.364612579345703,-5.250901222229004,4443.05078125,0.25
0,3399,3399,-5.420890808105469,-5.3052802085876465,4517.2392578125,0.3671875
0,3449,3449,-6.717629432678223,-6.594691276550293,4803.57421875,0.35546875
0,3499,3499,-2.9869813919067383,-2.8475112915039062,5449.5107421875,0.24609375
0,3549,3549,-2.780977249145508,-2.6117873191833496,6610.75830078125,0.31640625
0,3599,3599,-2.6998767852783203,-2.520294666290283,7016.806640625,0.58203125
0,3649,3649,-2.3114686012268066,-2.135348081588745,6881.5615234375,0.5546875
0,3699,3699,-1.2506089210510254,-1.064324975013733,7278.6728515625,0.53515625
0,3749,3749,-4.255861282348633,-4.079304218292236,6898.607421875,0.7421875
0,3799,3799,-2.158381938934326,-1.9661365747451782,7511.599609375,0.26171875
0,3849,3849,-2.0029780864715576,-1.8116470575332642,7475.8779296875,0.2421875
0,3899,3899,-1.984023094177246,-1.7808547019958496,7938.400390625,0.25
0,3949,3949,-2.0934033393859863,-1.9057700634002686,7331.39501953125,0.23828125
0,3999,3999,-3.0547876358032227,-2.8492181301116943,8032.2216796875,0.6796875
0,4049,4049,-2.3218822479248047,-2.133371114730835,7365.6875,0.24609375
0,4099,4099,-2.0492866039276123,-1.8372280597686768,8285.763671875,0.25
0,4149,4149,-2.0558838844299316,-1.8659846782684326,7419.92529296875,0.23046875
0,4199,4199,-1.2404214143753052,-1.0558725595474243,7210.8779296875,0.20703125
0,4249,4249,-1.9451310634613037,-1.7354716062545776,8192.0234375,0.24609375
0,4299,4299,-1.801600694656372,-1.601237416267395,7828.791015625,0.234375
0,4349,4349,-2.0250613689422607,-1.8355658054351807,7404.1591796875,0.1875
0,4399,4399,-1.67998468875885,-1.4861176013946533,7574.9658203125,0.23828125
0,4449,4449,-0.9015766382217407,-0.7121745347976685,7400.5107421875,0.24609375
0,4499,4499,-1.3874704837799072,-1.2030421495437622,7206.169921875,0.2265625
0,4549,4549,-1.29276704788208,-1.0967566967010498,7658.716796875,0.22265625
0,4599,4599,-4.032835006713867,-3.847768545150757,7231.09375,0.32421875
0,4649,4649,-3.4058918952941895,-3.209929943084717,7656.8115234375,0.703125
0,4699,4699,-1.219423532485962,-1.0422345399856567,6923.30419921875,0.2578125
0,4749,4749,-4.067970275878906,-3.876974105834961,7462.791015625,0.76953125
0,4799,4799,-1.3817040920257568,-1.1914153099060059,7435.15380859375,0.2578125
0,4849,4849,-1.6908764839172363,-1.5104877948760986,7048.3212890625,0.22265625
0,4899,4899,-2.1734910011291504,-1.9895415306091309,7187.4599609375,0.2109375
0,4949,4949,-1.3574304580688477,-1.1762917041778564,7077.6357421875,0.24609375
0,4999,4999,-2.6543166637420654,-2.472580909729004,7100.951171875,0.79296875
0,5049,5049,-1.9341391324996948,-1.751354455947876,7141.9453125,0.2265625
0,5099,5099,-1.3687596321105957,-1.1965935230255127,6727.044921875,0.26171875
0,5149,5149,-1.6359164714813232,-1.4529328346252441,7149.72265625,0.2265625
0,5199,5199,-1.1516700983047485,-0.979137659072876,6741.361328125,0.24609375
0,5249,5249,-1.4949374198913574,-1.3167296648025513,6963.11328125,0.26171875
0,5299,5299,-0.951567530632019,-0.7686816453933716,7145.8984375,0.25
0,5349,5349,-1.0892212390899658,-0.9280507564544678,6297.412109375,0.23046875
0,5399,5399,-2.7831554412841797,-2.607970714569092,6844.9931640625,0.3359375
0,5449,5449,-1.5900083780288696,-1.4138169288635254,6884.328125,0.2421875
0,5499,5499,-1.3337554931640625,-1.1586823463439941,6840.63525390625,0.296875
0,5549,5549,-2.747058153152466,-2.5855324268341064,6311.2890625,0.70703125
0,5599,5599,-2.588972568511963,-2.425967216491699,6369.0966796875,0.765625
0,5649,5649,-1.2115075588226318,-1.0396753549575806,6714.00244140625,0.2578125
0,5699,5699,-2.934051990509033,-2.769566059112549,6426.95703125,0.24609375
0,5749,5749,-1.8832793235778809,-1.729576587677002,6005.630859375,0.69140625
0,5799,5799,-3.9341278076171875,-3.766819715499878,6537.220703125,0.74609375
0,5849,5849,-1.3917608261108398,-1.2217596769332886,6642.4541015625,0.71484375
0,5899,5899,-2.7505736351013184,-2.5850679874420166,6466.7958984375,0.7421875
0,5949,5949,-1.5095680952072144,-1.3473927974700928,6336.6728515625,0.2734375
0,5999,5999,-2.4436497688293457,-2.283322334289551,6264.4755859375,0.26171875
0,6049,6049,-2.244382858276367,-2.082746982574463,6315.595703125,0.26171875
0,6099,6099,-0.956544041633606,-0.7999756336212158,6117.59765625,0.26171875
0,6149,6149,-1.3417689800262451,-1.1724036931991577,6617.609375,0.74609375
0,6199,6199,-1.1772396564483643,-1.0231927633285522,6019.0771484375,0.234375
0,6249,6249,-0.7123793363571167,-0.5502218008041382,6335.982421875,0.22265625
0,6299,6299,-1.1283503770828247,-0.9595282673835754,6596.384765625,0.69921875
0,6349,6349,-1.4460548162460327,-1.2840734720230103,6329.0986328125,0.7265625
0,6399,6399,-1.1524302959442139,-0.9951612949371338,6144.96826171875,0.19140625
0,6449,6449,-1.1448379755020142,-0.9768308401107788,6564.54345703125,0.67578125
0,6499,6499,-1.2115442752838135,-1.0524826049804688,6215.0146484375,0.69921875
0,6549,6549,-1.1369770765304565,-0.9791938066482544,6165.06494140625,0.23828125
0,6599,6599,-2.128865957260132,-1.970657229423523,6181.6865234375,0.76171875
0,6649,6649,-0.9610457420349121,-0.8006395697593689,6267.5517578125,0.23828125
0,6699,6699,-1.0498058795928955,-0.891632616519928,6180.3017578125,0.23828125
0,6749,6749,-1.0097814798355103,-0.8537057638168335,6098.345703125,0.2578125
0,6799,6799,-1.297337293624878,-1.1441564559936523,5985.234375,0.25
0,6849,6849,-0.9091407060623169,-0.74726402759552,6325.00732421875,0.24609375
0,6899,6899,-1.3392236232757568,-1.1815611124038696,6160.34912109375,0.7578125
0,6949,6949,-1.0933611392974854,-0.9393720626831055,6016.81640625,0.23828125
0,6999,6999,-0.8057998418807983,-0.6526420712471008,5984.33544921875,0.25
0,7049,7049,-0.7885958552360535,-0.6353507041931152,5987.7470703125,0.26171875
0,7099,7099,-1.0358195304870605,-0.8751219511032104,6278.9365234375,0.21484375
0,7149,7149,-0.847281277179718,-0.6937490105628967,5998.96533203125,0.2421875
0,7199,7199,-0.7887691855430603,-0.6327431797981262,6096.40380859375,0.2265625
0,7249,7249,-0.7843684554100037,-0.6253668069839478,6212.6708984375,0.18359375
0,7299,7299,-0.8360302448272705,-0.6810187101364136,6056.765625,0.22265625
0,7349,7349,-0.8022839426994324,-0.6470073461532593,6067.123046875,0.21484375
0,7399,7399,-1.114997148513794,-0.9599474668502808,6058.25537109375,0.21875
0,7449,7449,-0.9602936506271362,-0.8106220960617065,5848.11865234375,0.22265625
0,7499,7499,-0.9033833742141724,-0.7504144906997681,5976.953125,0.65234375
0,7549,7549,-0.7652881145477295,-0.6091734766960144,6099.86865234375,0.2421875
0,7599,7599,-0.7620024681091309,-0.6104223132133484,5922.69140625,0.25
0,7649,7649,-1.2541460990905762,-1.1008834838867188,5988.4326171875,0.765625
0,7699,7699,-1.3062260150909424,-1.1556096076965332,5885.03076171875,0.2578125
0,7749,7749,-0.8868584632873535,-0.7343193292617798,5960.16162109375,0.21484375
0,7799,7799,-0.7427058219909668,-0.5899839401245117,5967.3017578125,0.21875
0,7849,7849,-0.7297652959823608,-0.580040693283081,5850.1875,0.25
0,7899,7899,-1.0570118427276611,-0.9081145524978638,5817.8623046875,0.20703125
0,7949,7949,-0.7625240087509155,-0.6130275726318359,5841.27490234375,0.21875
0,7999,7999,-0.8435784578323364,-0.6988482475280762,5655.04443359375,0.26953125
0,8049,8049,-0.6749247908592224,-0.5284600257873535,5722.8193359375,0.21484375
0,8099,8099,-0.9053540825843811,-0.7542781829833984,5902.98828125,0.25
0,8149,8149,-0.925123393535614,-0.7767610549926758,5796.9609375,0.265625
0,8199,8199,-1.039318561553955,-0.8914819955825806,5776.421875,0.2421875
0,8249,8249,-0.7545826435089111,-0.6096322536468506,5663.6474609375,0.21875
0,8299,8299,-1.0503387451171875,-0.8943092226982117,6096.541015625,0.3359375
0,8349,8349,-0.7237223386764526,-0.5730820894241333,5885.9677734375,0.2421875
0,8399,8399,-0.9259650707244873,-0.7787566184997559,5751.8759765625,0.2890625
0,8449,8449,-0.7193655967712402,-0.5753218531608582,5628.22265625,0.22265625
0,8499,8499,-0.6861706972122192,-0.5408604741096497,5677.70751953125,0.19921875
0,8549,8549,-0.8784258365631104,-0.7262113094329834,5947.47509765625,0.25390625
0,8599,8599,-0.8996318578720093,-0.7485308051109314,5903.970703125,0.23046875
0,8649,8649,-0.857011079788208,-0.7132083177566528,5618.8046875,0.2421875
0,8699,8699,-0.745979905128479,-0.6022450923919678,5616.150390625,0.25390625
0,8749,8749,-0.884743332862854,-0.743399441242218,5522.72802734375,0.2578125
0,8799,8799,-0.7381942868232727,-0.5957801342010498,5564.548828125,0.22265625
0,8849,8849,-0.7893974781036377,-0.6471927165985107,5556.36328125,0.2734375
0,8899,8899,-0.8825403451919556,-0.7393997311592102,5592.93359375,0.24609375
0,8949,8949,-0.7219749689102173,-0.5760180950164795,5702.9736328125,0.25390625
0,8999,8999,-0.7936493158340454,-0.6456409692764282,5783.13134765625,0.2578125
0,9049,9049,-0.808587908744812,-0.6617012023925781,5739.3017578125,0.2421875
0,9099,9099,-0.7021745443344116,-0.5610131025314331,5515.60107421875,0.2265625
0,9149,9149,-0.7243845462799072,-0.5812059640884399,5594.416015625,0.21875
0,9199,9199,-1.0433354377746582,-0.9000078439712524,5600.240234375,0.3046875
0,9249,9249,-0.9431166648864746,-0.8022236227989197,5505.11376953125,0.25390625
0,9299,9299,-0.6640231609344482,-0.5233936309814453,5494.8203125,0.1953125
0,9349,9349,-0.7635329961776733,-0.6196833848953247,5620.63671875,0.265625
0,9399,9399,-0.7515336275100708,-0.6084433794021606,5590.9658203125,0.27734375
0,9449,9449,-0.7441428899765015,-0.6023966073989868,5538.4541015625,0.23828125
0,9499,9499,-0.6956666707992554,-0.5482975244522095,5758.15283203125,0.234375
0,9549,9549,-0.7539563179016113,-0.6096121072769165,5639.962890625,0.20703125
0,9599,9599,-0.7094672918319702,-0.5697112083435059,5460.6884765625,0.2421875
0,9649,9649,-0.831206202507019,-0.6878941655158997,5599.6328125,0.25390625
0,9699,9699,-0.8323765993118286,-0.6896456480026245,5576.927734375,0.234375
0,9749,9749,-0.7902044653892517,-0.6493212580680847,5504.72900390625,0.2421875
0,9799,9799,-0.6964209079742432,-0.5527447462081909,5613.86083984375,0.23828125
0,9849,9849,-0.7280013561248779,-0.5852715969085693,5576.8798828125,0.23828125
0,9899,9899,-0.7285482883453369,-0.5876467823982239,5505.44482421875,0.24609375
