communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7087599635124207,0.45015740394592285,-0.7089425325393677,0.4521908164024353
2,1,-0.31609347462654114,0.8581117391586304,-0.32330501079559326,0.8540130853652954
4,2,-0.31551432609558105,0.857958197593689,-0.3268245458602905,0.8522727489471436
6,3,-0.3153116703033447,0.8579325675964355,-0.3233868181705475,0.854832112789154
8,4,-0.3146308660507202,0.8579069972038269,-0.3284565210342407,0.8526822328567505
10,5,-0.31373628973960876,0.8584444522857666,-0.32222411036491394,0.8537060022354126
12,6,-0.31447717547416687,0.8576254844665527,-0.32203978300094604,0.854320228099823
14,7,-0.31411272287368774,0.8585212230682373,-0.32380738854408264,0.852477490901947
16,8,-0.3136395514011383,0.8578557968139648,-0.32300710678100586,0.852886974811554
18,9,-0.3134751617908478,0.8579069972038269,-0.32336440682411194,0.8525798320770264
20,10,-0.313398152589798,0.8590074777603149,-0.32290494441986084,0.8537060022354126
