global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
9,0,90000,-7.975648880004883,-0.6941442489624023,28448.83984375,0.5625
9,49,90049,-7.884483337402344,-0.6790039539337158,28151.80859375,0.1875
9,99,90099,-7.801159858703613,-0.6747692227363586,27842.810546875,0.21875
9,149,90149,-7.732481002807617,-0.6869223117828369,27527.0,0.33203125
9,199,90199,-7.643194198608398,-0.680212140083313,27204.37109375,0.26171875
9,249,90249,-7.548023223876953,-0.6693772077560425,26874.873046875,0.15234375
9,299,90299,-7.466773986816406,-0.6744592785835266,26537.576171875,0.1796875
9,349,90349,-7.384730815887451,-0.6807208061218262,26192.568359375,0.234375
9,399,90399,-7.278050899505615,-0.6644216775894165,25839.451171875,0.1953125
9,449,90449,-7.178421497344971,-0.6573010683059692,25478.01953125,0.2890625
9,499,90499,-7.0693159103393555,-0.6428740620613098,25108.109375,0.1484375
9,549,90549,-6.982442855834961,-0.6529553532600403,24729.310546875,0.1796875
9,599,90599,-6.888563632965088,-0.6583075523376465,24341.611328125,0.20703125
9,649,90649,-6.7790045738220215,-0.6502580046653748,23945.013671875,0.1953125
9,699,90699,-6.665672302246094,-0.6408628821372986,23538.931640625,0.21875
9,749,90749,-6.558756351470947,-0.6402315497398376,23123.677734375,0.25390625
9,799,90799,-6.417196273803711,-0.6072819828987122,22699.337890625,0.234375
9,849,90849,-6.321237564086914,-0.62223219871521,22266.013671875,0.17578125
9,899,90899,-6.182839870452881,-0.5969595909118652,21824.03515625,0.16015625
9,949,90949,-6.0540452003479,-0.5834325551986694,21373.68359375,0.15625
9,999,90999,-5.942934989929199,-0.5897070169448853,20915.0625,0.22265625
9,1049,91049,-5.806928634643555,-0.5730733275413513,20448.67578125,0.24609375
9,1099,91099,-5.673266410827637,-0.5604883432388306,19975.623046875,0.21484375
9,1149,91149,-5.514263153076172,-0.5241486430168152,19496.376953125,0.1484375
9,1199,91199,-5.426148414611816,-0.560077428817749,19011.7421875,0.171875
9,1249,91249,-5.255350112915039,-0.5145957469940186,18522.12890625,0.2421875
9,1299,91299,-5.1598711013793945,-0.5454237461090088,18028.6484375,0.14453125
9,1349,91349,-4.975032806396484,-0.4876789152622223,17532.091796875,0.25
9,1399,91399,-4.8304443359375,-0.47063207626342773,17033.787109375,0.1484375
9,1449,91449,-4.716855049133301,-0.48487627506256104,16534.341796875,0.26171875
9,1499,91499,-4.549534797668457,-0.4454362392425537,16034.712890625,0.1875
9,1549,91549,-4.4140305519104,-0.437569797039032,15536.033203125,0.22265625
9,1599,91599,-4.291518211364746,-0.44220542907714844,15039.2646484375,0.23828125
9,1649,91649,-4.170266151428223,-0.44733500480651855,14545.4931640625,0.21875
9,1699,91699,-3.9911603927612305,-0.3936538100242615,14055.458984375,0.2421875
9,1749,91749,-3.9222865104675293,-0.4489574432373047,13570.2978515625,0.25390625
9,1799,91799,-3.7639355659484863,-0.4133230447769165,13090.84375,0.1484375
9,1849,91849,-3.611053466796875,-0.3814932703971863,12617.892578125,0.19140625
9,1899,91899,-3.545309543609619,-0.43488001823425293,12152.44921875,0.26953125
9,1949,91949,-3.3839111328125,-0.390571266412735,11694.9794921875,0.1484375
9,1999,91999,-3.2483816146850586,-0.36985334753990173,11246.41015625,0.171875
9,2049,92049,-3.1584038734436035,-0.39228007197380066,10807.24609375,0.2578125
9,2099,92099,-3.025880813598633,-0.36955803632736206,10378.25390625,0.234375
9,2149,92149,-2.911189079284668,-0.3619454503059387,9959.8955078125,0.17578125
9,2199,92199,-2.8653135299682617,-0.4203360080718994,9552.52734375,0.2421875
9,2249,92249,-2.714322328567505,-0.3707265853881836,9156.4287109375,0.23046875
9,2299,92299,-2.6571593284606934,-0.4119924306869507,8771.8671875,0.1796875
9,2349,92349,-2.503986358642578,-0.3542267978191376,8399.111328125,0.16796875
9,2399,92399,-2.415395736694336,-0.35796183347702026,8038.39404296875,0.2265625
9,2449,92449,-2.341066837310791,-0.37288951873779297,7689.6689453125,0.265625
9,2499,92499,-2.2496891021728516,-0.3676632344722748,7353.076171875,0.18359375
9,2549,92549,-2.181412696838379,-0.38248342275619507,7028.4169921875,0.171875
9,2599,92599,-2.083127021789551,-0.3642394542694092,6715.69384765625,0.16796875
9,2649,92649,-2.0325002670288086,-0.3906596302986145,6414.67138671875,0.15625
9,2699,92699,-1.9404525756835938,-0.3726693093776703,6125.32958984375,0.1875
9,2749,92749,-1.8439326286315918,-0.34726446866989136,5847.482421875,0.14453125
9,2799,92799,-1.8173022270202637,-0.38887351751327515,5580.87109375,0.25390625
9,2849,92849,-1.7212722301483154,-0.358273983001709,5325.234375,0.1484375
9,2899,92899,-1.6534202098846436,-0.35308021306991577,5080.42822265625,0.23828125
9,2949,92949,-1.605033278465271,-0.3646966516971588,4845.99560546875,0.26171875
9,2999,92999,-1.521188735961914,-0.3382273316383362,4621.83056640625,0.14453125
9,3049,93049,-1.4433066844940186,-0.315185546875,4407.5693359375,0.12890625
9,3099,93099,-1.472454309463501,-0.39673393964767456,4202.83984375,0.20703125
9,3149,93149,-1.387153148651123,-0.3614453673362732,4007.4404296875,0.140625
9,3199,93199,-1.3380948305130005,-0.3600904941558838,3821.0634765625,0.16015625
9,3249,93249,-1.2635891437530518,-0.331065833568573,3643.368896484375,0.2265625
9,3299,93299,-1.2214184999465942,-0.33223217725753784,3474.051025390625,0.13671875
9,3349,93349,-1.2262942790985107,-0.3783830404281616,3312.789306640625,0.18359375
9,3399,93399,-1.1668095588684082,-0.3581855297088623,3159.29443359375,0.21875
9,3449,93449,-1.1089935302734375,-0.3377547860145569,3013.230224609375,0.15625
9,3499,93499,-1.0840898752212524,-0.34841006994247437,2874.30126953125,0.265625
9,3549,93549,-1.0422911643981934,-0.34041985869407654,2742.21142578125,0.2421875
9,3599,93599,-1.0417405366897583,-0.3719927668571472,2616.70458984375,0.171875
9,3649,93649,-1.0176938772201538,-0.3784758448600769,2497.4248046875,0.19140625
9,3699,93699,-0.984255313873291,-0.3740338683128357,2384.13525390625,0.16015625
9,3749,93749,-0.9509276747703552,-0.3682447075843811,2276.54248046875,0.1640625
9,3799,93799,-0.9026097655296326,-0.34608882665634155,2174.327392578125,0.15625
9,3849,93849,-0.8797765970230103,-0.3480972647666931,2077.271240234375,0.16796875
9,3899,93899,-0.8462855815887451,-0.3381892442703247,1985.132568359375,0.16796875
9,3949,93949,-0.8184797167778015,-0.3327762484550476,1897.6435546875,0.23828125
9,3999,93999,-0.8138395547866821,-0.34940338134765625,1814.55224609375,0.2421875
9,4049,94049,-0.7883466482162476,-0.34411895275115967,1735.59765625,0.1640625
9,4099,94099,-0.7854835987091064,-0.3604506850242615,1660.603759765625,0.16796875
9,4149,94149,-0.7546427249908447,-0.3478524088859558,1589.329833984375,0.15625
9,4199,94199,-0.7085581421852112,-0.31910839676856995,1521.5802001953125,0.1171875
9,4249,94249,-0.7694923281669617,-0.3965185284614563,1457.2088623046875,0.17578125
9,4299,94299,-0.7236827611923218,-0.3663748502731323,1396.0020751953125,0.2265625
9,4349,94349,-0.6658735275268555,-0.3234632909297943,1337.7967529296875,0.140625
9,4399,94399,-0.6725054979324341,-0.3442766070365906,1282.390625,0.265625
9,4449,94449,-0.6345553398132324,-0.31981679797172546,1229.6837158203125,0.2421875
9,4499,94499,-0.6250442266464233,-0.32315510511398315,1179.4808349609375,0.1328125
9,4549,94549,-0.6588618159294128,-0.3692079782485962,1131.6776123046875,0.18359375
9,4599,94599,-0.643992006778717,-0.36598774790763855,1086.1627197265625,0.24609375
9,4649,94649,-0.6255667209625244,-0.35866448283195496,1042.7869873046875,0.16015625
9,4699,94699,-0.5942294597625732,-0.3379141092300415,1001.4240112304688,0.23046875
9,4749,94749,-0.5743075609207153,-0.3280896246433258,961.9733276367188,0.12890625
9,4799,94799,-0.6229908466339111,-0.3863946199417114,924.3816528320312,0.28125
9,4849,94849,-0.6156249046325684,-0.388203501701355,888.5355834960938,0.1484375
9,4899,94899,-0.537104606628418,-0.3184479773044586,854.2913208007812,0.16015625
9,4949,94949,-0.5429111123085022,-0.33262544870376587,821.586181640625,0.14453125
9,4999,94999,-0.5554219484329224,-0.3531309962272644,790.350830078125,0.140625
9,5049,95049,-0.5589420795440674,-0.364290714263916,760.5029296875,0.2421875
9,5099,95099,-0.5119222402572632,-0.3245611786842346,732.0197143554688,0.1484375
9,5149,95149,-0.5519046187400818,-0.371504008769989,704.8251953125,0.1640625
9,5199,95199,-0.5027090311050415,-0.3289612829685211,678.8324584960938,0.140625
9,5249,95249,-0.5174672603607178,-0.3500767648220062,653.994873046875,0.15234375
9,5299,95299,-0.5131073594093323,-0.3517993688583374,630.2304077148438,0.2421875
9,5349,95349,-0.4827601909637451,-0.3272673189640045,607.5106811523438,0.16796875
9,5399,95399,-0.4796019494533539,-0.32968172430992126,585.73828125,0.24609375
9,5449,95449,-0.5210057497024536,-0.37641289830207825,564.9244384765625,0.25390625
9,5499,95499,-0.49020230770111084,-0.35071009397506714,544.9962158203125,0.1640625
9,5549,95549,-0.5173581838607788,-0.3827452063560486,525.9328002929688,0.1640625
9,5599,95599,-0.4520811438560486,-0.3221484422683716,507.64715576171875,0.140625
9,5649,95649,-0.4249153137207031,-0.299460232257843,490.1531677246094,0.109375
9,5699,95699,-0.5270686149597168,-0.40590375661849976,473.39093017578125,0.1796875
9,5749,95749,-0.4851575493812561,-0.36810654401779175,457.31842041015625,0.16796875
9,5799,95799,-0.43987205624580383,-0.3267631232738495,441.9165954589844,0.1640625
9,5849,95849,-0.44631022214889526,-0.33697932958602905,427.15582275390625,0.16015625
9,5899,95899,-0.41841810941696167,-0.31270354986190796,413.0267639160156,0.15625
9,5949,95949,-0.43351519107818604,-0.331268846988678,399.4764709472656,0.14453125
9,5999,95999,-0.4925757050514221,-0.393654465675354,386.4852600097656,0.20703125
9,6049,96049,-0.4446489214897156,-0.3489139676094055,374.0364685058594,0.12890625
9,6099,96099,-0.45475825667381287,-0.3620646595954895,362.1539001464844,0.234375
9,6149,96149,-0.4127407968044281,-0.32297858595848083,350.7009582519531,0.22265625
9,6199,96199,-0.4178657531738281,-0.33092427253723145,339.6805114746094,0.13671875
9,6249,96249,-0.45781511068344116,-0.37356889247894287,329.14996337890625,0.171875
9,6299,96299,-0.4692656993865967,-0.3876217305660248,318.9830322265625,0.13671875
9,6349,96349,-0.42722994089126587,-0.3480910658836365,309.195556640625,0.21484375
9,6399,96399,-0.40739530324935913,-0.3306533098220825,299.83099365234375,0.15234375
9,6449,96449,-0.433234304189682,-0.3587959110736847,290.83074951171875,0.2578125
9,6499,96499,-0.43644917011260986,-0.36422157287597656,282.19329833984375,0.171875
9,6549,96549,-0.39830073714256287,-0.32820984721183777,273.8450622558594,0.1484375
9,6599,96599,-0.44569528102874756,-0.3776471018791199,265.8642578125,0.1640625
9,6649,96649,-0.40207862854003906,-0.33600276708602905,258.1584777832031,0.14453125
9,6699,96699,-0.4087108373641968,-0.3445311486721039,250.75006103515625,0.1640625
9,6749,96749,-0.4225581884384155,-0.3601963520050049,243.64781188964844,0.140625
9,6799,96799,-0.38269901275634766,-0.32210031151771545,236.7590789794922,0.21875
9,6849,96849,-0.3646317422389984,-0.3057292699813843,230.13194274902344,0.23046875
9,6899,96899,-0.44046083092689514,-0.38319215178489685,223.74876403808594,0.20703125
9,6949,96949,-0.40311747789382935,-0.34742075204849243,217.6070098876953,0.1328125
9,6999,96999,-0.4310093820095062,-0.37682852149009705,211.68460083007812,0.16015625
9,7049,97049,-0.38810640573501587,-0.3353862762451172,205.97760009765625,0.15234375
9,7099,97099,-0.3330202102661133,-0.28169798851013184,200.51577758789062,0.17578125
9,7149,97149,-0.43622732162475586,-0.3862583041191101,195.22894287109375,0.1796875
9,7199,97199,-0.4225449860095978,-0.3738929331302643,190.0835418701172,0.16015625
9,7249,97249,-0.384127140045166,-0.33674296736717224,185.12994384765625,0.15625
9,7299,97299,-0.38919681310653687,-0.34304189682006836,180.32720947265625,0.15625
9,7349,97349,-0.3680480420589447,-0.3230823874473572,175.68084716796875,0.234375
