global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
7,0,70000,-1.3149652481079102,-0.683873176574707,4684.59716796875,0.296875
7,49,70049,-1.2899718284606934,-0.6786255240440369,4538.02392578125,0.2265625
7,99,70099,-1.2700666189193726,-0.6785106062889099,4391.1201171875,0.2421875
7,149,70149,-1.2539782524108887,-0.6818552017211914,4246.86962890625,0.28125
7,199,70199,-1.2340753078460693,-0.6809927225112915,4105.5322265625,0.25
7,249,70249,-1.2071051597595215,-0.6727414727210999,3966.5810546875,0.26171875
7,299,70299,-1.192840576171875,-0.6768028736114502,3830.547607421875,0.29296875
7,349,70349,-1.1716845035552979,-0.673619270324707,3697.1376953125,0.24609375
7,399,70399,-1.153613805770874,-0.6731361150741577,3566.586181640625,0.2265625
7,449,70449,-1.1277953386306763,-0.6645443439483643,3438.7119140625,0.265625
7,499,70499,-1.1023330688476562,-0.655943751335144,3313.5478515625,0.2265625
7,549,70549,-1.1003913879394531,-0.6705159544944763,3190.965576171875,0.2890625
7,599,70599,-1.076078176498413,-0.6623331308364868,3071.229736328125,0.25390625
7,649,70649,-1.0408135652542114,-0.6428383588790894,2954.170166015625,0.21484375
7,699,70699,-1.0311248302459717,-0.6485535502433777,2839.8271484375,0.28515625
7,749,70749,-1.0117440223693848,-0.6442350149154663,2728.01904296875,0.2578125
7,799,70799,-1.007024884223938,-0.6542240381240845,2618.840576171875,0.26953125
7,849,70849,-0.9685907959938049,-0.6300907135009766,2512.686279296875,0.23828125
7,899,70899,-0.9644374847412109,-0.6399163007736206,2408.920654296875,0.2890625
7,949,70949,-0.9380742311477661,-0.6271481513977051,2308.00390625,0.2421875
7,999,70999,-0.9104453921318054,-0.6127617359161377,2209.7060546875,0.2421875
7,1049,71049,-0.8943476676940918,-0.6094685792922974,2114.65771484375,0.25390625
7,1099,71099,-0.8764493465423584,-0.6040213108062744,2022.2332763671875,0.2734375
7,1149,71149,-0.8503544926643372,-0.5899683833122253,1932.8460693359375,0.25390625
7,1199,71199,-0.8300467729568481,-0.5813124179840088,1846.35498046875,0.22265625
7,1249,71249,-0.8152197003364563,-0.5777063369750977,1763.0616455078125,0.24609375
7,1299,71299,-0.7814492583274841,-0.5547642111778259,1682.683349609375,0.24609375
7,1349,71349,-0.7450159788131714,-0.5287303924560547,1605.48779296875,0.21484375
7,1399,71399,-0.742575466632843,-0.5362430214881897,1531.6055908203125,0.265625
7,1449,71449,-0.7453078031539917,-0.5485156774520874,1460.787841796875,0.30078125
7,1499,71499,-0.7098257541656494,-0.5221201181411743,1393.338623046875,0.22265625
7,1549,71549,-0.6688292026519775,-0.48976853489875793,1329.16748046875,0.23046875
7,1599,71599,-0.6830068230628967,-0.5121806859970093,1268.04248046875,0.28515625
7,1649,71649,-0.6528704166412354,-0.48986732959747314,1209.9720458984375,0.25
7,1699,71699,-0.6458699703216553,-0.490273118019104,1154.995361328125,0.265625
7,1749,71749,-0.640201210975647,-0.491617888212204,1102.93408203125,0.28515625
7,1799,71799,-0.6107704043388367,-0.468814492225647,1053.7386474609375,0.25
7,1849,71849,-0.5763239860534668,-0.4406515955924988,1007.0960083007812,0.21875
7,1899,71899,-0.5891468524932861,-0.4594092071056366,963.0425415039062,0.26171875
7,1949,71949,-0.5784426331520081,-0.4542972147464752,921.5314331054688,0.24609375
7,1999,71999,-0.5881962776184082,-0.4693474769592285,882.2146606445312,0.28125
7,2049,72049,-0.5433924794197083,-0.42952847480773926,845.21240234375,0.26953125
7,2099,72099,-0.5243522524833679,-0.41519105434417725,810.3037719726562,0.234375
7,2149,72149,-0.5368596315383911,-0.4321673810482025,777.130615234375,0.265625
7,2199,72199,-0.5504077672958374,-0.44992494583129883,745.8836059570312,0.28515625
7,2249,72249,-0.5629007816314697,-0.46640250086784363,716.3064575195312,0.28515625
7,2299,72299,-0.47108352184295654,-0.3783499598503113,688.3612060546875,0.21484375
7,2349,72349,-0.5152676105499268,-0.42610985040664673,661.8179931640625,0.27734375
7,2399,72399,-0.49233561754226685,-0.40656226873397827,636.6956787109375,0.2265625
7,2449,72449,-0.47112396359443665,-0.3885568380355835,612.8958129882812,0.26171875
7,2499,72499,-0.45937544107437134,-0.3798389136791229,590.3997192382812,0.25390625
7,2549,72549,-0.5358137488365173,-0.4591395854949951,569.1522827148438,0.3125
7,2599,72599,-0.4976271390914917,-0.42366349697113037,549.0320434570312,0.26953125
7,2649,72649,-0.41785943508148193,-0.34644806385040283,530.0867309570312,0.2109375
7,2699,72699,-0.48154374957084656,-0.41257667541503906,511.94256591796875,0.2578125
7,2749,72749,-0.4788297414779663,-0.4121866822242737,494.6916198730469,0.24609375
7,2799,72799,-0.4671509861946106,-0.40268588066101074,478.52447509765625,0.22265625
7,2849,72849,-0.4482615888118744,-0.38587966561317444,463.0609436035156,0.25
7,2899,72899,-0.49020063877105713,-0.42979696393013,448.37652587890625,0.28515625
7,2949,72949,-0.4298061728477478,-0.37129145860671997,434.3548278808594,0.21484375
7,2999,72999,-0.43394964933395386,-0.37721386551856995,421.1496276855469,0.23828125
7,3049,73049,-0.4822879433631897,-0.42725902795791626,408.47967529296875,0.2890625
7,3099,73099,-0.4164947271347046,-0.3630911111831665,396.41497802734375,0.22265625
7,3149,73149,-0.44446051120758057,-0.39263105392456055,384.7301025390625,0.234375
7,3199,73199,-0.4816703498363495,-0.4313165545463562,373.7762451171875,0.29296875
7,3249,73249,-0.440708726644516,-0.3917604684829712,363.3429870605469,0.25390625
7,3299,73299,-0.42787107825279236,-0.3802708685398102,353.3363037109375,0.2265625
7,3349,73349,-0.4450048804283142,-0.398733913898468,343.4696044921875,0.2421875
7,3399,73399,-0.41849005222320557,-0.3734391927719116,334.4123229980469,0.23828125
7,3449,73449,-0.4601370692253113,-0.4162922501564026,325.460205078125,0.26953125
7,3499,73499,-0.39910104870796204,-0.3563936948776245,317.0166931152344,0.2421875
7,3549,73549,-0.439944326877594,-0.39831191301345825,309.03753662109375,0.2421875
7,3599,73599,-0.4074590802192688,-0.36686527729034424,301.32769775390625,0.2421875
7,3649,73649,-0.4163286089897156,-0.37674373388290405,293.8387145996094,0.26171875
7,3699,73699,-0.47727859020233154,-0.4386661648750305,286.6198425292969,0.2890625
7,3749,73749,-0.4074833393096924,-0.369782030582428,279.8567199707031,0.24609375
7,3799,73799,-0.44123488664627075,-0.40439414978027344,273.4688720703125,0.2734375
7,3849,73849,-0.43504127860069275,-0.39905986189842224,267.09014892578125,0.2265625
7,3899,73899,-0.37348419427871704,-0.3383226990699768,261.00384521484375,0.2421875
7,3949,73949,-0.4018842875957489,-0.3675331771373749,254.9882354736328,0.234375
7,3999,73999,-0.49031293392181396,-0.45671820640563965,249.37347412109375,0.328125
7,4049,74049,-0.4689369201660156,-0.43607544898986816,243.9307403564453,0.29296875
