global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
8,0,80000,-2.1246562004089355,-0.4665723443031311,12307.95703125,0.21484375
8,49,80049,-1.6365351676940918,-0.39110827445983887,9244.802734375,0.1484375
8,99,80099,-1.403173804283142,-0.37812358140945435,7608.9482421875,0.15625
8,149,80149,-1.2647656202316284,-0.3684319853782654,6653.484375,0.16015625
8,199,80199,-1.1836750507354736,-0.3783254027366638,5978.11083984375,0.1484375
8,249,80249,-1.08828866481781,-0.34961071610450745,5483.20654296875,0.16015625
8,299,80299,-1.0254840850830078,-0.33605027198791504,5117.6669921875,0.15625
8,349,80349,-0.9809834957122803,-0.33337369561195374,4807.2080078125,0.13671875
8,399,80399,-0.963787853717804,-0.35121822357177734,4547.1044921875,0.15234375
8,449,80449,-0.9564582109451294,-0.3765239119529724,4304.8525390625,0.1484375
8,499,80499,-0.8569210767745972,-0.30284368991851807,4112.91650390625,0.11328125
8,549,80549,-0.8605939149856567,-0.32734501361846924,3958.306640625,0.1640625
8,599,80599,-0.8618158102035522,-0.34802764654159546,3813.849609375,0.1640625
8,649,80649,-0.814977765083313,-0.31827181577682495,3687.04833984375,0.125
8,699,80699,-0.8208211660385132,-0.34349995851516724,3543.155029296875,0.1796875
8,749,80749,-0.7745003700256348,-0.31172800064086914,3435.1591796875,0.125
8,799,80799,-0.7833058834075928,-0.33756035566329956,3308.76904296875,0.16796875
8,849,80849,-0.8149200677871704,-0.38178613781929016,3215.15283203125,0.19140625
8,899,80899,-0.7631345987319946,-0.34248512983322144,3122.48095703125,0.15625
8,949,80949,-0.7808387279510498,-0.3716215491294861,3037.619140625,0.15234375
8,999,80999,-0.7236752510070801,-0.3295574486255646,2925.536376953125,0.15625
8,1049,81049,-0.7034136056900024,-0.32201796770095825,2831.10009765625,0.16796875
8,1099,81099,-0.7272374629974365,-0.35611918568611145,2754.81103515625,0.1640625
8,1149,81149,-0.6806541681289673,-0.3180393874645233,2691.689453125,0.14453125
8,1199,81199,-0.6671308875083923,-0.31572091579437256,2608.516357421875,0.13671875
8,1249,81249,-0.6734635233879089,-0.3324264883995056,2531.51806640625,0.1484375
8,1299,81299,-0.665621280670166,-0.3354211747646332,2451.0751953125,0.14453125
8,1349,81349,-0.679642915725708,-0.3597317636013031,2374.70068359375,0.17578125
