global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-0.6500012874603271,-0.49390679597854614,5645.6259765625,0.1484375
0,49,49,-0.5914924144744873,-0.4408845901489258,5447.1845703125,0.14453125
0,99,99,-0.5139791965484619,-0.36714762449264526,5310.60546875,0.1484375
0,149,149,-0.4144176244735718,-0.27076002955436707,5195.80810546875,0.10546875
0,199,199,-0.42702749371528625,-0.28866973519325256,5004.1240234375,0.1015625
0,249,249,-0.4269929528236389,-0.29213953018188477,4877.37841796875,0.11328125
0,299,299,-0.41029173135757446,-0.27941304445266724,4733.62158203125,0.08984375
0,349,349,-0.4066498875617981,-0.27855318784713745,4633.001953125,0.11328125
0,399,399,-0.3340253233909607,-0.20845595002174377,4541.59326171875,0.08984375
0,449,449,-0.3515036702156067,-0.22852668166160583,4447.83203125,0.109375
0,499,499,-0.35598012804985046,-0.2353363186120987,4363.4453125,0.08984375
0,549,549,-0.33823078870773315,-0.21924060583114624,4303.6376953125,0.0859375
0,599,599,-0.3945921063423157,-0.27793198823928833,4219.36328125,0.12890625
0,649,649,-0.4313492178916931,-0.31592559814453125,4174.642578125,0.1328125
0,699,699,-0.3424278199672699,-0.22843605279922485,4122.8544921875,0.09765625
0,749,749,-0.33510327339172363,-0.22307993471622467,4051.6611328125,0.09765625
0,799,799,-0.33993667364120483,-0.2289314866065979,4014.8359375,0.078125
0,849,849,-0.38778817653656006,-0.27795448899269104,3972.46484375,0.125
0,899,899,-0.3851636052131653,-0.2767007350921631,3922.88427734375,0.125
0,949,949,-0.3275858759880066,-0.22013403475284576,3886.31884765625,0.08984375
0,999,999,-0.3454879820346832,-0.23944063484668732,3835.520263671875,0.109375
0,1049,1049,-0.3503860831260681,-0.24525579810142517,3802.351806640625,0.1015625
0,1099,1099,-0.3275894522666931,-0.22356338798999786,3762.415771484375,0.08984375
0,1149,1149,-0.3831508457660675,-0.2801978588104248,3723.60302734375,0.125
0,1199,1199,-0.3489798307418823,-0.24700231850147247,3688.322265625,0.13671875
0,1249,1249,-0.28400474786758423,-0.18292957544326782,3655.686279296875,0.0859375
0,1299,1299,-0.41517436504364014,-0.31533247232437134,3611.0810546875,0.15234375
0,1349,1349,-0.324198842048645,-0.22526094317436218,3578.38525390625,0.08984375
0,1399,1399,-0.26617372035980225,-0.16802585124969482,3549.8125,0.0625
0,1449,1449,-0.33618783950805664,-0.23904699087142944,3513.38916015625,0.11328125
0,1499,1499,-0.36328259110450745,-0.2669575810432434,3483.883544921875,0.1328125
0,1549,1549,-0.38873618841171265,-0.29332953691482544,3450.66796875,0.12890625
0,1599,1599,-0.364101767539978,-0.26955798268318176,3419.46044921875,0.1171875
0,1649,1649,-0.3013526201248169,-0.20766198635101318,3388.60302734375,0.09375
0,1699,1699,-0.2973056435585022,-0.20432299375534058,3362.99755859375,0.0859375
0,1749,1749,-0.3075459599494934,-0.21538224816322327,3333.376953125,0.0859375
0,1799,1799,-0.29401159286499023,-0.2028343677520752,3297.69775390625,0.1015625
0,1849,1849,-0.28865569829940796,-0.19805283844470978,3276.9248046875,0.0859375
0,1899,1899,-0.31434038281440735,-0.22440002858638763,3252.962890625,0.10546875
0,1949,1949,-0.3414325714111328,-0.2522352933883667,3226.08740234375,0.12890625
