communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.708915146193497,0.6604733467102051,-0.7088399539866149,0.6602521538734436
2,1,-0.22702331201616788,0.90347820520401,-0.23608774138030897,0.8954877257347107
4,2,-0.22480136117415986,0.9043906331062317,-0.23230639457760738,0.897478461265564
6,3,-0.22186041940368606,0.9054136276245117,-0.2308523443849341,0.8982526063919067
8,4,-0.22141784742256862,0.9048053622245789,-0.23203432178255953,0.8982526063919067
10,5,-0.22070915580776349,0.904943585395813,-0.2310382654331413,0.8985843658447266
12,6,-0.2203802134092703,0.9054412841796875,-0.23017864013772818,0.8999115228652954
14,7,-0.21970074910296256,0.9065748453140259,-0.2292078789275791,0.8995797634124756
16,8,-0.2189523968230016,0.9057177901268005,-0.22885414891043923,0.8986949920654297
18,9,-0.21926495767690446,0.9062983989715576,-0.22762331278040152,0.8985843658447266
20,10,-0.21901145548510842,0.9062983989715576,-0.23052108036538,0.9004644751548767
