communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7020642161369324,0.84652179479599,-0.7019391655921936,0.8463835716247559
2,1,-0.29900628328323364,0.8836817145347595,-0.30753469467163086,0.8803362250328064
4,2,-0.27886226773262024,0.8836817145347595,-0.28604793548583984,0.8803362250328064
6,3,-0.26678797602653503,0.8836817145347595,-0.276194304227829,0.8803362250328064
8,4,-0.25774717330932617,0.8836817145347595,-0.2681882679462433,0.8803362250328064
10,5,-0.24978557229042053,0.8836817145347595,-0.26047196984291077,0.8803362250328064
12,6,-0.24601487815380096,0.8836817145347595,-0.2563007175922394,0.8803362250328064
14,7,-0.2451936900615692,0.8836817145347595,-0.25445473194122314,0.8803362250328064
16,8,-0.2422172576189041,0.8836817145347595,-0.25145891308784485,0.8803362250328064
18,9,-0.24150383472442627,0.8836817145347595,-0.25079983472824097,0.8803362250328064
20,10,-0.23912568390369415,0.8836817145347595,-0.2506413757801056,0.8803362250328064
