global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
9,0,90000,-50.076927185058594,-0.6328905820846558,178789.640625,0.109375
9,49,90049,-35.97442626953125,-0.3519485592842102,128810.890625,0.1328125
9,99,90099,-27.985523223876953,-0.3737207353115082,99844.28125,0.11328125
9,149,90149,-22.788562774658203,-0.4978673756122589,80603.15625,0.15234375
9,199,90199,-19.041488647460938,-0.5194679498672485,66975.625,0.15234375
9,249,90249,-16.17732810974121,-0.4662455916404724,56811.2734375,0.12890625
9,299,90299,-14.160070419311523,-0.46992671489715576,49503.5625,0.1328125
9,349,90349,-12.29898452758789,-0.3651055693626404,43152.90625,0.12890625
9,399,90399,-10.971197128295898,-0.44512349367141724,38062.28125,0.1328125
9,449,90449,-9.742463111877441,-0.3898363709449768,33819.09765625,0.14453125
9,499,90499,-8.634312629699707,-0.18389417231082916,30556.712890625,0.08984375
9,549,90549,-8.01605224609375,-0.40196332335472107,27532.546875,0.125
9,599,90599,-7.330432891845703,-0.345406174659729,25257.85546875,0.140625
9,649,90649,-6.7433295249938965,-0.358895480632782,23086.11328125,0.08984375
9,699,90699,-6.190887451171875,-0.2632557451725006,21434.31640625,0.10546875
9,749,90749,-5.681316375732422,-0.23857495188713074,19680.953125,0.10546875
9,799,90799,-5.449646472930908,-0.36896246671676636,18371.75390625,0.12109375
9,849,90849,-5.135107040405273,-0.41601741313934326,17064.23046875,0.125
9,899,90899,-4.795285224914551,-0.3631444275379181,16026.6220703125,0.15234375
9,949,90949,-4.611204147338867,-0.414300799369812,15176.001953125,0.1484375
9,999,90999,-4.316027641296387,-0.3809681534767151,14229.173828125,0.12109375
9,1049,91049,-4.08651065826416,-0.3847079277038574,13385.71875,0.125
9,1099,91099,-3.920504331588745,-0.3954964876174927,12746.427734375,0.15234375
9,1149,91149,-3.5250601768493652,-0.1785992681980133,12100.802734375,0.07421875
9,1199,91199,-3.413087844848633,-0.22324174642562866,11534.484375,0.109375
9,1249,91249,-3.336479425430298,-0.2744603157043457,11072.26171875,0.1171875
9,1299,91299,-3.235287666320801,-0.3012905716896057,10609.333984375,0.109375
9,1349,91349,-3.0814409255981445,-0.26403161883354187,10187.751953125,0.078125
9,1399,91399,-2.916987895965576,-0.24522632360458374,9661.08984375,0.125
9,1449,91449,-2.870211124420166,-0.2632526159286499,9426.76171875,0.109375
9,1499,91499,-2.8070993423461914,-0.3540353775024414,8870.279296875,0.12890625
9,1549,91549,-2.650940418243408,-0.30366450548171997,8487.75,0.125
9,1599,91599,-2.596797466278076,-0.3363466262817383,8173.79052734375,0.140625
9,1649,91649,-2.5574758052825928,-0.3806988596916199,7871.2255859375,0.16015625
9,1699,91699,-2.4399819374084473,-0.3308466672897339,7626.63330078125,0.12109375
9,1749,91749,-2.439924716949463,-0.4108869135379791,7337.0009765625,0.16796875
9,1799,91799,-2.2157702445983887,-0.2128373086452484,7242.60546875,0.10546875
9,1849,91849,-2.173208713531494,-0.2686523199081421,6886.87646484375,0.1328125
9,1899,91899,-2.0487799644470215,-0.2167021632194519,6624.7939453125,0.09375
