communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.5490978360176086,0.8821057081222534,-0.5507506132125854,0.8788985013961792
2,1,-0.247538223862648,0.9010451436042786,-0.25571706891059875,0.895598292350769
4,2,-0.2397402822971344,0.8997179865837097,-0.24708515405654907,0.8936076164245605
6,3,-0.23586584627628326,0.8996626734733582,-0.2434224784374237,0.893275797367096
8,4,-0.23328383266925812,0.9006027579307556,-0.24300022423267365,0.896040678024292
10,5,-0.2309066504240036,0.9001880288124084,-0.2412189096212387,0.8930546045303345
12,6,-0.23082681000232697,0.9003815650939941,-0.2395888715982437,0.8940500020980835
14,7,-0.2296152412891388,0.9004644751548767,-0.23801946640014648,0.8947135806083679
16,8,-0.22874221205711365,0.9000497460365295,-0.23806653916835785,0.8934969902038574
18,9,-0.22817137837409973,0.9007962942123413,-0.23711390793323517,0.893828809261322
20,10,-0.227180615067482,0.9011833667755127,-0.23894855380058289,0.8947135806083679
22,11,-0.2273465245962143,0.9015704393386841,-0.23772594332695007,0.8946029543876648
24,12,-0.22719912230968475,0.9018746018409729,-0.23582583665847778,0.8963724970817566
26,13,-0.22748592495918274,0.9017916321754456,-0.23516745865345,0.8963724970817566
28,14,-0.22731932997703552,0.9018746018409729,-0.23617884516716003,0.8961513042449951
30,15,-0.22704988718032837,0.9021234512329102,-0.23558184504508972,0.895598292350769
32,16,-0.22738657891750336,0.9023445844650269,-0.2372642159461975,0.895598292350769
34,17,-0.22718922793865204,0.9017916321754456,-0.23485533893108368,0.896040678024292
36,18,-0.22749602794647217,0.9009068608283997,-0.23656027019023895,0.8948241472244263
38,19,-0.22734300792217255,0.9016534090042114,-0.2359044849872589,0.8949347734451294
40,20,-0.22744017839431763,0.9017639756202698,-0.2365827113389969,0.8965936899185181
42,21,-0.22714032232761383,0.9022893309593201,-0.2354767620563507,0.8962618708610535
44,22,-0.22721418738365173,0.9024828672409058,-0.23682090640068054,0.8965936899185181
46,23,-0.22753271460533142,0.9021787047386169,-0.2363947480916977,0.8967042565345764
48,24,-0.2270040661096573,0.9023169875144958,-0.23839455842971802,0.8972572684288025
50,25,-0.2272157520055771,0.9022893309593201,-0.23628036677837372,0.8962618708610535
52,26,-0.22683943808078766,0.9027869701385498,-0.23568643629550934,0.8959301114082336
54,27,-0.22722764313220978,0.9028699398040771,-0.23720498383045197,0.8969254493713379
56,28,-0.22705815732479095,0.9023998975753784,-0.23746620118618011,0.8967042565345764
58,29,-0.22740691900253296,0.9022063612937927,-0.2360609620809555,0.8964830636978149
60,30,-0.22686149179935455,0.9026764035224915,-0.23546560108661652,0.8972572684288025
62,31,-0.2269250601530075,0.9023445844650269,-0.23512454330921173,0.8969254493713379
64,32,-0.2263948917388916,0.90347820520401,-0.23553040623664856,0.8969254493713379
66,33,-0.22635938227176666,0.9030358195304871,-0.23611757159233093,0.8976995944976807
68,34,-0.2263808399438858,0.9030081629753113,-0.2371106892824173,0.8979207873344421
70,35,-0.2260822206735611,0.9030634760856628,-0.23822647333145142,0.897478461265564
72,36,-0.22599300742149353,0.9029805064201355,-0.23657648265361786,0.8964830636978149
74,37,-0.22596226632595062,0.9030081629753113,-0.236836776137352,0.8980314135551453
76,38,-0.2260032445192337,0.9029252529144287,-0.23449775576591492,0.8976995944976807
78,39,-0.225752055644989,0.9037270545959473,-0.2346377670764923,0.8972572684288025
80,40,-0.22513549029827118,0.9032293558120728,-0.23391099274158478,0.8978102207183838
