global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-4.943976879119873,-0.6905282735824585,15380.4697265625,0.1015625
0,49,49,-4.9008612632751465,-0.6826009154319763,15253.228515625,0.140625
0,99,99,-4.858828544616699,-0.6764416694641113,15123.5107421875,0.10546875
0,149,149,-4.828027725219727,-0.681508481502533,14993.8134765625,0.140625
0,199,199,-4.7698774337768555,-0.6591929197311401,14864.2353515625,0.07421875
0,249,249,-4.7387189865112305,-0.6638646721839905,14734.673828125,0.14453125
0,299,299,-4.714877605438232,-0.6758221983909607,14605.2236328125,0.1171875
0,349,349,-4.684744358062744,-0.6814765930175781,14475.81640625,0.109375
0,399,399,-4.6636247634887695,-0.6961514949798584,14346.3828125,0.875
0,449,449,-4.594539642333984,-0.6628079414367676,14217.140625,0.12109375
0,499,499,-4.588959693908691,-0.6929807662963867,14087.859375,0.47265625
0,549,549,-4.549239158630371,-0.6889734268188477,13958.7216796875,0.1328125
0,599,599,-4.515755653381348,-0.6911458373069763,13829.7900390625,0.1796875
0,649,649,-4.4626054763793945,-0.6736186742782593,13700.9775390625,0.078125
0,699,699,-4.471127510070801,-0.7177822589874268,13572.095703125,0.87890625
0,749,749,-4.417765140533447,-0.7000573873519897,13443.2314453125,0.8828125
0,799,799,-4.3720316886901855,-0.6898651719093323,13314.7138671875,0.21875
0,849,849,-4.367975234985352,-0.7213804721832275,13186.087890625,0.94140625
0,899,899,-4.2889251708984375,-0.6778197288513184,13057.7578125,0.12109375
0,949,949,-4.2865376472473145,-0.710875391960144,12929.5947265625,0.859375
0,999,999,-4.229846954345703,-0.6895947456359863,12801.5517578125,0.19140625
0,1049,1049,-4.203718185424805,-0.6988084316253662,12673.7529296875,0.84375
0,1099,1099,-4.168491363525391,-0.6989175081253052,12545.978515625,0.83984375
0,1149,1149,-4.124758720397949,-0.6904932856559753,12418.3037109375,0.296875
0,1199,1199,-4.087709903717041,-0.6886576414108276,12290.97265625,0.18359375
0,1249,1249,-4.060255527496338,-0.6964006423950195,12163.69921875,0.69140625
0,1299,1299,-4.0114030838012695,-0.6826370358467102,12036.8193359375,0.09765625
0,1349,1349,-3.974985122680664,-0.6812220811843872,11910.248046875,0.125
0,1399,1399,-3.9622323513031006,-0.7034338116645813,11783.8154296875,0.8828125
0,1449,1449,-3.900388240814209,-0.6764687299728394,11657.6923828125,0.16796875
0,1499,1499,-3.852569818496704,-0.6633368134498596,11532.2666015625,0.07421875
0,1549,1549,-3.8453567028045654,-0.6909449100494385,11406.353515625,0.34375
0,1599,1599,-3.8174755573272705,-0.6976500153541565,11281.2890625,0.63671875
0,1649,1649,-3.765822172164917,-0.6804323196411133,11156.76953125,0.1171875
0,1699,1699,-3.7189674377441406,-0.6679947972297668,11032.3173828125,0.125
0,1749,1749,-3.730642795562744,-0.7140213847160339,10908.1025390625,0.86328125
0,1799,1799,-3.7143797874450684,-0.731906533241272,10784.6240234375,0.89453125
0,1849,1849,-3.598620891571045,-0.6501015424728394,10661.8466796875,0.109375
