global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
5,0,50000,-1.403730869293213,-0.4302978813648224,6688.4580078125,0.15625
5,49,50049,-1.21256685256958,-0.3942188620567322,5622.869140625,0.1328125
5,99,50099,-1.137553334236145,-0.3952391445636749,5100.44091796875,0.15625
5,149,50149,-1.0381124019622803,-0.3440321981906891,4769.025390625,0.1328125
5,199,50199,-0.9722453355789185,-0.3143426179885864,4520.4501953125,0.09375
5,249,50249,-0.9373818635940552,-0.3085927367210388,4320.41015625,0.12890625
5,299,50299,-0.9032893180847168,-0.2970651090145111,4165.36669921875,0.12890625
5,349,50349,-0.9271681904792786,-0.3418492376804352,4021.7265625,0.13671875
5,399,50399,-0.8417104482650757,-0.2752612233161926,3892.072509765625,0.10546875
5,449,50449,-0.8053008317947388,-0.2532360851764679,3793.23681640625,0.09765625
5,499,50499,-0.755073070526123,-0.2189028561115265,3684.025390625,0.06640625
5,549,50549,-0.8191083669662476,-0.2975592613220215,3583.563720703125,0.1328125
5,599,50599,-0.7606561779975891,-0.25042957067489624,3505.76708984375,0.11328125
5,649,50649,-0.756033718585968,-0.2591868042945862,3413.83544921875,0.12109375
5,699,50699,-0.7739483714103699,-0.28730109333992004,3343.75341796875,0.1171875
5,749,50749,-0.7135583162307739,-0.23906385898590088,3260.25146484375,0.109375
5,799,50799,-0.7245796918869019,-0.26078784465789795,3186.7138671875,0.10546875
5,849,50849,-0.6928566098213196,-0.2388390153646469,3119.5546875,0.08984375
5,899,50899,-0.7305488586425781,-0.28695476055145264,3047.93505859375,0.12109375
5,949,50949,-0.7543555498123169,-0.31932294368743896,2989.109130859375,0.140625
5,999,50999,-0.6438650488853455,-0.21735215187072754,2930.5703125,0.078125
5,1049,51049,-0.6458626389503479,-0.22890537977218628,2864.9130859375,0.1015625
5,1099,51099,-0.6863425970077515,-0.27877241373062134,2800.4150390625,0.11328125
5,1149,51149,-0.6530687212944031,-0.2543865144252777,2739.345458984375,0.125
5,1199,51199,-0.6466031670570374,-0.2559579610824585,2684.12353515625,0.09765625
5,1249,51249,-0.6759707927703857,-0.29328030347824097,2629.466796875,0.125
5,1299,51299,-0.6241608262062073,-0.24954038858413696,2574.01708984375,0.109375
5,1349,51349,-0.5919116139411926,-0.22646751999855042,2510.966552734375,0.09765625
5,1399,51399,-0.625407338142395,-0.2675648331642151,2458.736083984375,0.109375
5,1449,51449,-0.6105489730834961,-0.26052361726760864,2405.0244140625,0.09765625
5,1499,51499,-0.5828981399536133,-0.2406398355960846,2351.656982421875,0.08984375
5,1549,51549,-0.5753149390220642,-0.24032440781593323,2301.72021484375,0.12890625
5,1599,51599,-0.573279082775116,-0.24594983458518982,2249.0791015625,0.078125
5,1649,51649,-0.5872043967247009,-0.2664054334163666,2204.20947265625,0.12890625
5,1699,51699,-0.5713316202163696,-0.2583751976490021,2150.3232421875,0.12890625
5,1749,51749,-0.5356818437576294,-0.23072779178619385,2095.339599609375,0.11328125
5,1799,51799,-0.6068205237388611,-0.30810731649398804,2052.45849609375,0.1328125
5,1849,51849,-0.5097707509994507,-0.21875035762786865,1999.601318359375,0.08203125
5,1899,51899,-0.530704140663147,-0.24660032987594604,1952.077392578125,0.09765625
5,1949,51949,-0.49251097440719604,-0.2149665355682373,1907.0078125,0.078125
5,1999,51999,-0.5402238368988037,-0.26899054646492004,1863.643798828125,0.12890625
5,2049,52049,-0.4470125138759613,-0.18295812606811523,1814.3177490234375,0.078125
5,2099,52099,-0.4959270656108856,-0.23738855123519897,1776.418212890625,0.09375
5,2149,52149,-0.4728277325630188,-0.22129760682582855,1728.263427734375,0.1015625
5,2199,52199,-0.4675547182559967,-0.22233644127845764,1684.89501953125,0.0859375
5,2249,52249,-0.46241623163223267,-0.22316712141036987,1643.8807373046875,0.0859375
5,2299,52299,-0.4123684763908386,-0.1790989190340042,1602.795166015625,0.05859375
5,2349,52349,-0.5178323984146118,-0.2910943031311035,1557.9173583984375,0.12109375
5,2399,52399,-0.5459277629852295,-0.32366132736206055,1527.193115234375,0.1328125
5,2449,52449,-0.41325870156288147,-0.1973368525505066,1483.5989990234375,0.08984375
5,2499,52499,-0.47078415751457214,-0.2611668109893799,1440.281005859375,0.1171875
5,2549,52549,-0.4358420670032501,-0.23257887363433838,1396.62158203125,0.08203125
5,2599,52599,-0.40642818808555603,-0.20733195543289185,1367.990234375,0.0859375
