global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
6,0,60000,-2.409626007080078,-0.6698680520057678,11953.8779296875,0.11328125
6,49,60049,-2.4142072200775146,-0.6932812929153442,11824.482421875,0.61328125
6,99,60099,-2.3745670318603516,-0.672849178314209,11692.50390625,0.13671875
6,149,60149,-2.351154088973999,-0.6686750650405884,11560.3134765625,0.11328125
6,199,60199,-2.3210666179656982,-0.6578586101531982,11427.90234375,0.1015625
6,249,60249,-2.301048994064331,-0.6571346521377563,11295.3349609375,0.09375
6,299,60299,-2.293952703475952,-0.669358491897583,11162.5869140625,0.125
6,349,60349,-2.2660579681396484,-0.6608217358589172,11029.578125,0.11328125
6,399,60399,-2.2606143951416016,-0.6747717261314392,10896.32421875,0.1171875
6,449,60449,-2.235797882080078,-0.6693775057792664,10762.875,0.12890625
6,499,60499,-2.241565227508545,-0.6946223974227905,10629.0439453125,0.76171875
6,549,60549,-2.2079882621765137,-0.6805561780929565,10494.986328125,0.16015625
6,599,60599,-2.1864500045776367,-0.6785869598388672,10360.52734375,0.12109375
6,649,60649,-2.188157081604004,-0.6998951435089111,10225.84765625,0.91796875
6,699,60699,-2.139070510864258,-0.6704504489898682,10090.888671875,0.1171875
6,749,60749,-2.0859687328338623,-0.6370487809181213,9955.529296875,0.12890625
6,799,60799,-2.093961477279663,-0.6648343801498413,9819.5322265625,0.13671875
6,849,60849,-2.072497844696045,-0.6632152795791626,9683.1806640625,0.125
6,899,60899,-2.028151273727417,-0.6387662887573242,9546.46484375,0.1015625
6,949,60949,-2.0286312103271484,-0.6592199206352234,9409.2236328125,0.15234375
6,999,60999,-1.9959561824798584,-0.6465967893600464,9271.4482421875,0.12890625
6,1049,61049,-1.9758307933807373,-0.646574854850769,9133.3173828125,0.15625
6,1099,61099,-1.9666509628295898,-0.6575514674186707,8994.822265625,0.13671875
6,1149,61149,-1.9239881038665771,-0.6350716352462769,8856.1455078125,0.12109375
6,1199,61199,-1.9345743656158447,-0.6660144329071045,8716.275390625,0.12109375
6,1249,61249,-1.876075267791748,-0.6279172301292419,8576.09375,0.10546875
6,1299,61299,-1.8750207424163818,-0.6472957730293274,8435.6982421875,0.1015625
6,1349,61349,-1.8331613540649414,-0.6259996294975281,8294.408203125,0.1328125
6,1399,61399,-1.7840232849121094,-0.5973883271217346,8153.36962890625,0.140625
6,1449,61449,-1.800797939300537,-0.6346810460090637,8012.388671875,0.14453125
6,1499,61499,-1.7496675252914429,-0.6041569709777832,7870.80322265625,0.14453125
6,1549,61549,-1.678147315979004,-0.553145706653595,7729.88671875,0.15625
6,1599,61599,-1.6318626403808594,-0.5274326205253601,7588.5380859375,0.109375
6,1649,61649,-1.6434614658355713,-0.5594807863235474,7448.03125,0.1328125
6,1699,61699,-1.6172934770584106,-0.5536997318267822,7307.95263671875,0.1171875
6,1749,61749,-1.545598030090332,-0.5022118091583252,7169.10693359375,0.07421875
6,1799,61799,-1.4695734977722168,-0.44618695974349976,7031.6884765625,0.12890625
6,1849,61849,-1.381641149520874,-0.3780537247657776,6895.6494140625,0.0859375
6,1899,61899,-1.3832688331604004,-0.3991560935974121,6761.83837890625,0.10546875
6,1949,61949,-1.311997652053833,-0.34701037406921387,6630.42822265625,0.10546875
6,1999,61999,-1.37830650806427,-0.432045042514801,6501.7626953125,0.13671875
6,2049,62049,-1.2970283031463623,-0.36902111768722534,6376.337890625,0.12109375
6,2099,62099,-1.214888095855713,-0.3047087788581848,6253.8427734375,0.10546875
6,2149,62149,-1.189845323562622,-0.29700911045074463,6134.67822265625,0.125
6,2199,62199,-1.2182652950286865,-0.3424187898635864,6017.94091796875,0.13671875
6,2249,62249,-1.1958906650543213,-0.33678823709487915,5902.89306640625,0.12109375
6,2299,62299,-1.1666109561920166,-0.3239293098449707,5790.0654296875,0.13671875
6,2349,62349,-1.0823593139648438,-0.25566262006759644,5680.23291015625,0.08984375
6,2399,62399,-1.1355290412902832,-0.3245528042316437,5572.21728515625,0.14453125
6,2449,62449,-1.1149495840072632,-0.31943684816360474,5465.96826171875,0.14453125
6,2499,62499,-1.096563696861267,-0.3162383437156677,5361.61572265625,0.171875
6,2549,62549,-1.092771291732788,-0.32756030559539795,5257.7646484375,0.16796875
6,2599,62599,-1.060590147972107,-0.3103192448616028,5155.111328125,0.15625
6,2649,62649,-1.0294160842895508,-0.29394084215164185,5053.45068359375,0.15234375
6,2699,62699,-0.9838591814041138,-0.2629092037677765,4953.6474609375,0.11328125
6,2749,62749,-0.9913431406021118,-0.28484994173049927,4854.314453125,0.1171875
6,2799,62799,-0.8702762126922607,-0.17813937366008759,4755.67236328125,0.09765625
6,2849,62849,-0.9024243354797363,-0.22448702156543732,4658.10693359375,0.09765625
6,2899,62899,-0.9070032835006714,-0.24325072765350342,4560.64404296875,0.109375
6,2949,62949,-0.892532229423523,-0.24277332425117493,4464.4931640625,0.10546875
6,2999,62999,-0.8881211280822754,-0.2521817982196808,4369.53955078125,0.12109375
6,3049,63049,-0.8227936029434204,-0.20055776834487915,4275.38232421875,0.1015625
6,3099,63099,-0.9280727505683899,-0.31942999362945557,4181.984375,0.15234375
6,3149,63149,-0.817908763885498,-0.22265654802322388,4089.97802734375,0.109375
6,3199,63199,-0.8064212799072266,-0.2244511842727661,3998.716796875,0.08203125
6,3249,63249,-0.8059101104736328,-0.2371119260787964,3908.21240234375,0.12109375
6,3299,63299,-0.8081152439117432,-0.2523137331008911,3818.912353515625,0.1328125
6,3349,63349,-0.8171212673187256,-0.2742006480693817,3730.40771484375,0.140625
6,3399,63399,-0.7991412878036499,-0.26889801025390625,3643.301513671875,0.12109375
6,3449,63449,-0.7587734460830688,-0.2410779893398285,3557.085205078125,0.109375
6,3499,63499,-0.7602212429046631,-0.2549043595790863,3472.0322265625,0.14453125
6,3549,63549,-0.7847156524658203,-0.29164987802505493,3387.85498046875,0.140625
6,3599,63599,-0.753492534160614,-0.27247029542922974,3305.10400390625,0.1640625
6,3649,63649,-0.7893857359886169,-0.3202049136161804,3223.7412109375,0.1484375
6,3699,63699,-0.727098822593689,-0.26963871717453003,3143.20849609375,0.12890625
6,3749,63749,-0.7159023284912109,-0.2699333429336548,3064.253173828125,0.12890625
6,3799,63799,-0.6354371309280396,-0.2007206529378891,2986.93701171875,0.09765625
6,3849,63849,-0.6742252111434937,-0.25058525800704956,2910.830078125,0.1015625
6,3899,63899,-0.6359299421310425,-0.22315803170204163,2836.15576171875,0.1171875
6,3949,63949,-0.6507335901260376,-0.24865704774856567,2762.66796875,0.13671875
6,3999,63999,-0.6388809680938721,-0.2472732961177826,2690.736328125,0.12109375
6,4049,64049,-0.6879181265830994,-0.3065306544303894,2620.513671875,0.12890625
6,4099,64099,-0.6188564300537109,-0.2474857121706009,2551.6884765625,0.14453125
6,4149,64149,-0.5822449922561646,-0.22065255045890808,2484.501708984375,0.11328125
6,4199,64199,-0.6328812837600708,-0.28091710805892944,2418.345947265625,0.15234375
6,4249,64249,-0.5433767437934875,-0.20080605149269104,2353.803466796875,0.12109375
6,4299,64299,-0.5147088170051575,-0.18135209381580353,2290.493896484375,0.0546875
6,4349,64349,-0.5778736472129822,-0.2534763216972351,2228.93408203125,0.13671875
6,4399,64399,-0.5333721041679382,-0.2176457643508911,2169.355712890625,0.11328125
6,4449,64449,-0.5464222431182861,-0.2391945868730545,2110.961181640625,0.140625
6,4499,64499,-0.5170137882232666,-0.21803872287273407,2054.25732421875,0.10546875
6,4549,64549,-0.5709503293037415,-0.2800690531730652,1998.645263671875,0.12109375
6,4599,64599,-0.5302081108093262,-0.24721021950244904,1944.4786376953125,0.13671875
6,4649,64649,-0.5304254293441772,-0.25507932901382446,1891.9033203125,0.12890625
6,4699,64699,-0.5372095108032227,-0.269326388835907,1840.624755859375,0.14453125
6,4749,64749,-0.5474945902824402,-0.2868732511997223,1790.729248046875,0.12890625
6,4799,64799,-0.48623088002204895,-0.23265531659126282,1742.3177490234375,0.10546875
6,4849,64849,-0.5216366052627563,-0.27492451667785645,1695.1591796875,0.125
6,4899,64899,-0.4268938899040222,-0.18685409426689148,1649.3133544921875,0.09765625
6,4949,64949,-0.49662014842033386,-0.26307612657546997,1604.68115234375,0.12109375
