global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
1,0,10000,-14.823282241821289,-0.6631464958190918,5111.80908203125,0.0078125
1,49,10049,-14.512893676757812,-0.669917643070221,4997.314453125,0.0078125
1,99,10099,-14.206096649169922,-0.6841365694999695,4881.427734375,0.00390625
1,149,10149,-13.866840362548828,-0.6630946397781372,4766.55224609375,0.01171875
1,199,10199,-13.562625885009766,-0.6741738319396973,4652.7314453125,0.0078125
1,249,10249,-13.229857444763184,-0.6537388563156128,4539.97900390625,0.01171875
1,299,10299,-12.928550720214844,-0.6615960597991943,4428.37060546875,0.0078125
1,349,10349,-12.650272369384766,-0.6893247961997986,4317.90234375,0.0078125
1,399,10399,-12.326754570007324,-0.6684495210647583,4208.6484375,0.0078125
1,449,10449,-12.015283584594727,-0.6562643051147461,4100.60595703125,0.0078125
1,499,10499,-11.732189178466797,-0.6689600944519043,3993.825927734375,0.0078125
1,549,10549,-11.466117858886719,-0.6951144933700562,3888.332275390625,0.79296875
1,599,10599,-11.134696960449219,-0.652294933795929,3784.147216796875,0.0078125
1,649,10649,-10.84219741821289,-0.6445078253746033,3681.36572265625,0.00390625
1,699,10699,-10.601558685302734,-0.6847635507583618,3579.962890625,0.015625
1,749,10749,-10.276847839355469,-0.636936366558075,3480.008056640625,0.0078125
1,799,10799,-10.004144668579102,-0.6370820999145508,3381.509521484375,0.01171875
1,849,10849,-9.790327072143555,-0.6921115517616272,3284.4560546875,0.47265625
1,899,10899,-9.489286422729492,-0.6557016968727112,3188.924072265625,0.01171875
1,949,10949,-9.198123931884766,-0.624946653842926,3094.917236328125,0.0078125
1,999,10999,-8.978326797485352,-0.6610302329063416,3002.544189453125,0.0078125
1,1049,11049,-8.681865692138672,-0.6159472465515137,2911.79638671875,0.0078125
1,1099,11099,-8.478443145751953,-0.6594232320785522,2822.666259765625,0.00390625
1,1149,11149,-8.189361572265625,-0.6128840446472168,2735.108642578125,0.0078125
1,1199,11199,-7.992757797241211,-0.6542714238166809,2649.19384765625,0.00390625
1,1249,11249,-7.7445478439331055,-0.6394956111907959,2564.923828125,0.01171875
1,1299,11299,-7.470846652984619,-0.5942569375038147,2482.448974609375,0.0078125
1,1349,11349,-7.253783226013184,-0.600907564163208,2401.688232421875,0.01171875
1,1399,11399,-7.065200328826904,-0.6313042640686035,2322.636474609375,0.0078125
1,1449,11449,-6.784453392028809,-0.5647399425506592,2245.316650390625,0.01171875
1,1499,11499,-6.5478196144104,-0.5378074645996094,2169.614501953125,0.0078125
1,1549,11549,-6.264702320098877,-0.459352970123291,2095.731201171875,0.0078125
1,1599,11599,-6.181553840637207,-0.5760084986686707,2023.60205078125,0.0078125
1,1649,11649,-5.977319717407227,-0.5662870407104492,1953.3829345703125,0.0078125
1,1699,11699,-5.6528167724609375,-0.43146389722824097,1884.908447265625,0.0078125
1,1749,11749,-5.539268493652344,-0.5026519894599915,1818.21875,0.00390625
1,1799,11799,-5.287660121917725,-0.4307232201099396,1753.354248046875,0.0078125
1,1849,11849,-5.111809730529785,-0.4294276237487793,1690.3399658203125,0.0078125
1,1899,11899,-4.9320783615112305,-0.4190533459186554,1629.2021484375,0.01171875
1,1949,11949,-4.661869049072266,-0.3130355775356293,1569.928955078125,0.0078125
1,1999,11999,-4.4993062019348145,-0.3094860911369324,1512.525146484375,0.01171875
1,2049,12049,-4.342436790466309,-0.30635398626327515,1457.0260009765625,0.0078125
