communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7390057444572449,0.16445477306842804,-0.7390832901000977,0.16390179097652435
20,1,-0.23601150512695312,0.8978931903839111,-0.2461891770362854,0.8926122784614563
40,2,-0.3614576458930969,0.8876631259918213,-0.3660331070423126,0.8850917816162109
60,3,-0.23938868939876556,0.9018192887306213,-0.248477965593338,0.897036075592041
80,4,-0.2678838074207306,0.9011003971099854,-0.2760467231273651,0.8957089185714722
100,5,-0.24989144504070282,0.8975613713264465,-0.26488780975341797,0.8919486999511719
120,6,-0.25211676955223083,0.8968425393104553,-0.25755178928375244,0.8918380737304688
140,7,-0.25066208839416504,0.892086923122406,-0.2620163857936859,0.8901791572570801
160,8,-0.2506130337715149,0.8928610682487488,-0.25901687145233154,0.8875249028205872
180,9,-0.24455849826335907,0.8978655338287354,-0.25727784633636475,0.8905109763145447
200,10,-0.24670562148094177,0.8986120223999023,-0.2558232247829437,0.897478461265564
