global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
0,0,0,-43.29475402832031,-0.6895755529403687,15380.4697265625,0.0078125
0,49,49,-42.9283447265625,-0.6786626577377319,15252.1357421875,0.0078125
0,99,99,-42.55903625488281,-0.6720207929611206,15121.212890625,0.01171875
0,149,149,-42.20123291015625,-0.6768459677696228,14990.3037109375,0.0078125
0,199,199,-41.81481170654297,-0.6529606580734253,14859.427734375,0.0078125
0,249,249,-41.450653076171875,-0.6513034701347351,14728.5654296875,0.0078125
0,299,299,-41.106483459472656,-0.6695318818092346,14597.7412109375,0.0078125
0,349,349,-40.75274658203125,-0.6780903339385986,14466.9501953125,0.0078125
0,399,399,-40.409515380859375,-0.6971185207366943,14336.1748046875,0.98828125
0,449,449,-40.0020751953125,-0.6518020629882812,14205.44921875,0.0078125
0,499,499,-39.680580139160156,-0.6924134492874146,14074.728515625,0.37890625
0,549,549,-39.312461853027344,-0.6863070726394653,13944.041015625,0.01171875
0,599,599,-38.954078674316406,-0.6897761821746826,13813.4150390625,0.06640625
0,649,649,-38.572998046875,-0.6704005599021912,13682.8388671875,0.01171875
0,699,699,-38.267845153808594,-0.7269611954689026,13552.2607421875,0.9921875
0,749,749,-37.881072998046875,-0.701791524887085,13421.7197265625,0.97265625
0,799,799,-37.50493621826172,-0.6870290040969849,13291.2646484375,0.046875
0,849,849,-37.18269348144531,-0.7261641621589661,13160.806640625,0.9921875
0,899,899,-36.7647705078125,-0.6694499254226685,13030.412109375,0.0078125
0,949,949,-36.454566955566406,-0.7202624678611755,12900.0830078125,0.9921875
0,999,999,-36.063751220703125,-0.6903380155563354,12769.802734375,0.23828125
0,1049,1049,-35.71162796020508,-0.6989449262619019,12639.5791015625,0.90234375
0,1099,1099,-35.3515625,-0.6995097398757935,12509.3916015625,0.84765625
0,1149,1149,-34.981689453125,-0.6901633739471436,12379.2412109375,0.3125
0,1199,1199,-34.61538314819336,-0.6841590404510498,12249.171875,0.02734375
0,1249,1249,-34.266693115234375,-0.6956498622894287,12119.1455078125,0.58203125
0,1299,1299,-33.8817138671875,-0.6706188321113586,11989.20703125,0.0078125
0,1349,1349,-33.5244140625,-0.6730636358261108,11859.3369140625,0.015625
0,1399,1399,-33.195777893066406,-0.7040998935699463,11729.4970703125,0.8984375
0,1449,1449,-32.79100036621094,-0.6588126420974731,11599.7197265625,0.0078125
0,1499,1499,-32.418243408203125,-0.6451246738433838,11470.0966796875,0.0078125
0,1549,1549,-32.09419250488281,-0.6804717779159546,11340.3544921875,0.09375
0,1599,1599,-31.73929214477539,-0.6844229102134705,11210.80859375,0.23828125
0,1649,1649,-31.357528686523438,-0.6612480282783508,11081.357421875,0.0078125
0,1699,1699,-30.970745086669922,-0.6330516338348389,10951.908203125,0.0078125
0,1749,1749,-30.69266700744629,-0.7135079503059387,10822.4765625,0.921875
0,1799,1799,-30.355026245117188,-0.7340419292449951,10693.17578125,0.984375
0,1849,1849,-29.855640411376953,-0.5925953388214111,10563.958984375,0.01171875
0,1899,1899,-29.579687118530273,-0.6744449734687805,10434.79296875,0.125
0,1949,1949,-29.102699279785156,-0.555121660232544,10305.67578125,0.0078125
0,1999,1999,-28.763198852539062,-0.5733566284179688,10176.533203125,0.0078125
0,2049,2049,-28.480857849121094,-0.6483450531959534,10047.537109375,0.01171875
0,2099,2099,-28.0432186126709,-0.568265974521637,9918.4580078125,0.0078125
0,2149,2149,-27.62772560119629,-0.5101720094680786,9789.4375,0.0078125
0,2199,2199,-27.32912826538086,-0.5687025189399719,9660.513671875,0.0078125
0,2249,2249,-26.96855354309082,-0.565261721611023,9531.5888671875,0.0078125
0,2299,2299,-26.49820327758789,-0.4525400996208191,9402.484375,0.01171875
0,2349,2349,-26.167722702026367,-0.47930920124053955,9273.517578125,0.0078125
0,2399,2399,-25.74364471435547,-0.4128909707069397,9144.40234375,0.01171875
0,2449,2449,-25.342422485351562,-0.3691372871398926,9015.3564453125,0.0078125
0,2499,2499,-24.92538833618164,-0.30852267146110535,8886.6884765625,0.0078125
0,2549,2549,-24.515029907226562,-0.2534952759742737,8758.4140625,0.00390625
0,2599,2599,-24.063161849975586,-0.1558493971824646,8630.5400390625,0.0078125
0,2649,2649,-23.772796630859375,-0.21755045652389526,8503.4443359375,0.0078125
0,2699,2699,-23.36514663696289,-0.15944454073905945,8377.2587890625,0.0078125
0,2749,2749,-23.03595733642578,-0.17674857378005981,8252.173828125,0.0078125
0,2799,2799,-22.607704162597656,-0.09118909388780594,8128.46240234375,0.01171875
0,2849,2849,-22.246000289916992,-0.06830011308193207,8006.14990234375,0.0078125
0,2899,2899,-21.917449951171875,-0.07624652236700058,7884.6748046875,0.0078125
0,2949,2949,-21.575042724609375,-0.06722152978181839,7764.3232421875,0.01171875
0,2999,2999,-21.227214813232422,-0.05121274292469025,7644.537109375,0.0078125
0,3049,3049,-20.894805908203125,-0.04682786017656326,7526.12060546875,0.0078125
0,3099,3099,-20.563621520996094,-0.042239826172590256,7408.21875,0.0078125
0,3149,3149,-20.239242553710938,-0.04281413182616234,7290.9111328125,0.0078125
0,3199,3199,-19.91726303100586,-0.044235438108444214,7174.1630859375,0.0078125
0,3249,3249,-19.589738845825195,-0.038504116237163544,7057.99609375,0.0078125
0,3299,3299,-19.28052520751953,-0.04988773167133331,6942.259765625,0.0078125
0,3349,3349,-18.962247848510742,-0.05046449974179268,6827.15380859375,0.0078125
0,3399,3399,-18.65850830078125,-0.06447670608758926,6712.44580078125,0.0078125
0,3449,3449,-18.353458404541016,-0.07625570893287659,6598.0703125,0.0078125
0,3499,3499,-18.05307960510254,-0.09084394574165344,6484.36767578125,0.01171875
0,3549,3549,-17.712417602539062,-0.06372713297605515,6371.177734375,0.0078125
0,3599,3599,-17.415245056152344,-0.07890331000089645,6258.41943359375,0.01171875
0,3649,3649,-17.07368278503418,-0.0480780154466629,6146.2431640625,0.0078125
0,3699,3699,-16.79816436767578,-0.08209049701690674,6034.5029296875,0.0078125
0,3749,3749,-16.48067855834961,-0.07258343696594238,5923.322265625,0.0078125
0,3799,3799,-16.151817321777344,-0.05017102509737015,5812.69482421875,0.0078125
0,3849,3849,-15.89756965637207,-0.10068408399820328,5702.67578125,0.0078125
0,3899,3899,-15.549327850341797,-0.05557115375995636,5593.24658203125,0.0078125
0,3949,3949,-15.262155532836914,-0.06998953968286514,5484.3720703125,0.0078125
0,3999,3999,-14.962496757507324,-0.0699891448020935,5376.1953125,0.0078125
0,4049,4049,-14.71599006652832,-0.12092693150043488,5268.81787109375,0.01171875
0,4099,4099,-14.36579704284668,-0.06646649539470673,5162.05859375,0.0078125
0,4149,4149,-14.10322380065918,-0.0976295918226242,5056.01953125,0.01171875
0,4199,4199,-13.759021759033203,-0.04523755609989166,4950.67626953125,0.0078125
0,4249,4249,-13.52523422241211,-0.1011575311422348,4846.091796875,0.0078125
0,4299,4299,-13.190988540649414,-0.05408840626478195,4742.4208984375,0.00390625
0,4349,4349,-12.953256607055664,-0.10132955014705658,4639.5458984375,0.0078125
0,4399,4399,-12.63818359375,-0.06890926510095596,4537.50830078125,0.0078125
0,4449,4449,-12.356368064880371,-0.06697537750005722,4436.470703125,0.0078125
0,4499,4499,-12.057995796203613,-0.0459526926279068,4336.34765625,0.0078125
0,4549,4549,-11.867250442504883,-0.12970712780952454,4237.25341796875,0.01171875
0,4599,4599,-11.561166763305664,-0.09513583034276962,4139.2373046875,0.0078125
0,4649,4649,-11.264874458312988,-0.0675763338804245,4042.224609375,0.0078125
0,4699,4699,-11.023140907287598,-0.09156132489442825,3946.30029296875,0.01171875
0,4749,4749,-10.744039535522461,-0.07550182193517685,3851.342529296875,0.0078125
0,4799,4799,-10.478306770324707,-0.06940431147813797,3757.61376953125,0.0078125
0,4849,4849,-10.221845626831055,-0.06973029673099518,3664.9140625,0.0078125
0,4899,4899,-9.947290420532227,-0.04804100841283798,3573.62890625,0.0078125
0,4949,4949,-9.719242095947266,-0.06933900713920593,3483.614990234375,0.0078125
0,4999,4999,-9.473012924194336,-0.06947791576385498,3394.67626953125,0.0078125
0,5049,5049,-9.229833602905273,-0.06871367990970612,3307.16455078125,0.0078125
0,5099,5099,-8.990554809570312,-0.06803660094738007,3221.029052734375,0.0078125
0,5149,5149,-8.765767097473145,-0.0779857337474823,3136.289306640625,0.0078125
0,5199,5199,-8.506070137023926,-0.04935768246650696,3052.873291015625,0.0078125
0,5249,5249,-8.29571533203125,-0.06631644815206528,2970.813232421875,0.01171875
0,5299,5299,-8.072259902954102,-0.06659507751464844,2890.045166015625,0.0078125
0,5349,5349,-7.843059062957764,-0.05672166496515274,2810.867919921875,0.0078125
0,5399,5399,-7.6338605880737305,-0.06283808499574661,2733.13916015625,0.0078125
0,5449,5449,-7.442107200622559,-0.08252338320016861,2656.809814453125,0.0078125
0,5499,5499,-7.223021030426025,-0.07052621245384216,2582.05078125,0.0078125
0,5549,5549,-6.998164653778076,-0.04837648570537567,2508.87353515625,0.0078125
0,5599,5599,-6.816331386566162,-0.06485643982887268,2437.282470703125,0.0078125
0,5649,5649,-6.605008125305176,-0.04761547967791557,2367.218994140625,0.0078125
0,5699,5699,-6.426917552947998,-0.059212904423475266,2298.741455078125,0.0078125
0,5749,5749,-6.246500015258789,-0.06423784792423248,2231.796630859375,0.0078125
0,5799,5799,-6.09798526763916,-0.09694009274244308,2166.37744140625,0.01171875
0,5849,5849,-5.902829647064209,-0.07929344475269318,2102.296630859375,0.0078125
0,5899,5899,-5.763245105743408,-0.11211960017681122,2040.056396484375,0.01171875
0,5949,5949,-5.555008888244629,-0.0714612752199173,1979.560791015625,0.0078125
0,5999,5999,-5.399273872375488,-0.07867729663848877,1920.7354736328125,0.0078125
0,6049,6049,-5.190622806549072,-0.027697142213582993,1863.8162841796875,0.00390625
0,6099,6099,-5.0894365310668945,-0.0778510570526123,1809.182373046875,0.0078125
0,6149,6149,-4.979147911071777,-0.11396873742341995,1756.329833984375,0.0078125
0,6199,6199,-4.785687446594238,-0.06336945295333862,1704.7569580078125,0.0078125
0,6249,6249,-4.655030250549316,-0.07202694565057755,1654.46435546875,0.0078125
0,6299,6299,-4.563260078430176,-0.11555801331996918,1605.62060546875,0.01171875
0,6349,6349,-4.415301322937012,-0.0987648218870163,1558.269775390625,0.0078125
0,6399,6399,-4.241187572479248,-0.0518413782119751,1512.3541259765625,0.0078125
0,6449,6449,-4.179437637329102,-0.11252766102552414,1468.1544189453125,0.01171875
0,6499,6499,-4.004613876342773,-0.05688127875328064,1425.1314697265625,0.0078125
0,6549,6549,-3.9725825786590576,-0.14051619172096252,1383.3759765625,0.0078125
0,6599,6599,-3.819089889526367,-0.09879888594150543,1343.025146484375,0.0078125
0,6649,6649,-3.6756763458251953,-0.06340852379798889,1304.0286865234375,0.0078125
0,6699,6699,-3.579108715057373,-0.07159365713596344,1266.212890625,0.0078125
0,6749,6749,-3.476137161254883,-0.07067500799894333,1229.3719482421875,0.0078125
0,6799,6799,-3.4087657928466797,-0.10140050947666168,1193.958984375,0.0078125
0,6849,6849,-3.293593645095825,-0.08147213608026505,1159.575927734375,0.0078125
0,6899,6899,-3.2152395248413086,-0.09501238167285919,1126.4019775390625,0.0078125
0,6949,6949,-3.117530584335327,-0.08645986020565033,1094.216552734375,0.0078125
0,6999,6999,-3.0773558616638184,-0.13231411576271057,1063.16015625,0.01171875
0,7049,7049,-2.9263620376586914,-0.06400391459465027,1033.311279296875,0.0078125
0,7099,7099,-2.851207733154297,-0.06878750771284103,1004.4536743164062,0.0078125
0,7149,7149,-2.8523974418640137,-0.14777836203575134,976.3674926757812,0.0078125
