communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7087599635124207,0.45015740394592285,-0.7089425325393677,0.4521908164024353
2,1,-0.30218958854675293,0.8620530962944031,-0.3155837953090668,0.854320228099823
4,2,-0.301719069480896,0.8615924119949341,-0.31585627794265747,0.856162965297699
6,3,-0.3006371259689331,0.8625905513763428,-0.31216466426849365,0.855753481388092
8,4,-0.30041924118995667,0.862001895904541,-0.31868457794189453,0.8559582233428955
10,5,-0.3009476363658905,0.8617715835571289,-0.3132055401802063,0.85667484998703
12,6,-0.30074170231819153,0.8625393509864807,-0.31224071979522705,0.855241596698761
14,7,-0.3008160889148712,0.8625905513763428,-0.3138323426246643,0.8563677072525024
16,8,-0.30098316073417664,0.8635886907577515,-0.3135758936405182,0.85667484998703
18,9,-0.3010655641555786,0.8628976345062256,-0.31415581703186035,0.8559582233428955
20,10,-0.3011973202228546,0.8629744052886963,-0.3145851790904999,0.8556510806083679
