global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
5,0,100000,-63.51427459716797,-0.8309423923492432,244903.796875,0.38671875
5,49,100049,-23.230716705322266,-0.48685431480407715,88860.28125,0.22265625
5,99,100099,-14.431593894958496,-0.473743200302124,54533.32421875,0.21484375
5,149,100149,-10.786898612976074,-0.44215449690818787,40416.91796875,0.16796875
5,199,100199,-8.790858268737793,-0.43886178731918335,32631.25,0.1796875
5,249,100249,-7.472070693969727,-0.37328410148620605,27734.9609375,0.1640625
5,299,100299,-6.648119926452637,-0.41140255331993103,24366.85546875,0.17578125
5,349,100349,-6.004158020019531,-0.41776368021965027,21826.044921875,0.19921875
5,399,100399,-5.438440799713135,-0.3570128083229065,19853.140625,0.16796875
5,449,100449,-5.053210258483887,-0.36118394136428833,18331.74609375,0.15234375
5,499,100499,-4.723857879638672,-0.37745076417922974,16981.4140625,0.16796875
5,549,100549,-4.365509033203125,-0.3076288104057312,15854.1396484375,0.12109375
5,599,100599,-4.2200517654418945,-0.34057343006134033,15157.1240234375,0.140625
5,649,100649,-3.9966814517974854,-0.3404015898704529,14285.0859375,0.125
5,699,100699,-3.834714412689209,-0.3631007671356201,13563.595703125,0.140625
5,749,100749,-3.6604809761047363,-0.3410909175872803,12968.857421875,0.125
5,799,100799,-3.5735278129577637,-0.36677849292755127,12528.7705078125,0.15234375
5,849,100849,-3.4532852172851562,-0.36667051911354065,12059.404296875,0.171875
5,899,100899,-3.4317479133605957,-0.4374406039714813,11698.759765625,0.21875
5,949,100949,-3.2197072505950928,-0.29906952381134033,11410.931640625,0.125
5,999,100999,-3.1588218212127686,-0.35256803035736084,10964.0341796875,0.17578125
5,1049,101049,-3.0862784385681152,-0.3612792491912842,10646.572265625,0.16796875
5,1099,101099,-2.9697370529174805,-0.3231792747974396,10340.1015625,0.140625
5,1149,101149,-2.839599132537842,-0.2840224802494049,9984.638671875,0.12109375
5,1199,101199,-2.869500160217285,-0.34245967864990234,9873.1484375,0.15234375
