communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.7116304039955139,0.4108719527721405,-0.7114218473434448,0.4176904261112213
20,1,-0.37687069177627563,0.8246615529060364,-0.37848952412605286,0.8199222087860107
40,2,-0.34970179200172424,0.8388656973838806,-0.36113259196281433,0.8324119448661804
60,3,-0.34123966097831726,0.8438563942909241,-0.34899064898490906,0.8411138653755188
80,4,-0.3416855037212372,0.8411434888839722,-0.3558432161808014,0.8424447178840637
100,5,-0.3530128300189972,0.8395823240280151,-0.36166703701019287,0.832719087600708
120,6,-0.35140737891197205,0.8323906660079956,-0.36070045828819275,0.8265765905380249
140,7,-0.34291940927505493,0.8464156985282898,-0.3520050346851349,0.8422399759292603
160,8,-0.3499871790409088,0.8311110138893127,-0.35913193225860596,0.8264741897583008
180,9,-0.35701635479927063,0.8341565728187561,-0.36858728528022766,0.8272932171821594
200,10,-0.3458113968372345,0.8373813033103943,-0.3558458089828491,0.8311834335327148
