global_iteration,local_iteration,total_iteration,vfe,ll,kl,error
6,0,120000,-25.031497955322266,-0.6618695259094238,180895.75,0.34375
6,49,120049,-9.958183288574219,-0.4699115753173828,70431.4375,0.23046875
6,99,120099,-6.642068862915039,-0.44905340671539307,45970.75,0.19140625
6,149,120149,-5.207367420196533,-0.40965622663497925,35613.4140625,0.1953125
6,199,120199,-4.414927005767822,-0.4153141975402832,29689.125,0.15625
6,249,120249,-3.8839235305786133,-0.4144706130027771,25753.748046875,0.14453125
6,299,120299,-3.513984203338623,-0.42908966541290283,22899.171875,0.17578125
6,349,120349,-3.241511344909668,-0.4492815136909485,20726.72265625,0.2265625
6,399,120399,-2.9500913619995117,-0.3839544355869293,19048.43359375,0.15234375
6,449,120449,-2.809572458267212,-0.41773974895477295,17754.57421875,0.19921875
6,499,120499,-2.612140655517578,-0.38801300525665283,16509.69921875,0.1796875
6,549,120549,-2.5109872817993164,-0.40758228302001953,15613.57421875,0.171875
6,599,120599,-2.3561577796936035,-0.36105823516845703,14809.623046875,0.140625
6,649,120649,-2.262200355529785,-0.3625681400299072,14100.9697265625,0.15234375
6,699,120699,-2.1289470195770264,-0.3136710524559021,13474.79296875,0.1328125
6,749,120749,-2.0936026573181152,-0.3337066173553467,13063.708984375,0.140625
6,799,120799,-2.07932186126709,-0.38863590359687805,12549.9619140625,0.16796875
6,849,120849,-1.9685094356536865,-0.3369449973106384,12111.1025390625,0.15234375
6,899,120899,-1.9201947450637817,-0.34209612011909485,11714.2265625,0.13671875
6,949,120949,-1.8873515129089355,-0.36369967460632324,11310.068359375,0.15234375
6,999,120999,-1.8694311380386353,-0.37867090106010437,11065.9130859375,0.1953125
6,1049,121049,-1.8181785345077515,-0.37424397468566895,10718.326171875,0.18359375
6,1099,121099,-1.753969669342041,-0.33995452523231506,10496.234375,0.11328125
6,1149,121149,-1.7394392490386963,-0.364646315574646,10205.087890625,0.15625
6,1199,121199,-1.7118196487426758,-0.366897851228714,9983.35546875,0.17578125
6,1249,121249,-1.6369733810424805,-0.3210558295249939,9768.0556640625,0.125
6,1299,121299,-1.6590893268585205,-0.357749342918396,9659.8466796875,0.15625
6,1349,121349,-1.6014705896377563,-0.32591697573661804,9468.4345703125,0.13671875
6,1399,121399,-1.5930960178375244,-0.3404892385005951,9298.099609375,0.1328125
6,1449,121449,-1.5799916982650757,-0.349651575088501,9132.814453125,0.16015625
6,1499,121499,-1.5476312637329102,-0.3342524766921997,9006.9111328125,0.15234375
6,1549,121549,-1.5456781387329102,-0.3568952679634094,8824.3359375,0.1640625
6,1599,121599,-1.5073668956756592,-0.3359708786010742,8695.2734375,0.15234375
